CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1751523617.0318
MEM 25.105469 1751523617.1321
MEM 29.226562 1751523617.2325
MEM 30.011719 1751523617.3327
MEM 32.808594 1751523617.4330
MEM 33.558594 1751523617.5333
MEM 33.558594 1751523617.6336
MEM 33.558594 1751523617.7339
MEM 33.558594 1751523617.8342
MEM 33.558594 1751523617.9345
MEM 33.558594 1751523618.0348
MEM 33.558594 1751523618.1350
MEM 33.558594 1751523618.2354
MEM 33.558594 1751523618.3357
MEM 33.558594 1751523618.4359
MEM 33.558594 1751523618.5362
MEM 33.558594 1751523618.6365
MEM 33.558594 1751523618.7368
MEM 33.558594 1751523618.8386
MEM 33.558594 1751523618.9388
MEM 33.558594 1751523619.0391
MEM 33.558594 1751523619.1394
MEM 33.558594 1751523619.2397
MEM 33.558594 1751523619.3400
MEM 33.558594 1751523619.4402
MEM 33.558594 1751523619.5405
MEM 33.558594 1751523619.6408
MEM 33.558594 1751523619.7411
MEM 33.558594 1751523619.8414
MEM 33.558594 1751523619.9416
MEM 33.558594 1751523620.0419
MEM 33.558594 1751523620.1422
MEM 33.558594 1751523620.2425
MEM 33.558594 1751523620.3428
MEM 33.558594 1751523620.4431
MEM 33.558594 1751523620.5434
MEM 33.558594 1751523620.6436
MEM 33.558594 1751523620.7439
MEM 33.558594 1751523620.8443
MEM 33.558594 1751523620.9446
MEM 33.558594 1751523621.0449
MEM 33.558594 1751523621.1451
MEM 33.558594 1751523621.2454
MEM 33.558594 1751523621.3457
MEM 33.558594 1751523621.4459
MEM 33.558594 1751523621.5461
MEM 33.558594 1751523621.6465
MEM 33.558594 1751523621.7467
MEM 33.558594 1751523621.8469
MEM 33.558594 1751523621.9472
MEM 33.558594 1751523622.0475
MEM 33.558594 1751523622.1478
MEM 33.558594 1751523622.2481
MEM 33.558594 1751523622.3484
MEM 33.558594 1751523622.4487
MEM 33.558594 1751523622.5489
MEM 33.558594 1751523622.6492
MEM 33.558594 1751523622.7495
MEM 33.558594 1751523622.8498
MEM 33.558594 1751523622.9501
MEM 33.558594 1751523623.0504
MEM 33.558594 1751523623.1507
MEM 33.558594 1751523623.2509
MEM 33.558594 1751523623.3512
MEM 33.558594 1751523623.4515
MEM 33.558594 1751523623.5518
MEM 33.558594 1751523623.6521
MEM 33.558594 1751523623.7523
MEM 33.558594 1751523623.8526
MEM 33.558594 1751523623.9529
MEM 33.558594 1751523624.0531
MEM 33.558594 1751523624.1534
MEM 33.558594 1751523624.2537
MEM 33.558594 1751523624.3540
MEM 33.558594 1751523624.4542
MEM 33.558594 1751523624.5545
MEM 33.558594 1751523624.6548
MEM 33.558594 1751523624.7551
MEM 33.558594 1751523624.8553
MEM 33.558594 1751523624.9556
MEM 33.558594 1751523625.0558
MEM 33.558594 1751523625.1561
MEM 33.558594 1751523625.2564
MEM 33.558594 1751523625.3567
MEM 33.558594 1751523625.4570
MEM 33.558594 1751523625.5573
MEM 33.558594 1751523625.6575
MEM 33.558594 1751523625.7578
MEM 33.558594 1751523625.8581
MEM 33.558594 1751523625.9584
MEM 33.558594 1751523626.0587
MEM 33.558594 1751523626.1590
MEM 33.558594 1751523626.2593
MEM 33.558594 1751523626.3596
MEM 33.558594 1751523626.4599
MEM 33.558594 1751523626.5602
MEM 33.558594 1751523626.6604
MEM 33.558594 1751523626.7607
MEM 33.558594 1751523626.8610
MEM 33.558594 1751523626.9612
MEM 33.558594 1751523627.0615
MEM 33.558594 1751523627.1617
MEM 33.558594 1751523627.2621
MEM 33.558594 1751523627.3624
MEM 33.558594 1751523627.4626
MEM 33.558594 1751523627.5629
MEM 33.558594 1751523627.6631
MEM 33.558594 1751523627.7633
MEM 33.558594 1751523627.8636
MEM 33.558594 1751523627.9639
MEM 33.558594 1751523628.0641
MEM 33.558594 1751523628.1645
MEM 33.558594 1751523628.2648
MEM 33.558594 1751523628.3650
MEM 33.558594 1751523628.4653
MEM 33.558594 1751523628.5656
MEM 33.558594 1751523628.6659
MEM 33.558594 1751523628.7662
MEM 33.558594 1751523628.8665
MEM 33.558594 1751523628.9667
MEM 33.558594 1751523629.0671
MEM 33.558594 1751523629.1673
MEM 33.558594 1751523629.2675
MEM 33.558594 1751523629.3678
MEM 33.558594 1751523629.4681
MEM 33.558594 1751523629.5684
MEM 33.558594 1751523629.6687
MEM 33.558594 1751523629.7690
MEM 33.558594 1751523629.8693
MEM 33.558594 1751523629.9696
MEM 33.558594 1751523630.0698
MEM 33.558594 1751523630.1701
MEM 33.558594 1751523630.2704
MEM 33.558594 1751523630.3707
MEM 33.558594 1751523630.4710
MEM 33.558594 1751523630.5713
MEM 33.558594 1751523630.6716
MEM 33.558594 1751523630.7719
MEM 33.558594 1751523630.8723
MEM 33.558594 1751523630.9726
MEM 33.558594 1751523631.0728
MEM 33.558594 1751523631.1731
MEM 33.558594 1751523631.2733
MEM 33.558594 1751523631.3736
MEM 33.558594 1751523631.4739
MEM 33.558594 1751523631.5741
MEM 33.558594 1751523631.6744
MEM 33.558594 1751523631.7747
MEM 33.558594 1751523631.8749
MEM 33.558594 1751523631.9751
MEM 33.558594 1751523632.0754
MEM 33.558594 1751523632.1757
MEM 33.558594 1751523632.2759
MEM 33.558594 1751523632.3763
MEM 33.558594 1751523632.4765
MEM 33.558594 1751523632.5768
MEM 33.558594 1751523632.6771
MEM 33.558594 1751523632.7774
MEM 33.558594 1751523632.8777
MEM 33.558594 1751523632.9780
MEM 33.558594 1751523633.0782
MEM 33.558594 1751523633.1785
MEM 33.558594 1751523633.2787
MEM 33.558594 1751523633.3789
MEM 33.558594 1751523633.4792
MEM 33.558594 1751523633.5795
MEM 33.558594 1751523633.6798
MEM 33.558594 1751523633.7801
MEM 33.558594 1751523633.8804
MEM 33.558594 1751523633.9808
MEM 33.558594 1751523634.0811
MEM 33.558594 1751523634.1813
MEM 33.558594 1751523634.2816
MEM 33.558594 1751523634.3819
MEM 33.558594 1751523634.4822
MEM 33.558594 1751523634.5824
MEM 33.558594 1751523634.6827
MEM 33.558594 1751523634.7830
MEM 33.558594 1751523634.8833
MEM 33.558594 1751523634.9836
MEM 33.558594 1751523635.0839
MEM 33.558594 1751523635.1842
MEM 33.558594 1751523635.2844
MEM 33.558594 1751523635.3847
MEM 33.558594 1751523635.4849
MEM 33.558594 1751523635.5852
MEM 33.558594 1751523635.6855
MEM 33.558594 1751523635.7858
MEM 33.558594 1751523635.8860
MEM 33.558594 1751523635.9863
MEM 33.558594 1751523636.0865
MEM 33.558594 1751523636.1868
MEM 33.558594 1751523636.2871
MEM 33.558594 1751523636.3874
MEM 33.558594 1751523636.4876
MEM 33.558594 1751523636.5879
MEM 33.558594 1751523636.6881
MEM 33.558594 1751523636.7884
MEM 33.558594 1751523636.8887
MEM 33.558594 1751523636.9890
MEM 33.558594 1751523637.0892
MEM 33.558594 1751523637.1895
MEM 33.558594 1751523637.2897
MEM 33.558594 1751523637.3900
MEM 33.558594 1751523637.4902
MEM 33.558594 1751523637.5905
MEM 33.558594 1751523637.6908
MEM 33.558594 1751523637.7911
MEM 33.558594 1751523637.8914
MEM 33.558594 1751523637.9916
MEM 33.558594 1751523638.0919
MEM 33.558594 1751523638.1922
MEM 33.558594 1751523638.2925
MEM 33.558594 1751523638.3927
MEM 33.558594 1751523638.4930
MEM 33.558594 1751523638.5934
MEM 33.558594 1751523638.6937
MEM 33.558594 1751523638.7940
MEM 33.558594 1751523638.8944
MEM 33.558594 1751523638.9946
MEM 33.558594 1751523639.0949
MEM 33.558594 1751523639.1951
MEM 33.558594 1751523639.2954
MEM 33.558594 1751523639.3957
MEM 33.558594 1751523639.4959
MEM 33.558594 1751523639.5962
MEM 33.558594 1751523639.6965
MEM 33.558594 1751523639.7968
MEM 33.558594 1751523639.8970
MEM 33.558594 1751523639.9973
MEM 33.558594 1751523640.0976
MEM 33.558594 1751523640.1979
MEM 33.558594 1751523640.2982
MEM 33.558594 1751523640.3985
MEM 33.558594 1751523640.4988
MEM 33.558594 1751523640.5991
MEM 33.558594 1751523640.6995
MEM 33.558594 1751523640.7999
MEM 33.558594 1751523640.9002
MEM 33.558594 1751523641.0005
MEM 33.558594 1751523641.1010
MEM 33.558594 1751523641.2012
MEM 33.558594 1751523641.3015
MEM 33.558594 1751523641.4017
MEM 33.558594 1751523641.5020
MEM 33.558594 1751523641.6023
MEM 33.558594 1751523641.7026
MEM 33.558594 1751523641.8028
MEM 33.558594 1751523641.9031
MEM 33.558594 1751523642.0033
MEM 33.558594 1751523642.1036
MEM 33.558594 1751523642.2039
MEM 33.558594 1751523642.3042
MEM 33.558594 1751523642.4045
MEM 33.558594 1751523642.5048
MEM 33.558594 1751523642.6051
MEM 33.558594 1751523642.7053
MEM 33.558594 1751523642.8056
MEM 33.558594 1751523642.9059
MEM 33.558594 1751523643.0061
MEM 33.558594 1751523643.1064
MEM 33.558594 1751523643.2066
MEM 33.558594 1751523643.3068
MEM 33.558594 1751523643.4071
MEM 33.558594 1751523643.5074
MEM 33.558594 1751523643.6078
MEM 33.558594 1751523643.7081
MEM 33.558594 1751523643.8084
MEM 33.558594 1751523643.9086
