CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.433594 1751577032.6381
MEM 24.820312 1751577032.7384
MEM 29.886719 1751577032.8387
MEM 30.808594 1751577032.9391
MEM 33.808594 1751577033.0394
MEM 33.808594 1751577033.1397
MEM 33.808594 1751577033.2400
MEM 33.808594 1751577033.3404
MEM 33.808594 1751577033.4407
MEM 33.808594 1751577033.5411
MEM 33.808594 1751577033.6414
MEM 33.808594 1751577033.7418
MEM 33.808594 1751577033.8421
MEM 33.808594 1751577033.9424
MEM 33.808594 1751577034.0428
MEM 33.808594 1751577034.1431
MEM 33.808594 1751577034.2434
MEM 33.808594 1751577034.3437
MEM 33.808594 1751577034.4441
MEM 33.808594 1751577034.5444
MEM 33.808594 1751577034.6448
MEM 33.808594 1751577034.7451
MEM 33.808594 1751577034.8454
MEM 33.808594 1751577034.9457
MEM 33.808594 1751577035.0461
MEM 33.808594 1751577035.1464
MEM 33.808594 1751577035.2468
MEM 33.808594 1751577035.3471
MEM 33.808594 1751577035.4474
MEM 33.808594 1751577035.5477
MEM 33.808594 1751577035.6481
MEM 33.808594 1751577035.7484
MEM 33.808594 1751577035.8487
MEM 33.808594 1751577035.9491
MEM 33.808594 1751577036.0494
MEM 33.808594 1751577036.1498
MEM 33.808594 1751577036.2501
MEM 33.808594 1751577036.3504
MEM 33.808594 1751577036.4507
MEM 33.808594 1751577036.5511
MEM 33.808594 1751577036.6515
MEM 33.808594 1751577036.7518
MEM 33.808594 1751577036.8521
MEM 33.808594 1751577036.9525
MEM 33.808594 1751577037.0529
MEM 33.808594 1751577037.1532
MEM 33.808594 1751577037.2536
MEM 33.808594 1751577037.3539
MEM 33.808594 1751577037.4542
MEM 33.808594 1751577037.5546
MEM 33.808594 1751577037.6549
MEM 33.808594 1751577037.7554
MEM 33.808594 1751577037.8557
MEM 33.808594 1751577037.9561
MEM 33.808594 1751577038.0564
MEM 33.808594 1751577038.1567
MEM 33.808594 1751577038.2571
MEM 33.808594 1751577038.3575
MEM 33.808594 1751577038.4578
MEM 33.808594 1751577038.5582
MEM 33.808594 1751577038.6585
MEM 33.808594 1751577038.7588
MEM 33.808594 1751577038.8592
MEM 33.808594 1751577038.9595
MEM 33.808594 1751577039.0599
MEM 33.808594 1751577039.1602
MEM 33.808594 1751577039.2605
MEM 33.808594 1751577039.3609
MEM 33.808594 1751577039.4613
MEM 33.808594 1751577039.5616
MEM 33.808594 1751577039.6620
MEM 33.808594 1751577039.7623
MEM 33.808594 1751577039.8627
MEM 33.808594 1751577039.9630
MEM 33.808594 1751577040.0634
MEM 33.808594 1751577040.1637
MEM 33.808594 1751577040.2641
MEM 33.808594 1751577040.3644
MEM 33.808594 1751577040.4648
MEM 33.808594 1751577040.5651
