CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1751584026.5291
MEM 25.007812 1751584026.6294
MEM 30.175781 1751584026.7297
MEM 31.695312 1751584026.8300
MEM 32.570312 1751584026.9303
MEM 32.570312 1751584027.0305
MEM 32.570312 1751584027.1308
MEM 32.570312 1751584027.2310
MEM 32.570312 1751584027.3313
MEM 32.570312 1751584027.4315
MEM 32.570312 1751584027.5318
MEM 32.570312 1751584027.6321
MEM 32.570312 1751584027.7325
MEM 32.570312 1751584027.8328
MEM 32.570312 1751584027.9331
MEM 32.570312 1751584028.0333
MEM 32.570312 1751584028.1336
MEM 32.570312 1751584028.2339
MEM 32.570312 1751584028.3341
MEM 32.570312 1751584028.4343
MEM 32.570312 1751584028.5346
MEM 32.570312 1751584028.6348
MEM 32.570312 1751584028.7352
MEM 32.570312 1751584028.8354
MEM 32.570312 1751584028.9357
MEM 32.570312 1751584029.0360
MEM 32.570312 1751584029.1363
MEM 32.570312 1751584029.2365
MEM 32.570312 1751584029.3367
MEM 32.570312 1751584029.4370
MEM 32.570312 1751584029.5373
MEM 32.570312 1751584029.6375
MEM 32.570312 1751584029.7378
MEM 32.570312 1751584029.8380
MEM 32.570312 1751584029.9383
MEM 32.570312 1751584030.0386
MEM 32.570312 1751584030.1389
MEM 32.570312 1751584030.2391
MEM 32.570312 1751584030.3394
MEM 32.570312 1751584030.4397
MEM 32.570312 1751584030.5399
MEM 32.570312 1751584030.6402
MEM 32.570312 1751584030.7405
MEM 32.570312 1751584030.8408
MEM 32.570312 1751584030.9410
MEM 32.570312 1751584031.0413
MEM 32.570312 1751584031.1416
MEM 32.570312 1751584031.2418
MEM 32.570312 1751584031.3421
MEM 32.570312 1751584031.4425
MEM 32.570312 1751584031.5428
MEM 32.570312 1751584031.6432
MEM 32.570312 1751584031.7435
MEM 32.570312 1751584031.8438
MEM 32.570312 1751584031.9440
MEM 32.570312 1751584032.0443
MEM 32.570312 1751584032.1445
MEM 32.570312 1751584032.2448
MEM 32.570312 1751584032.3451
MEM 32.570312 1751584032.4454
MEM 32.570312 1751584032.5457
MEM 32.570312 1751584032.6460
MEM 32.570312 1751584032.7463
MEM 32.570312 1751584032.8466
MEM 32.570312 1751584032.9469
MEM 32.570312 1751584033.0472
MEM 32.570312 1751584033.1474
MEM 32.570312 1751584033.2477
MEM 32.570312 1751584033.3480
MEM 32.570312 1751584033.4483
MEM 32.570312 1751584033.5485
MEM 32.570312 1751584033.6488
MEM 32.570312 1751584033.7491
MEM 32.570312 1751584033.8494
MEM 32.570312 1751584033.9497
MEM 32.570312 1751584034.0500
MEM 32.570312 1751584034.1503
MEM 32.570312 1751584034.2505
MEM 32.570312 1751584034.3507
MEM 32.570312 1751584034.4510
MEM 32.570312 1751584034.5512
MEM 32.570312 1751584034.6515
MEM 32.570312 1751584034.7517
MEM 32.570312 1751584034.8520
MEM 32.570312 1751584034.9523
MEM 32.570312 1751584035.0526
MEM 32.570312 1751584035.1528
MEM 32.570312 1751584035.2531
MEM 32.570312 1751584035.3533
MEM 32.570312 1751584035.4535
MEM 32.570312 1751584035.5538
MEM 32.570312 1751584035.6540
MEM 32.570312 1751584035.7543
MEM 32.570312 1751584035.8546
MEM 32.570312 1751584035.9549
MEM 32.570312 1751584036.0552
MEM 32.570312 1751584036.1555
MEM 32.570312 1751584036.2557
MEM 32.570312 1751584036.3559
MEM 32.570312 1751584036.4562
MEM 32.570312 1751584036.5564
MEM 32.570312 1751584036.6567
MEM 32.570312 1751584036.7570
MEM 32.570312 1751584036.8572
MEM 32.570312 1751584036.9575
MEM 32.570312 1751584037.0577
MEM 32.570312 1751584037.1580
MEM 32.570312 1751584037.2583
MEM 32.570312 1751584037.3585
MEM 32.570312 1751584037.4588
MEM 32.570312 1751584037.5591
MEM 32.570312 1751584037.6594
MEM 32.570312 1751584037.7597
MEM 32.570312 1751584037.8600
MEM 32.570312 1751584037.9603
MEM 32.570312 1751584038.0606
MEM 32.570312 1751584038.1609
MEM 32.570312 1751584038.2612
MEM 32.570312 1751584038.3615
MEM 32.570312 1751584038.4618
MEM 32.570312 1751584038.5621
MEM 32.570312 1751584038.6624
