CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.269531 1751583653.7608
MEM 25.195312 1751583653.8611
MEM 29.957031 1751583653.9614
MEM 31.597656 1751583654.0616
MEM 32.722656 1751583654.1619
MEM 32.722656 1751583654.2622
MEM 32.722656 1751583654.3625
MEM 32.722656 1751583654.4628
MEM 32.722656 1751583654.5630
MEM 32.722656 1751583654.6633
MEM 32.722656 1751583654.7635
MEM 32.722656 1751583654.8637
MEM 32.722656 1751583654.9640
MEM 32.722656 1751583655.0642
MEM 32.722656 1751583655.1645
MEM 32.722656 1751583655.2647
MEM 32.722656 1751583655.3650
MEM 32.722656 1751583655.4652
MEM 32.722656 1751583655.5654
MEM 32.722656 1751583655.6656
MEM 32.722656 1751583655.7658
MEM 32.722656 1751583655.8660
MEM 32.722656 1751583655.9662
MEM 32.722656 1751583656.0664
MEM 32.722656 1751583656.1667
MEM 32.722656 1751583656.2669
MEM 32.722656 1751583656.3671
MEM 32.722656 1751583656.4673
MEM 32.722656 1751583656.5675
MEM 32.722656 1751583656.6677
MEM 32.722656 1751583656.7680
MEM 32.722656 1751583656.8682
MEM 32.722656 1751583656.9684
MEM 32.722656 1751583657.0686
MEM 32.722656 1751583657.1689
MEM 32.722656 1751583657.2691
MEM 32.722656 1751583657.3694
MEM 32.722656 1751583657.4696
MEM 32.722656 1751583657.5698
MEM 32.722656 1751583657.6701
MEM 32.722656 1751583657.7703
MEM 32.722656 1751583657.8705
MEM 32.722656 1751583657.9708
MEM 32.722656 1751583658.0711
MEM 32.722656 1751583658.1714
MEM 32.722656 1751583658.2716
MEM 32.722656 1751583658.3718
MEM 32.722656 1751583658.4721
MEM 32.722656 1751583658.5724
MEM 32.722656 1751583658.6726
MEM 32.722656 1751583658.7729
MEM 32.722656 1751583658.8731
MEM 32.722656 1751583658.9733
MEM 32.722656 1751583659.0736
MEM 32.722656 1751583659.1739
MEM 32.722656 1751583659.2741
MEM 32.722656 1751583659.3743
MEM 32.722656 1751583659.4746
MEM 32.722656 1751583659.5748
MEM 32.722656 1751583659.6751
MEM 32.722656 1751583659.7754
MEM 32.722656 1751583659.8756
MEM 32.722656 1751583659.9759
MEM 32.722656 1751583660.0762
MEM 32.722656 1751583660.1764
MEM 32.722656 1751583660.2767
MEM 32.722656 1751583660.3770
MEM 32.722656 1751583660.4773
MEM 32.722656 1751583660.5775
MEM 32.722656 1751583660.6777
MEM 32.722656 1751583660.7779
MEM 32.722656 1751583660.8781
MEM 32.722656 1751583660.9784
MEM 32.722656 1751583661.0787
MEM 32.722656 1751583661.1789
MEM 32.722656 1751583661.2791
MEM 32.722656 1751583661.3793
MEM 32.722656 1751583661.4796
MEM 32.722656 1751583661.5799
MEM 32.722656 1751583661.6801
MEM 32.722656 1751583661.7804
MEM 32.722656 1751583661.8806
MEM 32.722656 1751583661.9808
MEM 32.722656 1751583662.0811
MEM 32.722656 1751583662.1813
MEM 32.722656 1751583662.2816
MEM 32.722656 1751583662.3818
MEM 32.722656 1751583662.4820
MEM 32.722656 1751583662.5822
MEM 32.722656 1751583662.6824
MEM 32.722656 1751583662.7826
MEM 32.722656 1751583662.8829
MEM 32.722656 1751583662.9831
MEM 32.722656 1751583663.0833
MEM 32.722656 1751583663.1835
MEM 32.722656 1751583663.2837
MEM 32.722656 1751583663.3840
MEM 32.722656 1751583663.4843
MEM 32.722656 1751583663.5845
MEM 32.722656 1751583663.6847
MEM 32.722656 1751583663.7850
MEM 32.722656 1751583663.8853
MEM 32.722656 1751583663.9855
MEM 32.722656 1751583664.0858
MEM 32.722656 1751583664.1860
MEM 32.722656 1751583664.2862
MEM 32.722656 1751583664.3864
MEM 32.722656 1751583664.4868
MEM 32.722656 1751583664.5870
MEM 32.722656 1751583664.6873
MEM 32.722656 1751583664.7875
MEM 32.722656 1751583664.8878
MEM 32.722656 1751583664.9881
MEM 32.722656 1751583665.0883
MEM 32.722656 1751583665.1885
MEM 32.722656 1751583665.2887
MEM 32.722656 1751583665.3890
MEM 32.722656 1751583665.4894
MEM 32.722656 1751583665.5897
MEM 32.722656 1751583665.6900
MEM 32.722656 1751583665.7903
MEM 32.722656 1751583665.8906
MEM 32.722656 1751583665.9909
MEM 32.722656 1751583666.0912
MEM 32.722656 1751583666.1915
MEM 32.722656 1751583666.2918
MEM 32.722656 1751583666.3922
MEM 32.722656 1751583666.4925
MEM 32.722656 1751583666.5928
MEM 32.722656 1751583666.6931
MEM 32.722656 1751583666.7934
MEM 32.722656 1751583666.8937
MEM 32.722656 1751583666.9941
MEM 32.722656 1751583667.0944
MEM 32.722656 1751583667.1947
MEM 32.722656 1751583667.2951
MEM 32.722656 1751583667.3954
MEM 32.722656 1751583667.4957
MEM 32.722656 1751583667.5960
MEM 32.722656 1751583667.6964
MEM 32.722656 1751583667.7967
MEM 32.722656 1751583667.8970
MEM 32.722656 1751583667.9974
MEM 32.722656 1751583668.0978
MEM 32.722656 1751583668.1981
MEM 32.722656 1751583668.2984
MEM 32.722656 1751583668.3987
MEM 32.722656 1751583668.4990
MEM 32.722656 1751583668.5994
MEM 32.722656 1751583668.6998
MEM 32.722656 1751583668.8001
MEM 32.722656 1751583668.9005
MEM 32.722656 1751583669.0008
MEM 32.722656 1751583669.1012
MEM 32.722656 1751583669.2015
MEM 32.722656 1751583669.3018
MEM 32.722656 1751583669.4021
MEM 32.722656 1751583669.5024
MEM 32.722656 1751583669.6028
MEM 32.722656 1751583669.7031
MEM 32.722656 1751583669.8034
MEM 32.722656 1751583669.9038
MEM 32.722656 1751583670.0041
MEM 32.722656 1751583670.1045
MEM 32.722656 1751583670.2048
MEM 32.722656 1751583670.3051
MEM 32.722656 1751583670.4054
MEM 32.722656 1751583670.5058
MEM 32.722656 1751583670.6061
MEM 32.722656 1751583670.7064
MEM 32.722656 1751583670.8068
MEM 32.722656 1751583670.9071
MEM 32.722656 1751583671.0074
MEM 32.722656 1751583671.1077
MEM 32.722656 1751583671.2080
MEM 32.722656 1751583671.3083
MEM 32.722656 1751583671.4086
MEM 32.722656 1751583671.5088
MEM 32.722656 1751583671.6091
MEM 32.722656 1751583671.7094
MEM 32.722656 1751583671.8096
MEM 32.722656 1751583671.9098
MEM 32.722656 1751583672.0100
MEM 32.722656 1751583672.1102
MEM 32.722656 1751583672.2104
MEM 32.722656 1751583672.3106
MEM 32.722656 1751583672.4108
MEM 32.722656 1751583672.5110
MEM 32.722656 1751583672.6112
MEM 32.722656 1751583672.7129
MEM 32.722656 1751583672.8131
MEM 32.722656 1751583672.9133
MEM 32.722656 1751583673.0137
MEM 32.722656 1751583673.1139
MEM 32.722656 1751583673.2141
MEM 32.722656 1751583673.3143
MEM 32.722656 1751583673.4145
MEM 32.722656 1751583673.5148
MEM 32.722656 1751583673.6150
MEM 32.722656 1751583673.7153
MEM 32.722656 1751583673.8155
MEM 32.722656 1751583673.9157
MEM 32.722656 1751583674.0159
MEM 32.722656 1751583674.1161
MEM 32.722656 1751583674.2163
MEM 32.722656 1751583674.3166
MEM 32.722656 1751583674.4168
MEM 32.722656 1751583674.5170
MEM 32.722656 1751583674.6172
MEM 32.722656 1751583674.7174
MEM 32.722656 1751583674.8177
MEM 32.722656 1751583674.9179
MEM 32.722656 1751583675.0181
MEM 32.722656 1751583675.1183
MEM 32.722656 1751583675.2186
MEM 32.722656 1751583675.3189
MEM 32.722656 1751583675.4198
MEM 32.722656 1751583675.5200
MEM 32.722656 1751583675.6202
MEM 32.722656 1751583675.7204
MEM 32.722656 1751583675.8206
MEM 32.722656 1751583675.9208
MEM 32.722656 1751583676.0210
MEM 32.722656 1751583676.1213
MEM 32.722656 1751583676.2215
MEM 32.722656 1751583676.3217
MEM 32.722656 1751583676.4219
MEM 32.722656 1751583676.5221
MEM 32.722656 1751583676.6223
MEM 32.722656 1751583676.7225
MEM 32.722656 1751583676.8227
MEM 32.722656 1751583676.9229
MEM 32.722656 1751583677.0231
MEM 32.722656 1751583677.1233
MEM 32.722656 1751583677.2235
MEM 32.722656 1751583677.3237
MEM 32.722656 1751583677.4239
MEM 32.722656 1751583677.5241
MEM 32.722656 1751583677.6243
MEM 32.722656 1751583677.7245
MEM 32.722656 1751583677.8247
MEM 32.722656 1751583677.9249
MEM 32.722656 1751583678.0251
MEM 32.722656 1751583678.1253
MEM 32.722656 1751583678.2255
MEM 32.722656 1751583678.3257
MEM 32.722656 1751583678.4259
MEM 32.722656 1751583678.5261
MEM 32.722656 1751583678.6263
MEM 32.722656 1751583678.7265
MEM 32.722656 1751583678.8267
MEM 32.722656 1751583678.9269
MEM 32.722656 1751583679.0271
MEM 32.722656 1751583679.1273
MEM 32.722656 1751583679.2276
MEM 32.722656 1751583679.3279
MEM 32.722656 1751583679.4282
MEM 32.722656 1751583679.5284
MEM 32.722656 1751583679.6287
MEM 32.722656 1751583679.7290
MEM 32.722656 1751583679.8293
MEM 32.722656 1751583679.9295
MEM 32.722656 1751583680.0297
MEM 32.722656 1751583680.1299
MEM 32.722656 1751583680.2302
MEM 32.722656 1751583680.3304
MEM 32.722656 1751583680.4306
MEM 32.722656 1751583680.5308
MEM 32.722656 1751583680.6310
MEM 32.722656 1751583680.7312
MEM 32.722656 1751583680.8314
MEM 32.722656 1751583680.9316
MEM 32.722656 1751583681.0318
MEM 32.722656 1751583681.1320
MEM 32.722656 1751583681.2323
MEM 32.722656 1751583681.3325
MEM 32.722656 1751583681.4327
MEM 32.722656 1751583681.5329
MEM 32.722656 1751583681.6331
MEM 32.722656 1751583681.7334
MEM 32.722656 1751583681.8337
MEM 32.722656 1751583681.9339
MEM 32.722656 1751583682.0342
MEM 32.722656 1751583682.1344
MEM 32.722656 1751583682.2346
MEM 32.722656 1751583682.3349
MEM 32.722656 1751583682.4352
MEM 32.722656 1751583682.5355
MEM 32.722656 1751583682.6358
MEM 32.722656 1751583682.7361
MEM 32.722656 1751583682.8364
MEM 32.722656 1751583682.9366
MEM 32.722656 1751583683.0369
MEM 32.722656 1751583683.1372
MEM 32.722656 1751583683.2375
MEM 32.722656 1751583683.3377
MEM 32.722656 1751583683.4379
MEM 32.722656 1751583683.5382
MEM 32.722656 1751583683.6384
