CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.437500 1751579354.8494
MEM 24.875000 1751579354.9498
MEM 30.210938 1751579355.0501
MEM 32.632812 1751579355.1504
MEM 33.757812 1751579355.2508
MEM 33.757812 1751579355.3511
MEM 33.757812 1751579355.4515
MEM 33.757812 1751579355.5518
MEM 33.757812 1751579355.6522
MEM 33.757812 1751579355.7525
MEM 33.757812 1751579355.8528
MEM 33.757812 1751579355.9532
MEM 33.757812 1751579356.0535
MEM 33.757812 1751579356.1539
MEM 33.757812 1751579356.2542
MEM 33.757812 1751579356.3546
MEM 33.757812 1751579356.4549
MEM 33.757812 1751579356.5553
MEM 33.757812 1751579356.6556
MEM 33.757812 1751579356.7560
MEM 33.757812 1751579356.8563
MEM 33.757812 1751579356.9567
MEM 33.757812 1751579357.0570
MEM 33.757812 1751579357.1574
MEM 33.757812 1751579357.2577
MEM 33.757812 1751579357.3580
MEM 33.757812 1751579357.4583
MEM 33.757812 1751579357.5587
MEM 33.757812 1751579357.6590
MEM 33.757812 1751579357.7593
MEM 33.757812 1751579357.8597
MEM 33.757812 1751579357.9600
MEM 33.757812 1751579358.0604
MEM 33.757812 1751579358.1607
MEM 33.757812 1751579358.2611
MEM 33.757812 1751579358.3614
MEM 33.757812 1751579358.4617
MEM 33.757812 1751579358.5621
MEM 33.757812 1751579358.6624
MEM 33.757812 1751579358.7628
MEM 33.757812 1751579358.8649
MEM 33.757812 1751579358.9653
MEM 33.757812 1751579359.0656
MEM 33.757812 1751579359.1660
MEM 33.757812 1751579359.2664
MEM 33.757812 1751579359.3669
MEM 33.757812 1751579359.4673
MEM 33.757812 1751579359.5676
MEM 33.757812 1751579359.6680
MEM 33.757812 1751579359.7683
MEM 33.757812 1751579359.8687
MEM 33.757812 1751579359.9690
MEM 33.757812 1751579360.0694
MEM 33.757812 1751579360.1698
MEM 33.757812 1751579360.2701
MEM 33.757812 1751579360.3705
MEM 33.757812 1751579360.4708
MEM 33.757812 1751579360.5712
MEM 33.757812 1751579360.6715
MEM 33.757812 1751579360.7719
MEM 33.757812 1751579360.8722
MEM 33.757812 1751579360.9726
MEM 33.757812 1751579361.0729
MEM 33.757812 1751579361.1733
MEM 33.757812 1751579361.2736
MEM 33.757812 1751579361.3740
MEM 33.757812 1751579361.4743
MEM 33.757812 1751579361.5746
MEM 33.757812 1751579361.6750
MEM 33.757812 1751579361.7753
MEM 33.757812 1751579361.8756
MEM 33.757812 1751579361.9760
MEM 33.757812 1751579362.0763
MEM 33.757812 1751579362.1766
MEM 33.757812 1751579362.2770
MEM 33.757812 1751579362.3773
MEM 33.757812 1751579362.4776
MEM 33.757812 1751579362.5780
MEM 33.757812 1751579362.6783
MEM 33.757812 1751579362.7786
MEM 33.757812 1751579362.8790
MEM 33.757812 1751579362.9793
MEM 33.757812 1751579363.0798
MEM 33.757812 1751579363.1801
MEM 33.757812 1751579363.2805
MEM 33.757812 1751579363.3808
MEM 33.757812 1751579363.4811
MEM 33.757812 1751579363.5815
MEM 33.757812 1751579363.6819
MEM 33.757812 1751579363.7822
MEM 33.757812 1751579363.8825
MEM 33.757812 1751579363.9829
MEM 33.757812 1751579364.0833
MEM 33.757812 1751579364.1836
MEM 33.757812 1751579364.2840
MEM 33.757812 1751579364.3843
MEM 33.757812 1751579364.4846
MEM 33.757812 1751579364.5850
MEM 33.757812 1751579364.6853
MEM 33.757812 1751579364.7857
MEM 33.757812 1751579364.8860
MEM 33.757812 1751579364.9863
MEM 33.757812 1751579365.0867
MEM 33.757812 1751579365.1870
MEM 33.757812 1751579365.2873
MEM 33.757812 1751579365.3876
MEM 33.757812 1751579365.4880
MEM 33.757812 1751579365.5883
MEM 33.757812 1751579365.6886
MEM 33.757812 1751579365.7890
MEM 33.757812 1751579365.8893
MEM 33.757812 1751579365.9896
MEM 33.757812 1751579366.0899
MEM 33.757812 1751579366.1903
MEM 33.757812 1751579366.2906
MEM 33.757812 1751579366.3909
MEM 33.757812 1751579366.4913
MEM 33.757812 1751579366.5916
MEM 33.757812 1751579366.6919
MEM 33.757812 1751579366.7923
MEM 33.757812 1751579366.8926
MEM 33.757812 1751579366.9930
MEM 33.757812 1751579367.0933
MEM 33.757812 1751579367.1936
MEM 33.757812 1751579367.2940
MEM 33.757812 1751579367.3943
MEM 33.757812 1751579367.4946
MEM 33.757812 1751579367.5949
MEM 33.757812 1751579367.6953
MEM 33.757812 1751579367.7956
MEM 33.757812 1751579367.8959
MEM 33.757812 1751579367.9963
MEM 33.757812 1751579368.0966
MEM 33.757812 1751579368.1970
MEM 33.757812 1751579368.2974
MEM 33.757812 1751579368.3977
MEM 33.757812 1751579368.4981
MEM 33.757812 1751579368.5984
MEM 33.757812 1751579368.6988
MEM 33.757812 1751579368.7991
MEM 33.757812 1751579368.8994
MEM 33.757812 1751579368.9998
MEM 33.757812 1751579369.1001
MEM 33.757812 1751579369.2005
MEM 33.757812 1751579369.3008
MEM 33.757812 1751579369.4011
MEM 33.757812 1751579369.5014
MEM 33.757812 1751579369.6018
MEM 33.757812 1751579369.7021
MEM 33.757812 1751579369.8025
MEM 33.757812 1751579369.9028
MEM 33.757812 1751579370.0032
MEM 33.757812 1751579370.1035
MEM 33.757812 1751579370.2039
MEM 33.757812 1751579370.3043
MEM 33.757812 1751579370.4046
MEM 33.757812 1751579370.5049
MEM 33.757812 1751579370.6053
MEM 33.757812 1751579370.7056
MEM 33.757812 1751579370.8060
MEM 33.757812 1751579370.9063
MEM 33.757812 1751579371.0067
MEM 33.757812 1751579371.1070
MEM 33.757812 1751579371.2073
MEM 33.757812 1751579371.3076
MEM 33.757812 1751579371.4080
MEM 33.757812 1751579371.5083
MEM 33.757812 1751579371.6087
MEM 33.757812 1751579371.7090
MEM 33.757812 1751579371.8093
MEM 33.757812 1751579371.9097
MEM 33.757812 1751579372.0100
MEM 33.757812 1751579372.1136
MEM 33.757812 1751579372.2140
MEM 33.757812 1751579372.3143
MEM 33.757812 1751579372.4147
MEM 33.757812 1751579372.5150
MEM 33.757812 1751579372.6153
MEM 33.757812 1751579372.7157
MEM 33.757812 1751579372.8160
MEM 33.757812 1751579372.9163
MEM 33.757812 1751579373.0167
MEM 33.757812 1751579373.1170
MEM 33.757812 1751579373.2173
MEM 33.757812 1751579373.3176
MEM 33.757812 1751579373.4180
MEM 33.757812 1751579373.5183
MEM 33.757812 1751579373.6187
MEM 33.757812 1751579373.7190
MEM 33.757812 1751579373.8193
MEM 33.757812 1751579373.9196
MEM 33.757812 1751579374.0200
MEM 33.757812 1751579374.1203
MEM 33.757812 1751579374.2206
MEM 33.757812 1751579374.3210
MEM 33.757812 1751579374.4213
MEM 33.757812 1751579374.5216
MEM 33.757812 1751579374.6220
MEM 33.757812 1751579374.7223
MEM 33.757812 1751579374.8227
MEM 33.757812 1751579374.9230
MEM 33.757812 1751579375.0234
MEM 33.757812 1751579375.1238
MEM 33.757812 1751579375.2241
MEM 33.757812 1751579375.3245
MEM 33.757812 1751579375.4248
MEM 33.757812 1751579375.5252
MEM 33.757812 1751579375.6255
MEM 33.757812 1751579375.7259
MEM 33.757812 1751579375.8262
MEM 33.757812 1751579375.9265
MEM 33.757812 1751579376.0269
MEM 33.757812 1751579376.1272
MEM 33.757812 1751579376.2275
MEM 33.757812 1751579376.3279
MEM 33.757812 1751579376.4282
MEM 33.757812 1751579376.5286
MEM 33.757812 1751579376.6289
MEM 33.757812 1751579376.7293
MEM 33.757812 1751579376.8296
MEM 33.757812 1751579376.9300
MEM 33.757812 1751579377.0303
MEM 33.757812 1751579377.1306
MEM 33.757812 1751579377.2310
MEM 33.757812 1751579377.3313
MEM 33.757812 1751579377.4330
MEM 33.757812 1751579377.5333
MEM 33.757812 1751579377.6336
MEM 33.757812 1751579377.7340
MEM 33.757812 1751579377.8343
MEM 33.757812 1751579377.9346
MEM 33.757812 1751579378.0350
MEM 33.757812 1751579378.1353
MEM 33.757812 1751579378.2356
MEM 33.757812 1751579378.3360
MEM 33.757812 1751579378.4363
MEM 33.757812 1751579378.5366
MEM 33.757812 1751579378.6370
MEM 33.757812 1751579378.7373
MEM 33.757812 1751579378.8377
MEM 33.757812 1751579378.9380
MEM 33.757812 1751579379.0384
MEM 33.757812 1751579379.1387
MEM 33.757812 1751579379.2391
MEM 33.757812 1751579379.3394
MEM 33.757812 1751579379.4398
MEM 33.757812 1751579379.5401
MEM 33.757812 1751579379.6404
MEM 33.757812 1751579379.7408
MEM 33.757812 1751579379.8412
MEM 33.757812 1751579379.9415
MEM 33.757812 1751579380.0419
MEM 33.757812 1751579380.1422
MEM 33.757812 1751579380.2425
MEM 33.757812 1751579380.3429
MEM 33.757812 1751579380.4432
MEM 33.757812 1751579380.5436
MEM 33.757812 1751579380.6439
MEM 33.757812 1751579380.7442
MEM 33.757812 1751579380.8445
MEM 33.757812 1751579380.9449
MEM 33.757812 1751579381.0452
MEM 33.757812 1751579381.1456
MEM 33.757812 1751579381.2460
MEM 33.757812 1751579381.3463
MEM 33.757812 1751579381.4466
MEM 33.757812 1751579381.5470
MEM 33.757812 1751579381.6473
MEM 33.757812 1751579381.7476
MEM 33.757812 1751579381.8480
MEM 33.757812 1751579381.9483
MEM 33.757812 1751579382.0487
MEM 33.757812 1751579382.1490
MEM 33.757812 1751579382.2495
MEM 33.757812 1751579382.3499
MEM 33.757812 1751579382.4502
MEM 33.757812 1751579382.5506
MEM 33.757812 1751579382.6510
MEM 33.757812 1751579382.7513
MEM 33.757812 1751579382.8517
MEM 33.757812 1751579382.9520
MEM 33.757812 1751579383.0524
MEM 33.757812 1751579383.1527
MEM 33.757812 1751579383.2531
MEM 33.757812 1751579383.3534
MEM 33.757812 1751579383.4538
MEM 33.757812 1751579383.5541
MEM 33.757812 1751579383.6544
MEM 33.757812 1751579383.7548
MEM 33.757812 1751579383.8551
MEM 33.757812 1751579383.9555
MEM 33.757812 1751579384.0558
MEM 33.757812 1751579384.1562
MEM 33.757812 1751579384.2565
MEM 33.757812 1751579384.3569
MEM 33.757812 1751579384.4572
MEM 33.757812 1751579384.5575
MEM 33.757812 1751579384.6579
MEM 33.757812 1751579384.7582
MEM 33.757812 1751579384.8585
MEM 33.757812 1751579384.9589
MEM 33.757812 1751579385.0593
MEM 33.757812 1751579385.1596
MEM 33.757812 1751579385.2599
MEM 33.757812 1751579385.3603
MEM 33.757812 1751579385.4606
MEM 33.757812 1751579385.5610
MEM 33.757812 1751579385.6613
MEM 33.757812 1751579385.7617
MEM 33.757812 1751579385.8620
MEM 33.757812 1751579385.9623
MEM 33.757812 1751579386.0626
MEM 33.757812 1751579386.1630
MEM 33.757812 1751579386.2633
MEM 33.757812 1751579386.3637
MEM 33.757812 1751579386.4640
MEM 33.757812 1751579386.5644
MEM 33.757812 1751579386.6647
MEM 33.757812 1751579386.7651
MEM 33.757812 1751579386.8654
MEM 33.757812 1751579386.9657
MEM 33.757812 1751579387.0661
MEM 33.757812 1751579387.1664
MEM 33.757812 1751579387.2668
MEM 33.757812 1751579387.3672
MEM 33.757812 1751579387.4675
MEM 33.757812 1751579387.5679
MEM 33.757812 1751579387.6682
MEM 33.757812 1751579387.7686
MEM 33.757812 1751579387.8689
MEM 33.757812 1751579387.9693
MEM 33.757812 1751579388.0696
MEM 33.757812 1751579388.1700
MEM 33.757812 1751579388.2703
MEM 33.757812 1751579388.3707
MEM 33.757812 1751579388.4710
MEM 33.757812 1751579388.5714
MEM 33.757812 1751579388.6717
MEM 33.757812 1751579388.7720
MEM 33.757812 1751579388.8724
MEM 33.757812 1751579388.9727
MEM 33.757812 1751579389.0731
MEM 33.757812 1751579389.1734
MEM 33.757812 1751579389.2738
MEM 33.757812 1751579389.3742
MEM 33.757812 1751579389.4745
MEM 33.757812 1751579389.5749
MEM 33.757812 1751579389.6752
MEM 33.757812 1751579389.7756
MEM 33.757812 1751579389.8759
MEM 33.757812 1751579389.9763
MEM 33.757812 1751579390.0766
MEM 33.757812 1751579390.1770
MEM 33.757812 1751579390.2773
MEM 33.757812 1751579390.3777
MEM 33.757812 1751579390.4780
MEM 33.757812 1751579390.5783
MEM 33.757812 1751579390.6787
MEM 33.757812 1751579390.7791
MEM 33.757812 1751579390.8794
MEM 33.757812 1751579390.9798
MEM 33.757812 1751579391.0802
MEM 33.757812 1751579391.1805
MEM 33.757812 1751579391.2809
MEM 33.757812 1751579391.3813
MEM 33.757812 1751579391.4816
MEM 33.757812 1751579391.5820
MEM 33.757812 1751579391.6823
MEM 33.757812 1751579391.7826
MEM 33.757812 1751579391.8830
MEM 33.757812 1751579391.9834
MEM 33.757812 1751579392.0838
MEM 33.757812 1751579392.1841
MEM 33.757812 1751579392.2845
MEM 33.757812 1751579392.3848
MEM 33.757812 1751579392.4852
MEM 33.757812 1751579392.5855
MEM 33.757812 1751579392.6859
MEM 33.757812 1751579392.7862
MEM 33.757812 1751579392.8865
MEM 33.757812 1751579392.9869
MEM 33.757812 1751579393.0872
MEM 33.757812 1751579393.1875
MEM 33.757812 1751579393.2879
MEM 33.757812 1751579393.3882
MEM 33.757812 1751579393.4886
MEM 33.757812 1751579393.5890
