CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1751612423.0715
MEM 26.183594 1751612423.1721
MEM 28.578125 1751612423.2724
MEM 29.078125 1751612423.3727
MEM 29.078125 1751612423.4730
MEM 29.078125 1751612423.5733
MEM 29.078125 1751612423.6736
MEM 29.078125 1751612423.7739
MEM 29.078125 1751612423.8743
MEM 29.078125 1751612423.9745
MEM 29.078125 1751612424.0748
MEM 29.078125 1751612424.1751
MEM 29.078125 1751612424.2754
MEM 29.078125 1751612424.3757
MEM 29.078125 1751612424.4760
MEM 29.078125 1751612424.5763
MEM 29.078125 1751612424.6766
MEM 29.078125 1751612424.7770
MEM 29.078125 1751612424.8773
MEM 29.078125 1751612424.9776
MEM 29.078125 1751612425.0780
MEM 29.078125 1751612425.1783
MEM 29.078125 1751612425.2786
MEM 29.078125 1751612425.3789
MEM 29.078125 1751612425.4795
MEM 29.078125 1751612425.5799
MEM 29.078125 1751612425.6802
MEM 29.078125 1751612425.7805
MEM 29.078125 1751612425.8808
MEM 29.078125 1751612425.9811
MEM 29.078125 1751612426.0814
MEM 29.078125 1751612426.1817
MEM 29.078125 1751612426.2820
MEM 29.078125 1751612426.3823
MEM 29.078125 1751612426.4827
MEM 29.078125 1751612426.5830
MEM 29.078125 1751612426.6833
MEM 29.078125 1751612426.7835
MEM 29.078125 1751612426.8838
MEM 29.078125 1751612426.9840
MEM 29.078125 1751612427.0844
MEM 29.078125 1751612427.1846
MEM 29.078125 1751612427.2849
MEM 29.078125 1751612427.3852
MEM 29.078125 1751612427.4854
MEM 29.078125 1751612427.5857
MEM 29.078125 1751612427.6860
MEM 29.078125 1751612427.7863
MEM 29.078125 1751612427.8866
MEM 29.078125 1751612427.9869
MEM 29.078125 1751612428.0872
MEM 29.078125 1751612428.1876
MEM 29.078125 1751612428.2879
MEM 29.078125 1751612428.3882
MEM 29.078125 1751612428.4885
MEM 29.078125 1751612428.5888
MEM 29.078125 1751612428.6891
MEM 29.078125 1751612428.7894
MEM 29.078125 1751612428.8897
MEM 29.078125 1751612428.9900
MEM 29.078125 1751612429.0903
MEM 29.078125 1751612429.1906
MEM 29.078125 1751612429.2909
MEM 29.078125 1751612429.3911
MEM 29.078125 1751612429.4914
MEM 29.078125 1751612429.5917
MEM 29.078125 1751612429.6920
MEM 29.078125 1751612429.7923
MEM 29.078125 1751612429.8926
MEM 29.078125 1751612429.9928
MEM 29.078125 1751612430.0931
MEM 29.078125 1751612430.1934
MEM 29.078125 1751612430.2937
MEM 29.078125 1751612430.3940
MEM 29.078125 1751612430.4943
MEM 29.078125 1751612430.5945
MEM 29.078125 1751612430.6948
MEM 29.078125 1751612430.7951
MEM 29.078125 1751612430.8954
MEM 29.078125 1751612430.9957
MEM 29.078125 1751612431.0960
MEM 29.078125 1751612431.1962
MEM 29.078125 1751612431.2965
MEM 29.078125 1751612431.3968
MEM 29.078125 1751612431.4971
MEM 29.078125 1751612431.5974
MEM 29.078125 1751612431.6977
MEM 29.078125 1751612431.7980
MEM 29.078125 1751612431.8983
MEM 29.078125 1751612431.9986
MEM 29.078125 1751612432.0989
MEM 29.078125 1751612432.1992
MEM 29.078125 1751612432.2995
MEM 29.078125 1751612432.3998
MEM 29.078125 1751612432.5001
MEM 29.078125 1751612432.6004
MEM 29.078125 1751612432.7007
MEM 29.078125 1751612432.8010
MEM 29.078125 1751612432.9013
MEM 29.078125 1751612433.0016
MEM 29.078125 1751612433.1019
MEM 29.078125 1751612433.2022
MEM 29.078125 1751612433.3025
MEM 29.078125 1751612433.4028
MEM 29.078125 1751612433.5031
MEM 29.078125 1751612433.6035
MEM 29.078125 1751612433.7038
MEM 29.078125 1751612433.8041
MEM 29.078125 1751612433.9044
MEM 29.078125 1751612434.0047
MEM 29.078125 1751612434.1050
MEM 29.078125 1751612434.2053
MEM 29.078125 1751612434.3056
MEM 29.078125 1751612434.4059
MEM 29.078125 1751612434.5063
MEM 29.078125 1751612434.6066
MEM 29.078125 1751612434.7069
MEM 29.078125 1751612434.8072
MEM 29.078125 1751612434.9075
MEM 29.078125 1751612435.0078
MEM 29.078125 1751612435.1081
MEM 29.078125 1751612435.2084
MEM 29.078125 1751612435.3087
MEM 29.078125 1751612435.4091
MEM 29.078125 1751612435.5094
MEM 29.078125 1751612435.6097
MEM 29.078125 1751612435.7100
MEM 29.078125 1751612435.8103
MEM 29.078125 1751612435.9106
MEM 29.078125 1751612436.0109
MEM 29.078125 1751612436.1113
MEM 29.078125 1751612436.2115
MEM 29.078125 1751612436.3118
MEM 29.078125 1751612436.4122
MEM 29.078125 1751612436.5125
MEM 29.078125 1751612436.6128
MEM 29.078125 1751612436.7131
MEM 29.078125 1751612436.8135
MEM 29.078125 1751612436.9138
MEM 29.078125 1751612437.0141
MEM 29.078125 1751612437.1144
MEM 29.078125 1751612437.2147
MEM 29.078125 1751612437.3150
MEM 29.078125 1751612437.4154
MEM 29.078125 1751612437.5156
MEM 29.078125 1751612437.6159
MEM 29.078125 1751612437.7162
MEM 29.078125 1751612437.8165
MEM 29.078125 1751612437.9168
MEM 29.078125 1751612438.0171
MEM 29.078125 1751612438.1174
MEM 29.078125 1751612438.2177
MEM 29.078125 1751612438.3180
MEM 29.078125 1751612438.4184
MEM 29.078125 1751612438.5187
MEM 29.078125 1751612438.6191
MEM 29.078125 1751612438.7194
MEM 29.078125 1751612438.8197
MEM 29.078125 1751612438.9200
MEM 29.078125 1751612439.0203
MEM 29.078125 1751612439.1206
MEM 29.078125 1751612439.2209
MEM 29.078125 1751612439.3212
MEM 29.078125 1751612439.4215
MEM 29.078125 1751612439.5218
MEM 29.078125 1751612439.6220
MEM 29.078125 1751612439.7223
MEM 29.078125 1751612439.8226
MEM 29.078125 1751612439.9229
MEM 29.078125 1751612440.0232
MEM 29.078125 1751612440.1235
MEM 29.078125 1751612440.2237
MEM 29.078125 1751612440.3240
MEM 29.078125 1751612440.4243
MEM 29.078125 1751612440.5246
MEM 29.078125 1751612440.6248
MEM 29.078125 1751612440.7251
MEM 29.078125 1751612440.8255
MEM 29.078125 1751612440.9258
MEM 29.078125 1751612441.0261
MEM 29.078125 1751612441.1264
MEM 29.078125 1751612441.2267
MEM 29.078125 1751612441.3270
MEM 29.078125 1751612441.4273
MEM 29.078125 1751612441.5276
