CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1751610849.6264
MEM 26.558594 1751610849.7267
MEM 29.074219 1751610849.8269
MEM 30.824219 1751610849.9271
MEM 30.824219 1751610850.0274
MEM 30.824219 1751610850.1277
MEM 30.824219 1751610850.2279
MEM 30.824219 1751610850.3282
MEM 30.824219 1751610850.4284
MEM 30.824219 1751610850.5286
MEM 30.824219 1751610850.6288
MEM 30.824219 1751610850.7290
MEM 30.824219 1751610850.8293
MEM 30.824219 1751610850.9295
MEM 30.824219 1751610851.0298
MEM 30.824219 1751610851.1300
MEM 30.824219 1751610851.2302
MEM 30.824219 1751610851.3304
MEM 30.824219 1751610851.4307
MEM 30.824219 1751610851.5308
MEM 30.824219 1751610851.6311
MEM 30.824219 1751610851.7314
MEM 30.824219 1751610851.8316
MEM 30.824219 1751610851.9319
MEM 30.824219 1751610852.0321
MEM 30.824219 1751610852.1324
MEM 30.824219 1751610852.2327
MEM 30.824219 1751610852.3329
MEM 30.824219 1751610852.4331
MEM 30.824219 1751610852.5334
MEM 30.824219 1751610852.6337
MEM 30.824219 1751610852.7340
MEM 30.824219 1751610852.8342
MEM 30.824219 1751610852.9344
MEM 30.824219 1751610853.0347
MEM 30.824219 1751610853.1350
MEM 30.824219 1751610853.2352
MEM 30.824219 1751610853.3354
MEM 30.824219 1751610853.4356
MEM 30.824219 1751610853.5359
MEM 30.824219 1751610853.6361
MEM 30.824219 1751610853.7363
MEM 30.824219 1751610853.8366
MEM 30.824219 1751610853.9368
MEM 30.824219 1751610854.0370
MEM 30.824219 1751610854.1373
MEM 30.824219 1751610854.2376
MEM 30.824219 1751610854.3378
MEM 30.824219 1751610854.4381
MEM 30.824219 1751610854.5384
MEM 30.824219 1751610854.6386
MEM 30.824219 1751610854.7389
MEM 30.824219 1751610854.8391
MEM 30.824219 1751610854.9394
MEM 30.824219 1751610855.0401
MEM 30.824219 1751610855.1403
MEM 30.824219 1751610855.2406
MEM 30.824219 1751610855.3409
MEM 30.824219 1751610855.4411
MEM 30.824219 1751610855.5414
MEM 30.824219 1751610855.6416
MEM 30.824219 1751610855.7418
MEM 30.824219 1751610855.8421
MEM 30.824219 1751610855.9423
MEM 30.824219 1751610856.0425
MEM 30.824219 1751610856.1427
MEM 30.824219 1751610856.2430
MEM 30.824219 1751610856.3432
MEM 30.824219 1751610856.4434
MEM 30.824219 1751610856.5436
MEM 30.824219 1751610856.6438
MEM 30.824219 1751610856.7441
MEM 30.824219 1751610856.8444
MEM 30.824219 1751610856.9446
MEM 30.824219 1751610857.0449
MEM 30.824219 1751610857.1452
MEM 30.824219 1751610857.2454
MEM 30.824219 1751610857.3456
MEM 30.824219 1751610857.4459
MEM 30.824219 1751610857.5461
MEM 30.824219 1751610857.6463
MEM 30.824219 1751610857.7466
MEM 30.824219 1751610857.8468
MEM 30.824219 1751610857.9470
MEM 30.824219 1751610858.0472
MEM 30.824219 1751610858.1474
MEM 30.824219 1751610858.2476
MEM 30.824219 1751610858.3479
MEM 30.824219 1751610858.4481
MEM 30.824219 1751610858.5483
MEM 30.824219 1751610858.6485
MEM 30.824219 1751610858.7488
MEM 30.824219 1751610858.8490
MEM 30.824219 1751610858.9493
MEM 30.824219 1751610859.0496
MEM 30.824219 1751610859.1499
MEM 30.824219 1751610859.2502
MEM 30.824219 1751610859.3505
MEM 30.824219 1751610859.4507
MEM 30.824219 1751610859.5509
MEM 30.824219 1751610859.6511
MEM 30.824219 1751610859.7514
MEM 30.824219 1751610859.8516
MEM 30.824219 1751610859.9518
MEM 30.824219 1751610860.0521
MEM 30.824219 1751610860.1524
MEM 30.824219 1751610860.2526
MEM 30.824219 1751610860.3529
MEM 30.824219 1751610860.4531
MEM 30.824219 1751610860.5533
MEM 30.824219 1751610860.6535
MEM 30.824219 1751610860.7538
MEM 30.824219 1751610860.8540
MEM 30.824219 1751610860.9543
MEM 30.824219 1751610861.0545
MEM 30.824219 1751610861.1548
MEM 30.824219 1751610861.2550
MEM 30.824219 1751610861.3552
MEM 30.824219 1751610861.4555
MEM 30.824219 1751610861.5557
MEM 30.824219 1751610861.6559
MEM 30.824219 1751610861.7562
MEM 30.824219 1751610861.8564
MEM 30.824219 1751610861.9566
MEM 30.824219 1751610862.0568
MEM 30.824219 1751610862.1571
MEM 30.824219 1751610862.2574
MEM 30.824219 1751610862.3578
MEM 30.824219 1751610862.4581
MEM 30.824219 1751610862.5583
MEM 30.824219 1751610862.6585
MEM 30.824219 1751610862.7588
MEM 30.824219 1751610862.8591
MEM 30.824219 1751610862.9593
MEM 30.824219 1751610863.0595
MEM 30.824219 1751610863.1597
MEM 30.824219 1751610863.2599
MEM 30.824219 1751610863.3601
MEM 30.824219 1751610863.4604
MEM 30.824219 1751610863.5606
MEM 30.824219 1751610863.6608
MEM 30.824219 1751610863.7610
MEM 30.824219 1751610863.8612
MEM 30.824219 1751610863.9614
MEM 30.824219 1751610864.0616
MEM 30.824219 1751610864.1619
MEM 30.824219 1751610864.2621
MEM 30.824219 1751610864.3624
MEM 30.824219 1751610864.4626
MEM 30.824219 1751610864.5628
MEM 30.824219 1751610864.6630
MEM 30.824219 1751610864.7633
MEM 30.824219 1751610864.8635
MEM 30.824219 1751610864.9638
MEM 30.824219 1751610865.0640
MEM 30.824219 1751610865.1643
MEM 30.824219 1751610865.2646
MEM 30.824219 1751610865.3649
MEM 30.824219 1751610865.4652
MEM 30.824219 1751610865.5655
MEM 30.824219 1751610865.6658
MEM 30.824219 1751610865.7660
MEM 30.824219 1751610865.8663
MEM 30.824219 1751610865.9666
MEM 30.824219 1751610866.0668
MEM 30.824219 1751610866.1671
MEM 30.824219 1751610866.2674
MEM 30.824219 1751610866.3680
MEM 30.824219 1751610866.4682
MEM 30.824219 1751610866.5684
MEM 30.824219 1751610866.6686
MEM 30.824219 1751610866.7688
MEM 30.824219 1751610866.8690
MEM 30.824219 1751610866.9692
MEM 30.824219 1751610867.0695
MEM 30.824219 1751610867.1697
MEM 30.824219 1751610867.2699
MEM 30.824219 1751610867.3701
MEM 30.824219 1751610867.4703
MEM 30.824219 1751610867.5705
MEM 30.824219 1751610867.6707
MEM 30.824219 1751610867.7710
MEM 30.824219 1751610867.8712
MEM 30.824219 1751610867.9714
MEM 30.824219 1751610868.0716
MEM 30.824219 1751610868.1718
MEM 30.824219 1751610868.2721
MEM 30.824219 1751610868.3723
MEM 30.824219 1751610868.4725
MEM 30.824219 1751610868.5727
MEM 30.824219 1751610868.6729
MEM 30.824219 1751610868.7732
MEM 30.824219 1751610868.8735
MEM 30.824219 1751610868.9738
MEM 30.824219 1751610869.0741
MEM 30.824219 1751610869.1744
MEM 30.824219 1751610869.2747
MEM 30.824219 1751610869.3750
MEM 30.824219 1751610869.4752
MEM 30.824219 1751610869.5755
MEM 30.824219 1751610869.6758
MEM 30.824219 1751610869.7761
MEM 30.824219 1751610869.8764
MEM 30.824219 1751610869.9766
MEM 30.824219 1751610870.0769
MEM 30.824219 1751610870.1771
MEM 30.824219 1751610870.2774
MEM 30.824219 1751610870.3776
MEM 30.824219 1751610870.4778
MEM 30.824219 1751610870.5781
MEM 30.824219 1751610870.6783
MEM 30.824219 1751610870.7785
MEM 30.824219 1751610870.8788
MEM 30.824219 1751610870.9791
MEM 30.824219 1751610871.0793
MEM 30.824219 1751610871.1796
MEM 30.824219 1751610871.2799
MEM 30.824219 1751610871.3802
MEM 30.824219 1751610871.4804
