CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1751612089.6008
MEM 25.054688 1751612089.7011
MEM 29.941406 1751612089.8013
MEM 32.484375 1751612089.9016
MEM 33.734375 1751612090.0037
MEM 33.734375 1751612090.1040
MEM 33.734375 1751612090.2043
MEM 33.734375 1751612090.3055
MEM 33.734375 1751612090.4058
MEM 33.734375 1751612090.5062
MEM 33.734375 1751612090.6064
MEM 33.734375 1751612090.7068
MEM 33.734375 1751612090.8071
MEM 33.734375 1751612090.9074
MEM 33.734375 1751612091.0077
MEM 33.734375 1751612091.1080
MEM 33.734375 1751612091.2083
MEM 33.734375 1751612091.3087
MEM 33.734375 1751612091.4090
MEM 33.734375 1751612091.5093
MEM 33.734375 1751612091.6096
MEM 33.734375 1751612091.7099
MEM 33.734375 1751612091.8103
MEM 33.734375 1751612091.9106
MEM 33.734375 1751612092.0109
MEM 33.734375 1751612092.1112
MEM 33.734375 1751612092.2115
MEM 33.734375 1751612092.3118
MEM 33.734375 1751612092.4121
MEM 33.734375 1751612092.5124
MEM 33.734375 1751612092.6127
MEM 33.734375 1751612092.7130
MEM 33.734375 1751612092.8133
MEM 33.734375 1751612092.9136
MEM 33.734375 1751612093.0139
MEM 33.734375 1751612093.1142
MEM 33.734375 1751612093.2145
MEM 33.734375 1751612093.3149
MEM 33.734375 1751612093.4151
MEM 33.734375 1751612093.5154
MEM 33.734375 1751612093.6158
MEM 33.734375 1751612093.7161
MEM 33.734375 1751612093.8164
MEM 33.734375 1751612093.9167
MEM 33.734375 1751612094.0170
MEM 33.734375 1751612094.1189
MEM 33.734375 1751612094.2192
MEM 33.734375 1751612094.3196
MEM 33.734375 1751612094.4199
MEM 33.734375 1751612094.5202
MEM 33.734375 1751612094.6205
MEM 33.734375 1751612094.7208
MEM 33.734375 1751612094.8211
MEM 33.734375 1751612094.9214
MEM 33.734375 1751612095.0217
MEM 33.734375 1751612095.1220
MEM 33.734375 1751612095.2223
MEM 33.734375 1751612095.3227
MEM 33.734375 1751612095.4230
MEM 33.734375 1751612095.5233
MEM 33.734375 1751612095.6235
MEM 33.734375 1751612095.7238
MEM 33.734375 1751612095.8241
MEM 33.734375 1751612095.9244
MEM 33.734375 1751612096.0247
MEM 33.734375 1751612096.1250
MEM 33.734375 1751612096.2253
MEM 33.734375 1751612096.3256
MEM 33.734375 1751612096.4259
MEM 33.734375 1751612096.5262
MEM 33.734375 1751612096.6265
MEM 33.734375 1751612096.7268
MEM 33.734375 1751612096.8271
MEM 33.734375 1751612096.9274
MEM 33.734375 1751612097.0277
MEM 33.734375 1751612097.1280
MEM 33.734375 1751612097.2283
MEM 33.734375 1751612097.3285
MEM 33.734375 1751612097.4289
MEM 33.734375 1751612097.5292
MEM 33.734375 1751612097.6294
MEM 33.734375 1751612097.7298
MEM 33.734375 1751612097.8301
MEM 33.734375 1751612097.9304
MEM 33.734375 1751612098.0308
MEM 33.734375 1751612098.1311
MEM 33.734375 1751612098.2314
MEM 33.734375 1751612098.3317
MEM 33.734375 1751612098.4320
MEM 33.734375 1751612098.5323
MEM 33.734375 1751612098.6327
MEM 33.734375 1751612098.7330
MEM 33.734375 1751612098.8333
MEM 33.734375 1751612098.9336
MEM 33.734375 1751612099.0339
MEM 33.734375 1751612099.1342
MEM 33.734375 1751612099.2345
MEM 33.734375 1751612099.3349
MEM 33.734375 1751612099.4351
MEM 33.734375 1751612099.5355
MEM 33.734375 1751612099.6357
MEM 33.734375 1751612099.7360
MEM 33.734375 1751612099.8363
MEM 33.734375 1751612099.9366
MEM 33.734375 1751612100.0369
MEM 33.734375 1751612100.1372
MEM 33.734375 1751612100.2376
MEM 33.734375 1751612100.3379
MEM 33.734375 1751612100.4382
MEM 33.734375 1751612100.5385
MEM 33.734375 1751612100.6388
MEM 33.734375 1751612100.7391
MEM 33.734375 1751612100.8394
MEM 33.734375 1751612100.9397
MEM 33.734375 1751612101.0400
MEM 33.734375 1751612101.1403
MEM 33.734375 1751612101.2406
MEM 33.734375 1751612101.3409
MEM 33.734375 1751612101.4412
MEM 33.734375 1751612101.5415
MEM 33.734375 1751612101.6418
MEM 33.734375 1751612101.7422
MEM 33.734375 1751612101.8425
MEM 33.734375 1751612101.9428
MEM 33.734375 1751612102.0431
MEM 33.734375 1751612102.1433
MEM 33.734375 1751612102.2436
MEM 33.734375 1751612102.3439
MEM 33.734375 1751612102.4442
MEM 33.734375 1751612102.5445
MEM 33.734375 1751612102.6448
MEM 33.734375 1751612102.7451
MEM 33.734375 1751612102.8454
MEM 33.734375 1751612102.9457
MEM 33.734375 1751612103.0460
MEM 33.734375 1751612103.1463
MEM 33.734375 1751612103.2466
MEM 33.734375 1751612103.3469
MEM 33.734375 1751612103.4472
MEM 33.734375 1751612103.5475
MEM 33.734375 1751612103.6478
MEM 33.734375 1751612103.7481
MEM 33.734375 1751612103.8484
MEM 33.734375 1751612103.9488
MEM 33.734375 1751612104.0491
MEM 33.734375 1751612104.1494
MEM 33.734375 1751612104.2497
MEM 33.734375 1751612104.3500
MEM 33.734375 1751612104.4503
MEM 33.734375 1751612104.5506
MEM 33.734375 1751612104.6509
MEM 33.734375 1751612104.7512
MEM 33.734375 1751612104.8515
MEM 33.734375 1751612104.9519
MEM 33.734375 1751612105.0522
MEM 33.734375 1751612105.1525
MEM 33.734375 1751612105.2528
MEM 33.734375 1751612105.3531
MEM 33.734375 1751612105.4535
MEM 33.734375 1751612105.5538
MEM 33.734375 1751612105.6541
MEM 33.734375 1751612105.7544
MEM 33.734375 1751612105.8547
MEM 33.734375 1751612105.9551
MEM 33.734375 1751612106.0554
MEM 33.734375 1751612106.1557
MEM 33.734375 1751612106.2560
MEM 33.734375 1751612106.3563
MEM 33.734375 1751612106.4566
MEM 33.734375 1751612106.5569
MEM 33.734375 1751612106.6572
MEM 33.734375 1751612106.7575
MEM 33.734375 1751612106.8578
MEM 33.734375 1751612106.9581
MEM 33.734375 1751612107.0584
MEM 33.734375 1751612107.1588
MEM 33.734375 1751612107.2591
MEM 33.734375 1751612107.3594
MEM 33.734375 1751612107.4597
MEM 33.734375 1751612107.5600
MEM 33.734375 1751612107.6603
MEM 33.734375 1751612107.7606
MEM 33.734375 1751612107.8609
MEM 33.734375 1751612107.9614
MEM 33.734375 1751612108.0617
MEM 33.734375 1751612108.1620
MEM 33.734375 1751612108.2623
MEM 33.734375 1751612108.3626
MEM 33.734375 1751612108.4629
MEM 33.734375 1751612108.5632
MEM 33.734375 1751612108.6634
MEM 33.734375 1751612108.7638
MEM 33.734375 1751612108.8640
MEM 33.734375 1751612108.9643
MEM 33.734375 1751612109.0647
MEM 33.734375 1751612109.1650
MEM 33.734375 1751612109.2653
MEM 33.734375 1751612109.3656
MEM 33.734375 1751612109.4659
MEM 33.734375 1751612109.5662
MEM 33.734375 1751612109.6665
MEM 33.734375 1751612109.7668
MEM 33.734375 1751612109.8671
MEM 33.734375 1751612109.9674
MEM 33.734375 1751612110.0678
MEM 33.734375 1751612110.1681
MEM 33.734375 1751612110.2684
MEM 33.734375 1751612110.3688
MEM 33.734375 1751612110.4691
MEM 33.734375 1751612110.5694
MEM 33.734375 1751612110.6697
MEM 33.734375 1751612110.7700
MEM 33.734375 1751612110.8703
MEM 33.734375 1751612110.9706
MEM 33.734375 1751612111.0710
MEM 33.734375 1751612111.1713
MEM 33.734375 1751612111.2716
MEM 33.734375 1751612111.3719
MEM 33.734375 1751612111.4722
MEM 33.734375 1751612111.5725
MEM 33.734375 1751612111.6729
MEM 33.734375 1751612111.7732
MEM 33.734375 1751612111.8735
MEM 33.734375 1751612111.9738
MEM 33.734375 1751612112.0741
MEM 33.734375 1751612112.1745
MEM 33.734375 1751612112.2748
MEM 33.734375 1751612112.3751
MEM 33.734375 1751612112.4754
MEM 33.734375 1751612112.5758
MEM 33.734375 1751612112.6761
MEM 33.734375 1751612112.7764
MEM 33.734375 1751612112.8768
MEM 33.734375 1751612112.9771
MEM 33.734375 1751612113.0774
MEM 33.734375 1751612113.1777
MEM 33.734375 1751612113.2780
MEM 33.734375 1751612113.3784
MEM 33.734375 1751612113.4787
MEM 33.734375 1751612113.5790
MEM 33.734375 1751612113.6793
MEM 33.734375 1751612113.7797
MEM 33.734375 1751612113.8800
MEM 33.734375 1751612113.9803
MEM 33.734375 1751612114.0806
MEM 33.734375 1751612114.1809
MEM 33.734375 1751612114.2812
MEM 33.734375 1751612114.3816
MEM 33.734375 1751612114.4819
MEM 33.734375 1751612114.5822
MEM 33.734375 1751612114.6825
MEM 33.734375 1751612114.7829
MEM 33.734375 1751612114.8832
MEM 33.734375 1751612114.9835
MEM 33.734375 1751612115.0838
MEM 33.734375 1751612115.1842
MEM 33.734375 1751612115.2845
MEM 33.734375 1751612115.3848
MEM 33.734375 1751612115.4852
MEM 33.734375 1751612115.5855
MEM 33.734375 1751612115.6858
MEM 33.734375 1751612115.7861
MEM 33.734375 1751612115.8864
MEM 33.734375 1751612115.9868
MEM 33.734375 1751612116.0871
MEM 33.734375 1751612116.1874
MEM 33.734375 1751612116.2878
MEM 33.734375 1751612116.3881
MEM 33.734375 1751612116.4884
MEM 33.734375 1751612116.5887
MEM 33.734375 1751612116.6891
MEM 33.734375 1751612116.7894
MEM 33.734375 1751612116.8898
MEM 33.734375 1751612116.9901
MEM 33.734375 1751612117.0904
MEM 33.734375 1751612117.1908
MEM 33.734375 1751612117.2911
MEM 33.734375 1751612117.3914
MEM 33.734375 1751612117.4918
MEM 33.734375 1751612117.5921
MEM 33.734375 1751612117.6924
MEM 33.734375 1751612117.7928
MEM 33.734375 1751612117.8931
MEM 33.734375 1751612117.9934
MEM 33.734375 1751612118.0938
MEM 33.734375 1751612118.1942
MEM 33.734375 1751612118.2945
MEM 33.734375 1751612118.3948
MEM 33.734375 1751612118.4952
MEM 33.734375 1751612118.5955
MEM 33.734375 1751612118.6958
MEM 33.734375 1751612118.7962
MEM 33.734375 1751612118.8965
MEM 33.734375 1751612118.9969
MEM 33.734375 1751612119.0972
MEM 33.734375 1751612119.1976
MEM 33.734375 1751612119.2979
MEM 33.734375 1751612119.3982
MEM 33.734375 1751612119.4986
MEM 33.734375 1751612119.5989
MEM 33.734375 1751612119.6992
MEM 33.734375 1751612119.7995
MEM 33.734375 1751612119.8999
MEM 33.734375 1751612120.0002
MEM 33.734375 1751612120.1005
MEM 33.734375 1751612120.2008
MEM 33.734375 1751612120.3012
MEM 33.734375 1751612120.4015
MEM 33.734375 1751612120.5019
MEM 33.734375 1751612120.6021
MEM 33.734375 1751612120.7024
MEM 33.734375 1751612120.8028
MEM 33.734375 1751612120.9031
MEM 33.734375 1751612121.0034
MEM 33.734375 1751612121.1038
MEM 33.734375 1751612121.2079
MEM 33.734375 1751612121.3082
MEM 33.734375 1751612121.4085
MEM 33.734375 1751612121.5089
MEM 33.734375 1751612121.6091
MEM 33.734375 1751612121.7095
MEM 33.734375 1751612121.8098
MEM 33.734375 1751612121.9101
MEM 33.734375 1751612122.0105
MEM 33.734375 1751612122.1108
MEM 33.734375 1751612122.2111
MEM 33.734375 1751612122.3114
MEM 33.734375 1751612122.4118
MEM 33.734375 1751612122.5121
MEM 33.734375 1751612122.6124
MEM 33.734375 1751612122.7128
MEM 33.734375 1751612122.8131
MEM 33.734375 1751612122.9134
MEM 33.734375 1751612123.0137
MEM 33.734375 1751612123.1141
MEM 33.734375 1751612123.2144
MEM 33.734375 1751612123.3148
MEM 33.734375 1751612123.4151
MEM 33.734375 1751612123.5154
MEM 33.734375 1751612123.6157
MEM 33.734375 1751612123.7160
MEM 33.734375 1751612123.8163
MEM 33.734375 1751612123.9167
MEM 33.734375 1751612124.0170
MEM 33.734375 1751612124.1173
MEM 33.734375 1751612124.2177
MEM 33.734375 1751612124.3180
MEM 33.734375 1751612124.4183
MEM 33.734375 1751612124.5187
MEM 33.734375 1751612124.6190
MEM 33.734375 1751612124.7193
MEM 33.734375 1751612124.8196
MEM 33.734375 1751612124.9199
MEM 33.734375 1751612125.0203
MEM 33.734375 1751612125.1206
MEM 33.734375 1751612125.2209
MEM 33.734375 1751612125.3213
MEM 33.734375 1751612125.4216
MEM 33.734375 1751612125.5220
MEM 33.734375 1751612125.6222
MEM 33.734375 1751612125.7225
MEM 33.734375 1751612125.8229
MEM 33.734375 1751612125.9232
MEM 33.734375 1751612126.0235
MEM 33.734375 1751612126.1239
MEM 33.734375 1751612126.2242
MEM 33.734375 1751612126.3246
MEM 33.734375 1751612126.4249
MEM 33.734375 1751612126.5253
MEM 33.734375 1751612126.6256
MEM 33.734375 1751612126.7259
MEM 33.734375 1751612126.8263
MEM 33.734375 1751612126.9266
MEM 33.734375 1751612127.0270
MEM 33.734375 1751612127.1273
MEM 33.734375 1751612127.2276
MEM 33.734375 1751612127.3280
MEM 33.734375 1751612127.4283
MEM 33.734375 1751612127.5286
MEM 33.734375 1751612127.6290
MEM 33.734375 1751612127.7293
MEM 33.734375 1751612127.8296
MEM 33.734375 1751612127.9299
MEM 33.734375 1751612128.0303
MEM 33.734375 1751612128.1306
MEM 33.734375 1751612128.2309
MEM 33.734375 1751612128.3312
MEM 33.734375 1751612128.4315
MEM 33.734375 1751612128.5319
MEM 33.734375 1751612128.6321
MEM 33.734375 1751612128.7325
MEM 33.734375 1751612128.8328
MEM 33.734375 1751612128.9331
MEM 33.734375 1751612129.0334
MEM 33.734375 1751612129.1337
MEM 33.734375 1751612129.2340
MEM 33.734375 1751612129.3344
MEM 33.734375 1751612129.4347
MEM 33.734375 1751612129.5351
MEM 33.734375 1751612129.6354
MEM 33.734375 1751612129.7358
MEM 33.734375 1751612129.8361
MEM 33.734375 1751612129.9364
MEM 33.734375 1751612130.0368
MEM 33.734375 1751612130.1371
MEM 33.734375 1751612130.2375
MEM 33.734375 1751612130.3378
MEM 33.734375 1751612130.4381
MEM 33.734375 1751612130.5385
MEM 33.734375 1751612130.6389
MEM 33.734375 1751612130.7392
MEM 33.734375 1751612130.8395
MEM 33.734375 1751612130.9399
MEM 33.734375 1751612131.0402
MEM 33.734375 1751612131.1405
MEM 33.734375 1751612131.2409
MEM 33.734375 1751612131.3412
MEM 33.734375 1751612131.4416
MEM 33.734375 1751612131.5419
MEM 33.734375 1751612131.6422
MEM 33.734375 1751612131.7425
MEM 33.734375 1751612131.8429
MEM 33.734375 1751612131.9432
MEM 33.734375 1751612132.0436
MEM 33.734375 1751612132.1439
MEM 33.734375 1751612132.2443
MEM 33.734375 1751612132.3446
MEM 33.734375 1751612132.4449
MEM 33.734375 1751612132.5453
MEM 33.734375 1751612132.6456
MEM 33.734375 1751612132.7459
MEM 33.734375 1751612132.8462
MEM 33.734375 1751612132.9466
MEM 33.734375 1751612133.0469
MEM 33.734375 1751612133.1472
MEM 33.734375 1751612133.2476
MEM 33.734375 1751612133.3479
MEM 33.734375 1751612133.4483
MEM 33.734375 1751612133.5486
MEM 33.734375 1751612133.6489
MEM 33.734375 1751612133.7493
MEM 33.734375 1751612133.8496
MEM 33.734375 1751612133.9499
MEM 33.734375 1751612134.0503
MEM 33.734375 1751612134.1506
MEM 33.734375 1751612134.2509
MEM 33.734375 1751612134.3512
MEM 33.734375 1751612134.4516
MEM 33.734375 1751612134.5519
MEM 33.734375 1751612134.6522
MEM 33.734375 1751612134.7526
MEM 33.734375 1751612134.8529
MEM 33.734375 1751612134.9533
MEM 33.734375 1751612135.0536
MEM 33.734375 1751612135.1539
MEM 33.734375 1751612135.2542
MEM 33.734375 1751612135.3546
MEM 33.734375 1751612135.4550
MEM 33.734375 1751612135.5553
MEM 33.734375 1751612135.6557
MEM 33.734375 1751612135.7560
MEM 33.734375 1751612135.8563
MEM 33.734375 1751612135.9567
MEM 33.734375 1751612136.0570
MEM 33.734375 1751612136.1574
MEM 33.734375 1751612136.2578
MEM 33.734375 1751612136.3581
MEM 33.734375 1751612136.4584
MEM 33.734375 1751612136.5588
MEM 33.734375 1751612136.6591
MEM 33.734375 1751612136.7595
MEM 33.734375 1751612136.8598
MEM 33.734375 1751612136.9601
MEM 33.734375 1751612137.0605
MEM 33.734375 1751612137.1608
MEM 33.734375 1751612137.2611
MEM 33.734375 1751612137.3615
MEM 33.734375 1751612137.4618
MEM 33.734375 1751612137.5621
MEM 33.734375 1751612137.6624
MEM 33.734375 1751612137.7628
MEM 33.734375 1751612137.8631
MEM 33.734375 1751612137.9635
MEM 33.734375 1751612138.0639
MEM 33.734375 1751612138.1642
