CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.269531 1751603303.4700
MEM 24.796875 1751603303.5703
MEM 29.933594 1751603303.6706
MEM 31.199219 1751603303.7710
MEM 32.699219 1751603303.8713
MEM 32.699219 1751603303.9716
MEM 32.699219 1751603304.0720
MEM 32.699219 1751603304.1724
MEM 32.699219 1751603304.2727
MEM 32.699219 1751603304.3730
MEM 32.699219 1751603304.4733
MEM 32.699219 1751603304.5736
MEM 32.699219 1751603304.6740
MEM 32.699219 1751603304.7743
MEM 32.699219 1751603304.8747
MEM 32.699219 1751603304.9750
MEM 32.699219 1751603305.0753
MEM 32.699219 1751603305.1757
MEM 32.699219 1751603305.2760
MEM 32.699219 1751603305.3763
MEM 32.699219 1751603305.4766
MEM 32.699219 1751603305.5770
MEM 32.699219 1751603305.6773
MEM 32.699219 1751603305.7776
MEM 32.699219 1751603305.8780
MEM 32.699219 1751603305.9783
MEM 32.699219 1751603306.0787
MEM 32.699219 1751603306.1790
MEM 32.699219 1751603306.2793
MEM 32.699219 1751603306.3797
MEM 32.699219 1751603306.4800
MEM 32.699219 1751603306.5803
MEM 32.699219 1751603306.6806
MEM 32.699219 1751603306.7810
MEM 32.699219 1751603306.8813
MEM 32.699219 1751603306.9816
MEM 32.699219 1751603307.0820
MEM 32.699219 1751603307.1823
MEM 32.699219 1751603307.2826
MEM 32.699219 1751603307.3830
MEM 32.699219 1751603307.4833
MEM 32.699219 1751603307.5836
MEM 32.699219 1751603307.6839
MEM 32.699219 1751603307.7843
MEM 32.699219 1751603307.8846
MEM 32.699219 1751603307.9850
MEM 32.699219 1751603308.0854
MEM 32.699219 1751603308.1857
MEM 32.699219 1751603308.2861
MEM 32.699219 1751603308.3864
MEM 32.699219 1751603308.4868
MEM 32.699219 1751603308.5871
MEM 32.699219 1751603308.6875
MEM 32.699219 1751603308.7878
MEM 32.699219 1751603308.8881
MEM 32.699219 1751603308.9885
