CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1751603395.8543
MEM 26.117188 1751603395.9547
MEM 29.765625 1751603396.0550
MEM 35.015625 1751603396.1554
MEM 35.015625 1751603396.2557
MEM 35.015625 1751603396.3560
MEM 35.015625 1751603396.4563
MEM 35.015625 1751603396.5566
MEM 35.015625 1751603396.6569
MEM 35.015625 1751603396.7573
MEM 35.015625 1751603396.8576
MEM 35.015625 1751603396.9579
MEM 35.015625 1751603397.0583
MEM 35.015625 1751603397.1586
MEM 35.015625 1751603397.2589
MEM 35.015625 1751603397.3593
MEM 35.015625 1751603397.4596
MEM 35.015625 1751603397.5599
MEM 35.015625 1751603397.6602
MEM 35.015625 1751603397.7606
MEM 35.015625 1751603397.8609
MEM 35.140625 1751603397.9612
MEM 35.140625 1751603398.0616
MEM 35.140625 1751603398.1619
MEM 35.140625 1751603398.2622
MEM 35.140625 1751603398.3626
MEM 35.140625 1751603398.4629
MEM 35.140625 1751603398.5632
MEM 35.140625 1751603398.6635
MEM 35.140625 1751603398.7639
MEM 35.140625 1751603398.8642
MEM 35.140625 1751603398.9645
MEM 35.140625 1751603399.0649
MEM 35.140625 1751603399.1653
MEM 35.140625 1751603399.2656
MEM 35.140625 1751603399.3660
MEM 35.140625 1751603399.4663
MEM 35.140625 1751603399.5666
MEM 35.140625 1751603399.6670
MEM 35.140625 1751603399.7673
MEM 35.140625 1751603399.8676
MEM 35.140625 1751603399.9680
MEM 35.140625 1751603400.0684
MEM 35.140625 1751603400.1687
MEM 35.140625 1751603400.2691
MEM 35.140625 1751603400.3694
MEM 35.140625 1751603400.4697
MEM 35.140625 1751603400.5701
MEM 35.140625 1751603400.6704
MEM 35.140625 1751603400.7707
MEM 35.140625 1751603400.8711
MEM 35.140625 1751603400.9714
MEM 35.140625 1751603401.0717
MEM 35.140625 1751603401.1721
MEM 35.140625 1751603401.2724
MEM 35.140625 1751603401.3727
MEM 35.140625 1751603401.4730
