CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1751610991.5440
MEM 26.523438 1751610991.6443
MEM 29.066406 1751610991.7445
MEM 30.816406 1751610991.8447
MEM 30.816406 1751610991.9449
MEM 30.816406 1751610992.0451
MEM 30.816406 1751610992.1453
MEM 30.816406 1751610992.2455
MEM 30.816406 1751610992.3457
MEM 30.816406 1751610992.4459
MEM 30.816406 1751610992.5461
MEM 30.816406 1751610992.6463
MEM 30.816406 1751610992.7465
MEM 30.816406 1751610992.8467
MEM 30.816406 1751610992.9469
MEM 30.816406 1751610993.0471
MEM 30.816406 1751610993.1473
MEM 30.816406 1751610993.2475
MEM 30.816406 1751610993.3477
MEM 30.816406 1751610993.4479
MEM 30.816406 1751610993.5481
MEM 30.816406 1751610993.6483
MEM 30.816406 1751610993.7485
MEM 30.816406 1751610993.8487
MEM 30.816406 1751610993.9489
MEM 30.816406 1751610994.0491
MEM 30.816406 1751610994.1493
MEM 30.816406 1751610994.2495
MEM 30.816406 1751610994.3497
MEM 30.816406 1751610994.4499
MEM 30.816406 1751610994.5501
MEM 30.816406 1751610994.6503
MEM 30.816406 1751610994.7505
MEM 30.816406 1751610994.8507
MEM 30.816406 1751610994.9509
MEM 30.816406 1751610995.0511
MEM 30.816406 1751610995.1513
MEM 30.816406 1751610995.2515
MEM 30.816406 1751610995.3517
MEM 30.816406 1751610995.4519
MEM 30.816406 1751610995.5521
MEM 30.816406 1751610995.6523
MEM 30.816406 1751610995.7525
MEM 30.816406 1751610995.8527
MEM 30.816406 1751610995.9529
MEM 30.816406 1751610996.0531
MEM 30.816406 1751610996.1533
MEM 30.816406 1751610996.2535
MEM 30.816406 1751610996.3537
MEM 30.816406 1751610996.4539
MEM 30.816406 1751610996.5541
MEM 30.816406 1751610996.6543
MEM 30.816406 1751610996.7546
MEM 30.816406 1751610996.8548
MEM 30.816406 1751610996.9550
MEM 30.816406 1751610997.0552
MEM 30.816406 1751610997.1554
MEM 30.816406 1751610997.2556
MEM 30.816406 1751610997.3558
MEM 30.816406 1751610997.4560
MEM 30.816406 1751610997.5562
MEM 30.816406 1751610997.6564
MEM 30.816406 1751610997.7566
MEM 30.816406 1751610997.8568
MEM 30.816406 1751610997.9570
MEM 30.816406 1751610998.0572
MEM 30.816406 1751610998.1574
MEM 30.816406 1751610998.2576
MEM 30.816406 1751610998.3578
MEM 30.816406 1751610998.4580
MEM 30.816406 1751610998.5582
MEM 30.816406 1751610998.6584
MEM 30.816406 1751610998.7587
MEM 30.816406 1751610998.8589
MEM 30.816406 1751610998.9591
MEM 30.816406 1751610999.0593
MEM 30.816406 1751610999.1595
MEM 30.816406 1751610999.2597
MEM 30.816406 1751610999.3599
MEM 30.816406 1751610999.4601
MEM 30.816406 1751610999.5603
MEM 30.816406 1751610999.6605
MEM 30.816406 1751610999.7607
MEM 30.816406 1751610999.8609
MEM 30.816406 1751610999.9611
MEM 30.816406 1751611000.0613
MEM 30.816406 1751611000.1615
MEM 30.816406 1751611000.2617
MEM 30.816406 1751611000.3619
MEM 30.816406 1751611000.4621
MEM 30.816406 1751611000.5623
MEM 30.816406 1751611000.6625
MEM 30.816406 1751611000.7627
MEM 30.816406 1751611000.8629
MEM 30.816406 1751611000.9631
MEM 30.816406 1751611001.0633
MEM 30.816406 1751611001.1635
MEM 30.816406 1751611001.2637
MEM 30.816406 1751611001.3639
MEM 30.816406 1751611001.4641
MEM 30.816406 1751611001.5643
MEM 30.816406 1751611001.6645
MEM 30.816406 1751611001.7647
MEM 30.816406 1751611001.8650
MEM 30.816406 1751611001.9652
MEM 30.816406 1751611002.0654
MEM 30.816406 1751611002.1656
MEM 30.816406 1751611002.2658
MEM 30.816406 1751611002.3660
MEM 30.816406 1751611002.4662
MEM 30.816406 1751611002.5664
MEM 30.816406 1751611002.6666
MEM 30.816406 1751611002.7668
MEM 30.816406 1751611002.8671
MEM 30.816406 1751611002.9674
MEM 30.816406 1751611003.0676
MEM 30.816406 1751611003.1678
MEM 30.816406 1751611003.2680
MEM 30.816406 1751611003.3682
MEM 30.816406 1751611003.4684
MEM 30.816406 1751611003.5687
MEM 30.816406 1751611003.6689
MEM 30.816406 1751611003.7691
MEM 30.816406 1751611003.8693
MEM 30.816406 1751611003.9696
MEM 30.816406 1751611004.0698
MEM 30.816406 1751611004.1700
MEM 30.816406 1751611004.2702
MEM 30.816406 1751611004.3704
MEM 30.816406 1751611004.4707
MEM 30.816406 1751611004.5709
MEM 30.816406 1751611004.6711
MEM 30.816406 1751611004.7713
MEM 30.816406 1751611004.8715
MEM 30.816406 1751611004.9717
MEM 30.816406 1751611005.0719
MEM 30.816406 1751611005.1721
MEM 30.816406 1751611005.2724
MEM 30.816406 1751611005.3727
MEM 30.816406 1751611005.4728
MEM 30.816406 1751611005.5730
MEM 30.816406 1751611005.6732
MEM 30.816406 1751611005.7734
MEM 30.816406 1751611005.8737
MEM 30.816406 1751611005.9739
MEM 30.816406 1751611006.0741
MEM 30.816406 1751611006.1743
MEM 30.816406 1751611006.2745
MEM 30.816406 1751611006.3747
MEM 30.941406 1751611006.4749
MEM 30.941406 1751611006.5751
MEM 30.941406 1751611006.6753
MEM 30.941406 1751611006.7755
MEM 30.941406 1751611006.8757
MEM 30.941406 1751611006.9759
MEM 30.941406 1751611007.0761
MEM 30.941406 1751611007.1763
MEM 30.941406 1751611007.2765
MEM 30.941406 1751611007.3767
MEM 30.941406 1751611007.4769
MEM 30.941406 1751611007.5771
MEM 30.941406 1751611007.6773
MEM 30.941406 1751611007.7775
MEM 30.941406 1751611007.8777
MEM 30.941406 1751611007.9779
MEM 30.941406 1751611008.0781
MEM 30.941406 1751611008.1783
MEM 30.941406 1751611008.2785
