CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_disperse.py
MEM 0.281250 1751841473.0844
MEM 26.429688 1751841473.1847
MEM 29.574219 1751841473.2849
MEM 33.699219 1751841473.3852
MEM 34.074219 1751841473.4855
MEM 34.074219 1751841473.5857
MEM 34.074219 1751841473.6860
MEM 34.199219 1751841473.7862
MEM 34.199219 1751841473.8864
MEM 34.199219 1751841473.9867
MEM 34.199219 1751841474.0870
MEM 34.199219 1751841474.1873
MEM 34.199219 1751841474.2875
MEM 34.199219 1751841474.3877
MEM 34.199219 1751841474.4880
MEM 34.199219 1751841474.5883
MEM 34.199219 1751841474.6886
MEM 34.199219 1751841474.7889
MEM 34.199219 1751841474.8892
MEM 34.199219 1751841474.9894
MEM 34.199219 1751841475.0897
MEM 34.199219 1751841475.1899
MEM 34.199219 1751841475.2903
MEM 34.199219 1751841475.3905
MEM 34.199219 1751841475.4908
MEM 34.199219 1751841475.5911
MEM 34.199219 1751841475.6913
MEM 34.199219 1751841475.7916
MEM 34.199219 1751841475.8918
MEM 34.199219 1751841475.9921
MEM 34.199219 1751841476.0923
MEM 34.199219 1751841476.1926
MEM 34.199219 1751841476.2929
MEM 34.199219 1751841476.3931
MEM 34.199219 1751841476.4934
MEM 34.199219 1751841476.5936
MEM 34.199219 1751841476.6939
MEM 34.199219 1751841476.7941
MEM 34.199219 1751841476.8944
MEM 34.199219 1751841476.9946
MEM 34.199219 1751841477.0948
MEM 34.199219 1751841477.1951
MEM 34.199219 1751841477.2954
MEM 34.199219 1751841477.3956
MEM 34.199219 1751841477.4959
MEM 34.199219 1751841477.5962
MEM 34.199219 1751841477.6964
MEM 34.199219 1751841477.7967
MEM 34.199219 1751841477.8970
MEM 34.199219 1751841477.9974
MEM 34.199219 1751841478.0976
MEM 34.199219 1751841478.1980
MEM 34.199219 1751841478.2983
MEM 34.199219 1751841478.3986
MEM 34.199219 1751841478.4989
MEM 34.199219 1751841478.5991
MEM 34.199219 1751841478.6994
MEM 34.199219 1751841478.7996
MEM 34.199219 1751841478.8999
MEM 34.199219 1751841479.0002
MEM 34.199219 1751841479.1004
MEM 34.199219 1751841479.2007
MEM 34.199219 1751841479.3011
MEM 34.199219 1751841479.4014
MEM 34.199219 1751841479.5017
MEM 34.199219 1751841479.6020
MEM 34.199219 1751841479.7023
MEM 34.199219 1751841479.8025
MEM 34.199219 1751841479.9028
MEM 34.199219 1751841480.0030
MEM 34.199219 1751841480.1033
MEM 34.199219 1751841480.2036
MEM 34.199219 1751841480.3038
MEM 34.199219 1751841480.4041
MEM 34.199219 1751841480.5045
MEM 34.199219 1751841480.6048
MEM 34.199219 1751841480.7051
MEM 34.199219 1751841480.8054
MEM 34.199219 1751841480.9056
MEM 34.199219 1751841481.0059
MEM 34.199219 1751841481.1062
MEM 34.199219 1751841481.2064
MEM 34.199219 1751841481.3067
MEM 34.199219 1751841481.4069
MEM 34.199219 1751841481.5072
MEM 34.199219 1751841481.6074
MEM 34.199219 1751841481.7076
MEM 34.199219 1751841481.8079
MEM 34.199219 1751841481.9081
