CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_disperse.py
MEM 0.429688 1751841415.9820
MEM 24.875000 1751841416.0823
MEM 28.871094 1751841416.1827
MEM 33.621094 1751841416.2831
MEM 34.121094 1751841416.3834
MEM 34.121094 1751841416.4837
MEM 34.121094 1751841416.5840
MEM 34.246094 1751841416.6844
MEM 34.246094 1751841416.7848
MEM 34.246094 1751841416.8851
MEM 34.246094 1751841416.9855
MEM 34.246094 1751841417.0858
MEM 34.246094 1751841417.1861
MEM 34.246094 1751841417.2865
MEM 34.246094 1751841417.3869
MEM 34.246094 1751841417.4872
MEM 34.246094 1751841417.5876
MEM 34.246094 1751841417.6879
MEM 34.246094 1751841417.7883
MEM 34.246094 1751841417.8886
MEM 34.246094 1751841417.9889
MEM 34.246094 1751841418.0893
MEM 34.246094 1751841418.1916
MEM 34.246094 1751841418.2919
MEM 34.246094 1751841418.3923
MEM 34.246094 1751841418.4927
MEM 34.246094 1751841418.5930
MEM 34.246094 1751841418.6934
MEM 34.246094 1751841418.7937
MEM 34.246094 1751841418.8941
MEM 34.246094 1751841418.9945
MEM 34.246094 1751841419.0948
MEM 34.246094 1751841419.1951
MEM 34.246094 1751841419.2955
MEM 34.246094 1751841419.3959
MEM 34.246094 1751841419.4962
MEM 34.246094 1751841419.5966
MEM 34.246094 1751841419.6969
MEM 34.246094 1751841419.7973
MEM 34.246094 1751841419.8977
MEM 34.246094 1751841419.9980
MEM 34.246094 1751841420.0984
MEM 34.246094 1751841420.1987
MEM 34.246094 1751841420.2991
MEM 34.246094 1751841420.3994
MEM 34.246094 1751841420.4997
MEM 34.246094 1751841420.6001
MEM 34.246094 1751841420.7004
MEM 34.246094 1751841420.8007
MEM 34.246094 1751841420.9011
MEM 34.246094 1751841421.0015
MEM 34.246094 1751841421.1019
MEM 34.246094 1751841421.2022
MEM 34.246094 1751841421.3026
MEM 34.246094 1751841421.4030
MEM 34.246094 1751841421.5033
MEM 34.246094 1751841421.6037
MEM 34.246094 1751841421.7040
MEM 34.246094 1751841421.8044
MEM 34.246094 1751841421.9047
MEM 34.246094 1751841422.0050
MEM 34.246094 1751841422.1054
MEM 34.246094 1751841422.2057
MEM 34.246094 1751841422.3061
MEM 34.246094 1751841422.4064
MEM 34.246094 1751841422.5068
MEM 34.246094 1751841422.6072
MEM 34.246094 1751841422.7075
MEM 34.246094 1751841422.8079
MEM 34.246094 1751841422.9082
MEM 34.246094 1751841423.0086
MEM 34.246094 1751841423.1089
MEM 34.246094 1751841423.2093
MEM 34.246094 1751841423.3096
MEM 34.246094 1751841423.4100
MEM 34.246094 1751841423.5103
MEM 34.246094 1751841423.6107
MEM 34.246094 1751841423.7110
MEM 34.246094 1751841423.8114
MEM 34.246094 1751841423.9117
MEM 34.246094 1751841424.0121
MEM 34.246094 1751841424.1125
MEM 34.246094 1751841424.2128
MEM 34.246094 1751841424.3131
MEM 34.246094 1751841424.4135
MEM 34.246094 1751841424.5138
MEM 34.246094 1751841424.6141
MEM 34.246094 1751841424.7145
MEM 34.246094 1751841424.8149
MEM 34.246094 1751841424.9152
MEM 34.246094 1751841425.0156
MEM 34.246094 1751841425.1159
MEM 34.246094 1751841425.2162
MEM 34.246094 1751841425.3166
MEM 34.246094 1751841425.4170
MEM 34.246094 1751841425.5173
MEM 34.246094 1751841425.6176
MEM 34.246094 1751841425.7180
MEM 34.246094 1751841425.8183
MEM 34.246094 1751841425.9187
MEM 34.246094 1751841426.0190
MEM 34.246094 1751841426.1194
MEM 34.246094 1751841426.2197
MEM 34.246094 1751841426.3200
MEM 34.246094 1751841426.4204
MEM 34.246094 1751841426.5207
MEM 34.246094 1751841426.6210
MEM 34.246094 1751841426.7214
MEM 34.246094 1751841426.8217
MEM 34.246094 1751841426.9221
MEM 34.246094 1751841427.0225
MEM 34.246094 1751841427.1228
MEM 34.246094 1751841427.2231
MEM 34.246094 1751841427.3235
MEM 34.246094 1751841427.4239
MEM 34.246094 1751841427.5242
MEM 34.246094 1751841427.6246
MEM 34.246094 1751841427.7249
MEM 34.246094 1751841427.8253
MEM 34.246094 1751841427.9256
MEM 34.246094 1751841428.0260
MEM 34.246094 1751841428.1263
MEM 34.246094 1751841428.2267
MEM 34.246094 1751841428.3270
MEM 34.246094 1751841428.4273
MEM 34.246094 1751841428.5277
MEM 34.246094 1751841428.6280
MEM 34.246094 1751841428.7284
MEM 34.246094 1751841428.8287
MEM 34.246094 1751841428.9290
MEM 34.246094 1751841429.0294
MEM 34.246094 1751841429.1297
MEM 34.246094 1751841429.2300
MEM 34.246094 1751841429.3303
MEM 34.246094 1751841429.4307
MEM 34.246094 1751841429.5310
MEM 34.246094 1751841429.6314
MEM 34.246094 1751841429.7317
MEM 34.246094 1751841429.8320
MEM 34.246094 1751841429.9324
MEM 34.246094 1751841430.0327
MEM 34.246094 1751841430.1330
MEM 34.246094 1751841430.2333
MEM 34.246094 1751841430.3337
MEM 34.246094 1751841430.4340
MEM 34.246094 1751841430.5343
MEM 34.246094 1751841430.6347
MEM 34.246094 1751841430.7350
MEM 34.246094 1751841430.8353
MEM 34.246094 1751841430.9357
MEM 34.246094 1751841431.0360
MEM 34.246094 1751841431.1364
MEM 34.246094 1751841431.2367
MEM 34.246094 1751841431.3371
MEM 34.246094 1751841431.4374
MEM 34.246094 1751841431.5378
MEM 34.246094 1751841431.6381
MEM 34.246094 1751841431.7385
MEM 34.246094 1751841431.8388
MEM 34.246094 1751841431.9391
MEM 34.246094 1751841432.0395
MEM 34.246094 1751841432.1399
MEM 34.246094 1751841432.2402
MEM 34.246094 1751841432.3406
MEM 34.246094 1751841432.4409
MEM 34.246094 1751841432.5412
MEM 34.246094 1751841432.6416
MEM 34.246094 1751841432.7419
MEM 34.246094 1751841432.8423
MEM 34.246094 1751841432.9426
MEM 34.246094 1751841433.0430
MEM 34.246094 1751841433.1433
MEM 34.246094 1751841433.2437
MEM 34.246094 1751841433.3440
MEM 34.246094 1751841433.4444
MEM 34.246094 1751841433.5447
MEM 34.246094 1751841433.6451
MEM 34.246094 1751841433.7454
MEM 34.246094 1751841433.8457
MEM 34.246094 1751841433.9460
MEM 34.246094 1751841434.0463
MEM 34.246094 1751841434.1467
MEM 34.246094 1751841434.2470
MEM 34.246094 1751841434.3474
MEM 34.246094 1751841434.4477
MEM 34.246094 1751841434.5480
MEM 34.246094 1751841434.6484
MEM 34.246094 1751841434.7487
MEM 34.246094 1751841434.8490
MEM 34.246094 1751841434.9494
MEM 34.246094 1751841435.0497
MEM 34.246094 1751841435.1500
MEM 34.246094 1751841435.2504
MEM 34.246094 1751841435.3507
MEM 34.246094 1751841435.4511
MEM 34.246094 1751841435.5514
MEM 34.246094 1751841435.6517
MEM 34.246094 1751841435.7521
MEM 34.246094 1751841435.8524
MEM 34.246094 1751841435.9527
MEM 34.246094 1751841436.0530
MEM 34.246094 1751841436.1534
MEM 34.246094 1751841436.2537
MEM 34.246094 1751841436.3541
MEM 34.246094 1751841436.4545
MEM 34.246094 1751841436.5548
MEM 34.246094 1751841436.6552
MEM 34.246094 1751841436.7556
MEM 34.246094 1751841436.8559
MEM 34.246094 1751841436.9562
MEM 34.246094 1751841437.0566
MEM 34.246094 1751841437.1569
MEM 34.246094 1751841437.2573
MEM 34.246094 1751841437.3577
MEM 34.246094 1751841437.4580
MEM 34.246094 1751841437.5584
MEM 34.246094 1751841437.6587
MEM 34.246094 1751841437.7590
MEM 34.246094 1751841437.8594
MEM 34.246094 1751841437.9597
MEM 34.246094 1751841438.0600
MEM 34.246094 1751841438.1604
MEM 34.246094 1751841438.2607
MEM 34.246094 1751841438.3610
MEM 34.246094 1751841438.4614
MEM 34.246094 1751841438.5617
MEM 34.246094 1751841438.6621
MEM 34.246094 1751841438.7625
MEM 34.246094 1751841438.8628
MEM 34.246094 1751841438.9631
MEM 34.246094 1751841439.0635
MEM 34.246094 1751841439.1638
MEM 34.246094 1751841439.2641
MEM 34.246094 1751841439.3645
MEM 34.246094 1751841439.4648
MEM 34.246094 1751841439.5652
MEM 34.246094 1751841439.6656
MEM 34.246094 1751841439.7659
MEM 34.246094 1751841439.8663
MEM 34.246094 1751841439.9666
MEM 34.246094 1751841440.0670
MEM 34.246094 1751841440.1673
MEM 34.246094 1751841440.2677
MEM 34.246094 1751841440.3680
MEM 34.246094 1751841440.4683
MEM 34.246094 1751841440.5687
MEM 34.246094 1751841440.6690
MEM 34.246094 1751841440.7694
MEM 34.246094 1751841440.8697
MEM 34.246094 1751841440.9700
MEM 34.246094 1751841441.0704
MEM 34.246094 1751841441.1707
MEM 34.246094 1751841441.2711
MEM 34.246094 1751841441.3714
MEM 34.246094 1751841441.4717
MEM 34.246094 1751841441.5721
MEM 34.246094 1751841441.6725
MEM 34.246094 1751841441.7729
MEM 34.246094 1751841441.8732
MEM 34.246094 1751841441.9736
MEM 34.246094 1751841442.0739
MEM 34.371094 1751841442.1742
MEM 34.371094 1751841442.2746
MEM 34.371094 1751841442.3749
MEM 34.371094 1751841442.4753
