CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 4.574219 1751815100.8743
MEM 21.003906 1751815100.9746
MEM 28.031250 1751815101.0749
MEM 29.406250 1751815101.1751
MEM 29.406250 1751815101.2753
MEM 29.406250 1751815101.3756
MEM 29.406250 1751815101.4758
MEM 29.406250 1751815101.5761
MEM 29.406250 1751815101.6763
MEM 29.406250 1751815101.7765
MEM 29.406250 1751815101.8767
MEM 29.406250 1751815101.9769
MEM 29.406250 1751815102.0772
MEM 29.406250 1751815102.1775
MEM 29.406250 1751815102.2778
MEM 29.406250 1751815102.3780
MEM 29.406250 1751815102.4783
MEM 29.406250 1751815102.5785
MEM 29.406250 1751815102.6787
MEM 29.406250 1751815102.7789
MEM 29.406250 1751815102.8791
MEM 29.406250 1751815102.9793
MEM 29.406250 1751815103.0795
MEM 29.406250 1751815103.1797
MEM 29.406250 1751815103.2799
MEM 29.406250 1751815103.3801
MEM 29.406250 1751815103.4803
MEM 29.406250 1751815103.5805
MEM 29.406250 1751815103.6807
MEM 29.406250 1751815103.7809
MEM 29.406250 1751815103.8811
MEM 29.406250 1751815103.9813
MEM 29.406250 1751815104.0815
MEM 29.406250 1751815104.1817
MEM 29.406250 1751815104.2819
MEM 29.406250 1751815104.3822
MEM 29.406250 1751815104.4824
MEM 29.406250 1751815104.5826
MEM 29.406250 1751815104.6829
MEM 29.406250 1751815104.7832
MEM 29.406250 1751815104.8834
MEM 29.406250 1751815104.9836
MEM 29.406250 1751815105.0838
MEM 29.406250 1751815105.1841
MEM 29.406250 1751815105.2843
MEM 29.406250 1751815105.3845
MEM 29.406250 1751815105.4847
MEM 29.406250 1751815105.5849
MEM 29.406250 1751815105.6851
MEM 29.406250 1751815105.7853
MEM 29.406250 1751815105.8855
MEM 29.406250 1751815105.9858
MEM 29.406250 1751815106.0860
MEM 29.406250 1751815106.1861
MEM 29.406250 1751815106.2863
MEM 29.406250 1751815106.3865
MEM 29.406250 1751815106.4867
MEM 29.406250 1751815106.5869
MEM 29.406250 1751815106.6871
MEM 29.406250 1751815106.7873
MEM 29.406250 1751815106.8875
MEM 29.406250 1751815106.9877
MEM 29.406250 1751815107.0879
MEM 29.406250 1751815107.1881
MEM 29.406250 1751815107.2883
MEM 29.406250 1751815107.3885
MEM 29.406250 1751815107.4887
MEM 29.406250 1751815107.5889
MEM 29.406250 1751815107.6891
MEM 29.406250 1751815107.7893
MEM 29.406250 1751815107.8895
MEM 29.406250 1751815107.9897
MEM 29.406250 1751815108.0899
MEM 29.406250 1751815108.1901
MEM 29.406250 1751815108.2903
MEM 29.406250 1751815108.3905
MEM 29.406250 1751815108.4907
MEM 29.406250 1751815108.5908
MEM 29.406250 1751815108.6911
MEM 29.406250 1751815108.7913
MEM 29.406250 1751815108.8914
MEM 29.406250 1751815108.9916
MEM 29.406250 1751815109.0918
MEM 29.406250 1751815109.1921
MEM 29.406250 1751815109.2923
MEM 29.406250 1751815109.3925
MEM 29.406250 1751815109.4927
MEM 29.406250 1751815109.5929
MEM 29.406250 1751815109.6931
MEM 29.406250 1751815109.7933
MEM 29.406250 1751815109.8935
MEM 29.406250 1751815109.9937
MEM 29.406250 1751815110.0939
MEM 29.406250 1751815110.1941
MEM 29.406250 1751815110.2943
MEM 29.406250 1751815110.3945
MEM 29.406250 1751815110.4947
MEM 29.406250 1751815110.5949
MEM 29.406250 1751815110.6951
MEM 29.406250 1751815110.7954
MEM 29.406250 1751815110.8957
MEM 29.406250 1751815110.9959
MEM 29.406250 1751815111.0961
MEM 29.406250 1751815111.1964
MEM 29.406250 1751815111.2966
MEM 29.406250 1751815111.3968
MEM 29.406250 1751815111.4970
MEM 29.406250 1751815111.5972
MEM 29.406250 1751815111.6974
MEM 29.406250 1751815111.7976
MEM 29.406250 1751815111.8978
MEM 29.406250 1751815111.9980
MEM 29.406250 1751815112.0982
MEM 29.406250 1751815112.1984
MEM 29.406250 1751815112.2986
