CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1751820955.6452
MEM 23.769531 1751820955.7455
MEM 29.292969 1751820955.8457
MEM 30.128906 1751820955.9459
MEM 32.628906 1751820956.0462
MEM 33.503906 1751820956.1465
MEM 33.503906 1751820956.2468
MEM 33.503906 1751820956.3471
MEM 33.503906 1751820956.4473
MEM 33.503906 1751820956.5475
MEM 33.503906 1751820956.6478
MEM 33.503906 1751820956.7481
MEM 33.503906 1751820956.8484
MEM 33.503906 1751820956.9486
MEM 33.503906 1751820957.0489
MEM 33.503906 1751820957.1492
MEM 33.503906 1751820957.2494
MEM 33.503906 1751820957.3496
MEM 33.503906 1751820957.4499
MEM 33.503906 1751820957.5501
MEM 33.503906 1751820957.6504
MEM 33.503906 1751820957.7506
MEM 33.503906 1751820957.8508
MEM 33.503906 1751820957.9511
MEM 33.503906 1751820958.0513
MEM 33.503906 1751820958.1516
MEM 33.503906 1751820958.2519
MEM 33.503906 1751820958.3522
MEM 33.503906 1751820958.4524
MEM 33.503906 1751820958.5526
MEM 33.503906 1751820958.6528
MEM 33.503906 1751820958.7530
MEM 33.503906 1751820958.8533
MEM 33.503906 1751820958.9537
MEM 33.503906 1751820959.0540
MEM 33.503906 1751820959.1543
MEM 33.503906 1751820959.2545
MEM 33.503906 1751820959.3547
MEM 33.503906 1751820959.4550
MEM 33.503906 1751820959.5552
MEM 33.503906 1751820959.6554
MEM 33.503906 1751820959.7557
MEM 33.503906 1751820959.8559
MEM 33.503906 1751820959.9562
MEM 33.503906 1751820960.0565
MEM 33.503906 1751820960.1568
MEM 33.503906 1751820960.2571
MEM 33.503906 1751820960.3573
MEM 33.503906 1751820960.4576
MEM 33.503906 1751820960.5578
MEM 33.503906 1751820960.6581
MEM 33.503906 1751820960.7584
MEM 33.503906 1751820960.8587
MEM 33.503906 1751820960.9589
MEM 33.503906 1751820961.0592
MEM 33.503906 1751820961.1595
MEM 33.503906 1751820961.2597
MEM 33.503906 1751820961.3599
MEM 33.503906 1751820961.4602
MEM 33.503906 1751820961.5605
MEM 33.503906 1751820961.6607
MEM 33.503906 1751820961.7609
