CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1751839580.7560
MEM 25.871094 1751839580.8564
MEM 28.667969 1751839580.9567
MEM 29.167969 1751839581.0571
MEM 29.167969 1751839581.1574
MEM 29.167969 1751839581.2578
MEM 29.167969 1751839581.3581
MEM 29.167969 1751839581.4584
MEM 29.167969 1751839581.5587
MEM 29.167969 1751839581.6591
MEM 29.167969 1751839581.7594
MEM 29.167969 1751839581.8597
MEM 29.167969 1751839581.9601
MEM 29.167969 1751839582.0604
MEM 29.167969 1751839582.1607
MEM 29.167969 1751839582.2611
MEM 29.167969 1751839582.3614
MEM 29.167969 1751839582.4617
MEM 29.167969 1751839582.5620
MEM 29.167969 1751839582.6623
MEM 29.167969 1751839582.7627
MEM 29.167969 1751839582.8630
MEM 29.292969 1751839582.9633
MEM 29.292969 1751839583.0636
MEM 29.292969 1751839583.1639
MEM 29.292969 1751839583.2643
MEM 29.292969 1751839583.3646
MEM 29.292969 1751839583.4649
MEM 29.292969 1751839583.5652
MEM 29.292969 1751839583.6655
MEM 29.292969 1751839583.7658
MEM 29.292969 1751839583.8661
MEM 29.292969 1751839583.9665
MEM 29.292969 1751839584.0668
MEM 29.292969 1751839584.1671
MEM 29.292969 1751839584.2674
MEM 29.292969 1751839584.3677
MEM 29.292969 1751839584.4681
MEM 29.292969 1751839584.5684
MEM 29.292969 1751839584.6687
MEM 29.292969 1751839584.7690
MEM 29.292969 1751839584.8693
MEM 29.292969 1751839584.9696
MEM 29.292969 1751839585.0699
MEM 29.292969 1751839585.1702
MEM 29.292969 1751839585.2706
MEM 29.292969 1751839585.3709
MEM 29.292969 1751839585.4713
MEM 29.292969 1751839585.5716
MEM 29.292969 1751839585.6719
MEM 29.292969 1751839585.7721
MEM 29.292969 1751839585.8725
MEM 29.292969 1751839585.9728
MEM 29.292969 1751839586.0731
MEM 29.292969 1751839586.1735
MEM 29.292969 1751839586.2738
MEM 29.292969 1751839586.3741
MEM 29.292969 1751839586.4744
MEM 29.292969 1751839586.5747
MEM 29.292969 1751839586.6750
MEM 29.292969 1751839586.7753
MEM 29.292969 1751839586.8756
MEM 29.292969 1751839586.9760
MEM 29.292969 1751839587.0763
MEM 29.292969 1751839587.1766
MEM 29.292969 1751839587.2769
MEM 29.292969 1751839587.3772
MEM 29.292969 1751839587.4776
MEM 29.292969 1751839587.5779
MEM 29.292969 1751839587.6782
MEM 29.292969 1751839587.7785
MEM 29.292969 1751839587.8788
MEM 29.292969 1751839587.9791
MEM 29.292969 1751839588.0794
MEM 29.292969 1751839588.1797
MEM 29.292969 1751839588.2801
MEM 29.292969 1751839588.3804
MEM 29.292969 1751839588.4807
MEM 29.292969 1751839588.5810
MEM 29.292969 1751839588.6813
MEM 29.292969 1751839588.7816
MEM 29.292969 1751839588.8819
MEM 29.292969 1751839588.9822
MEM 29.292969 1751839589.0825
MEM 29.292969 1751839589.1828
MEM 29.292969 1751839589.2832
MEM 29.292969 1751839589.3835
MEM 29.292969 1751839589.4838
MEM 29.292969 1751839589.5841
MEM 29.292969 1751839589.6844
MEM 29.292969 1751839589.7847
MEM 29.292969 1751839589.8850
MEM 29.292969 1751839589.9854
MEM 29.292969 1751839590.0857
MEM 29.292969 1751839590.1860
MEM 29.292969 1751839590.2863
MEM 29.292969 1751839590.3866
MEM 29.292969 1751839590.4870
MEM 29.292969 1751839590.5873
MEM 29.292969 1751839590.6876
MEM 29.292969 1751839590.7879
MEM 29.292969 1751839590.8882
MEM 29.292969 1751839590.9886
MEM 29.292969 1751839591.0889
MEM 29.292969 1751839591.1892
MEM 29.292969 1751839591.2895
MEM 29.292969 1751839591.3898
MEM 29.292969 1751839591.4902
MEM 29.292969 1751839591.5905
MEM 29.292969 1751839591.6908
MEM 29.292969 1751839591.7911
MEM 29.292969 1751839591.8914
MEM 29.292969 1751839591.9917
MEM 29.292969 1751839592.0920
MEM 29.292969 1751839592.1924
MEM 29.292969 1751839592.2927
MEM 29.292969 1751839592.3930
MEM 29.292969 1751839592.4934
MEM 29.292969 1751839592.5937
MEM 29.292969 1751839592.6940
MEM 29.292969 1751839592.7943
MEM 29.292969 1751839592.8946
MEM 29.292969 1751839592.9950
MEM 29.292969 1751839593.0953
MEM 29.292969 1751839593.1956
MEM 29.292969 1751839593.2959
MEM 29.292969 1751839593.3962
MEM 29.292969 1751839593.4965
