CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1751827108.3855
MEM 26.058594 1751827108.4858
MEM 28.433594 1751827108.5862
MEM 28.808594 1751827108.6865
MEM 28.808594 1751827108.7869
MEM 28.808594 1751827108.8872
MEM 28.808594 1751827108.9875
MEM 28.808594 1751827109.0878
MEM 28.808594 1751827109.1882
MEM 28.808594 1751827109.2885
MEM 28.808594 1751827109.3888
MEM 28.808594 1751827109.4892
MEM 28.808594 1751827109.5895
MEM 28.808594 1751827109.6898
MEM 28.808594 1751827109.7901
MEM 28.808594 1751827109.8905
MEM 28.808594 1751827109.9908
MEM 28.808594 1751827110.0911
MEM 28.808594 1751827110.1914
MEM 28.808594 1751827110.2918
MEM 28.808594 1751827110.3921
MEM 28.808594 1751827110.4925
MEM 28.933594 1751827110.5928
MEM 28.933594 1751827110.6931
MEM 28.933594 1751827110.7934
MEM 28.933594 1751827110.8938
MEM 28.933594 1751827110.9941
MEM 28.933594 1751827111.0944
MEM 28.933594 1751827111.1947
MEM 28.933594 1751827111.2951
MEM 28.933594 1751827111.3954
MEM 28.933594 1751827111.4958
MEM 28.933594 1751827111.5961
MEM 28.933594 1751827111.6965
MEM 28.933594 1751827111.7968
MEM 28.933594 1751827111.8972
MEM 28.933594 1751827111.9975
MEM 28.933594 1751827112.0978
MEM 28.933594 1751827112.1982
MEM 28.933594 1751827112.2985
MEM 28.933594 1751827112.3988
MEM 28.933594 1751827112.4992
MEM 28.933594 1751827112.5995
MEM 28.933594 1751827112.6999
MEM 28.933594 1751827112.8002
MEM 28.933594 1751827112.9005
MEM 28.933594 1751827113.0009
MEM 28.933594 1751827113.1012
MEM 28.933594 1751827113.2015
MEM 28.933594 1751827113.3018
MEM 28.933594 1751827113.4022
MEM 28.933594 1751827113.5026
MEM 28.933594 1751827113.6029
MEM 28.933594 1751827113.7033
MEM 28.933594 1751827113.8036
MEM 28.933594 1751827113.9039
MEM 28.933594 1751827114.0043
MEM 28.933594 1751827114.1046
MEM 28.933594 1751827114.2049
MEM 28.933594 1751827114.3052
MEM 28.933594 1751827114.4056
MEM 28.933594 1751827114.5059
MEM 28.933594 1751827114.6063
MEM 28.933594 1751827114.7066
MEM 28.933594 1751827114.8069
MEM 28.933594 1751827114.9073
MEM 28.933594 1751827115.0076
MEM 28.933594 1751827115.1079
MEM 28.933594 1751827115.2082
MEM 28.933594 1751827115.3107
MEM 28.933594 1751827115.4111
MEM 28.933594 1751827115.5114
MEM 28.933594 1751827115.6117
MEM 28.933594 1751827115.7121
MEM 28.933594 1751827115.8124
MEM 28.933594 1751827115.9127
MEM 28.933594 1751827116.0131
MEM 28.933594 1751827116.1134
MEM 28.933594 1751827116.2137
MEM 28.933594 1751827116.3141
MEM 28.933594 1751827116.4144
MEM 28.933594 1751827116.5147
MEM 28.933594 1751827116.6151
MEM 28.933594 1751827116.7154
MEM 28.933594 1751827116.8158
MEM 28.933594 1751827116.9161
MEM 28.933594 1751827117.0165
MEM 28.933594 1751827117.1168
MEM 28.933594 1751827117.2171
MEM 28.933594 1751827117.3175
MEM 28.933594 1751827117.4178
MEM 28.933594 1751827117.5181
MEM 28.933594 1751827117.6185
MEM 28.933594 1751827117.7188
MEM 28.933594 1751827117.8192
MEM 28.933594 1751827117.9195
MEM 28.933594 1751827118.0198
MEM 28.933594 1751827118.1202
MEM 28.933594 1751827118.2205
MEM 28.933594 1751827118.3208
MEM 28.933594 1751827118.4212
MEM 28.933594 1751827118.5215
MEM 28.933594 1751827118.6219
MEM 28.933594 1751827118.7222
MEM 28.933594 1751827118.8226
MEM 28.933594 1751827118.9229
MEM 28.933594 1751827119.0232
MEM 28.933594 1751827119.1236
MEM 28.933594 1751827119.2239
MEM 28.933594 1751827119.3242
MEM 28.933594 1751827119.4245
MEM 28.933594 1751827119.5249
