CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1751822112.7399
MEM 23.703125 1751822112.8402
MEM 29.214844 1751822112.9404
MEM 30.167969 1751822113.0407
MEM 32.843750 1751822113.1410
MEM 33.593750 1751822113.2413
MEM 33.593750 1751822113.3416
MEM 33.593750 1751822113.4420
MEM 33.593750 1751822113.5423
MEM 33.593750 1751822113.6426
MEM 33.593750 1751822113.7429
MEM 33.593750 1751822113.8431
MEM 33.593750 1751822113.9433
MEM 33.593750 1751822114.0435
MEM 33.593750 1751822114.1438
MEM 33.593750 1751822114.2440
MEM 33.593750 1751822114.3443
MEM 33.593750 1751822114.4445
MEM 33.593750 1751822114.5449
MEM 33.593750 1751822114.6452
MEM 33.593750 1751822114.7454
MEM 33.593750 1751822114.8457
MEM 33.593750 1751822114.9459
MEM 33.593750 1751822115.0462
MEM 33.593750 1751822115.1464
MEM 33.593750 1751822115.2466
MEM 33.593750 1751822115.3469
MEM 33.593750 1751822115.4472
MEM 33.593750 1751822115.5475
MEM 33.593750 1751822115.6478
MEM 33.593750 1751822115.7481
MEM 33.593750 1751822115.8483
MEM 33.593750 1751822115.9485
MEM 33.593750 1751822116.0488
MEM 33.593750 1751822116.1490
MEM 33.593750 1751822116.2493
MEM 33.593750 1751822116.3496
MEM 33.593750 1751822116.4498
MEM 33.593750 1751822116.5502
MEM 33.593750 1751822116.6504
MEM 33.593750 1751822116.7506
MEM 33.593750 1751822116.8508
MEM 33.593750 1751822116.9510
MEM 33.593750 1751822117.0513
MEM 33.593750 1751822117.1515
MEM 33.593750 1751822117.2517
MEM 33.593750 1751822117.3520
MEM 33.593750 1751822117.4522
MEM 33.593750 1751822117.5525
MEM 33.593750 1751822117.6527
MEM 33.593750 1751822117.7530
MEM 33.593750 1751822117.8533
MEM 33.593750 1751822117.9536
MEM 33.593750 1751822118.0539
MEM 33.593750 1751822118.1541
MEM 33.593750 1751822118.2543
MEM 33.593750 1751822118.3546
MEM 33.593750 1751822118.4548
MEM 33.593750 1751822118.5550
MEM 33.593750 1751822118.6555
MEM 33.593750 1751822118.7558
MEM 33.593750 1751822118.8560
MEM 33.593750 1751822118.9562
MEM 33.593750 1751822119.0564
MEM 33.593750 1751822119.1566
MEM 33.593750 1751822119.2569
MEM 33.593750 1751822119.3573
MEM 33.593750 1751822119.4576
MEM 33.593750 1751822119.5579
MEM 33.593750 1751822119.6582
MEM 33.593750 1751822119.7585
MEM 33.593750 1751822119.8588
MEM 33.593750 1751822119.9591
MEM 33.593750 1751822120.0595
MEM 33.593750 1751822120.1597
MEM 33.593750 1751822120.2600
MEM 33.593750 1751822120.3603
MEM 33.593750 1751822120.4606
MEM 33.593750 1751822120.5609
MEM 33.593750 1751822120.6612
MEM 33.593750 1751822120.7614
MEM 33.593750 1751822120.8617
MEM 33.593750 1751822120.9619
MEM 33.593750 1751822121.0622
MEM 33.593750 1751822121.1625
MEM 33.593750 1751822121.2627
MEM 33.593750 1751822121.3630
MEM 33.593750 1751822121.4633
MEM 33.593750 1751822121.5636
MEM 33.593750 1751822121.6639
MEM 33.593750 1751822121.7642
MEM 33.593750 1751822121.8645
MEM 33.593750 1751822121.9648
MEM 33.593750 1751822122.0651
MEM 33.593750 1751822122.1653
MEM 33.593750 1751822122.2655
MEM 33.593750 1751822122.3658
MEM 33.593750 1751822122.4662
MEM 33.593750 1751822122.5664
MEM 33.593750 1751822122.6667
MEM 33.593750 1751822122.7670
MEM 33.593750 1751822122.8673
MEM 33.593750 1751822122.9676
MEM 33.593750 1751822123.0679
MEM 33.593750 1751822123.1682
MEM 33.593750 1751822123.2685
MEM 33.593750 1751822123.3688
MEM 33.593750 1751822123.4690
MEM 33.593750 1751822123.5693
MEM 33.593750 1751822123.6695
MEM 33.593750 1751822123.7698
MEM 33.593750 1751822123.8701
MEM 33.593750 1751822123.9704
MEM 33.593750 1751822124.0707
MEM 33.593750 1751822124.1710
MEM 33.593750 1751822124.2713
MEM 33.593750 1751822124.3716
MEM 33.593750 1751822124.4719
MEM 33.593750 1751822124.5722
MEM 33.593750 1751822124.6725
MEM 33.593750 1751822124.7728
MEM 33.593750 1751822124.8730
MEM 33.593750 1751822124.9733
MEM 33.593750 1751822125.0736
MEM 33.593750 1751822125.1739
MEM 33.593750 1751822125.2742
MEM 33.593750 1751822125.3745
MEM 33.593750 1751822125.4748
MEM 33.593750 1751822125.5751
MEM 33.593750 1751822125.6754
MEM 33.593750 1751822125.7758
MEM 33.593750 1751822125.8761
MEM 33.593750 1751822125.9764
MEM 33.593750 1751822126.0767
MEM 33.593750 1751822126.1770
MEM 33.593750 1751822126.2773
MEM 33.593750 1751822126.3776
MEM 33.593750 1751822126.4779
MEM 33.593750 1751822126.5782
MEM 33.593750 1751822126.6786
MEM 33.593750 1751822126.7789
MEM 33.593750 1751822126.8792
MEM 33.593750 1751822126.9795
MEM 33.593750 1751822127.0798
MEM 33.593750 1751822127.1801
MEM 33.593750 1751822127.2804
MEM 33.593750 1751822127.3807
MEM 33.593750 1751822127.4810
MEM 33.593750 1751822127.5813
MEM 33.593750 1751822127.6816
MEM 33.593750 1751822127.7818
MEM 33.593750 1751822127.8821
MEM 33.593750 1751822127.9824
MEM 33.593750 1751822128.0827
MEM 33.593750 1751822128.1830
MEM 33.593750 1751822128.2833
MEM 33.593750 1751822128.3836
MEM 33.593750 1751822128.4839
MEM 33.593750 1751822128.5842
MEM 33.593750 1751822128.6845
MEM 33.593750 1751822128.7848
MEM 33.593750 1751822128.8851
MEM 33.593750 1751822128.9853
MEM 33.593750 1751822129.0856
MEM 33.593750 1751822129.1859
MEM 33.593750 1751822129.2862
MEM 33.593750 1751822129.3865
