CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1751822399.9745
MEM 25.812500 1751822400.0748
MEM 28.484375 1751822400.1751
MEM 28.984375 1751822400.2754
MEM 28.984375 1751822400.3757
MEM 28.984375 1751822400.4759
MEM 28.984375 1751822400.5761
MEM 28.984375 1751822400.6763
MEM 28.984375 1751822400.7766
MEM 28.984375 1751822400.8768
MEM 28.984375 1751822400.9771
MEM 28.984375 1751822401.0773
MEM 28.984375 1751822401.1775
MEM 28.984375 1751822401.2778
MEM 28.984375 1751822401.3780
MEM 28.984375 1751822401.4783
MEM 28.984375 1751822401.5786
MEM 28.984375 1751822401.6789
MEM 28.984375 1751822401.7792
MEM 28.984375 1751822401.8795
MEM 28.984375 1751822401.9798
MEM 29.109375 1751822402.0802
MEM 29.109375 1751822402.1805
MEM 29.109375 1751822402.2807
MEM 29.109375 1751822402.3810
MEM 29.234375 1751822402.4813
MEM 29.234375 1751822402.5815
MEM 29.234375 1751822402.6817
MEM 29.234375 1751822402.7820
MEM 29.234375 1751822402.8822
MEM 29.234375 1751822402.9825
MEM 29.234375 1751822403.0827
MEM 29.234375 1751822403.1830
MEM 29.234375 1751822403.2833
MEM 29.234375 1751822403.3836
MEM 29.234375 1751822403.4838
MEM 29.234375 1751822403.5841
MEM 29.234375 1751822403.6844
MEM 29.234375 1751822403.7846
MEM 29.234375 1751822403.8849
MEM 29.234375 1751822403.9852
MEM 29.234375 1751822404.0855
MEM 29.234375 1751822404.1857
MEM 29.234375 1751822404.2860
MEM 29.234375 1751822404.3864
MEM 29.234375 1751822404.4867
MEM 29.234375 1751822404.5870
MEM 29.234375 1751822404.6874
MEM 29.234375 1751822404.7877
MEM 29.234375 1751822404.8879
MEM 29.234375 1751822404.9882
MEM 29.234375 1751822405.0886
MEM 29.234375 1751822405.1894
MEM 29.234375 1751822405.2897
MEM 29.234375 1751822405.3900
MEM 29.234375 1751822405.4903
MEM 29.234375 1751822405.5906
MEM 29.234375 1751822405.6909
MEM 29.234375 1751822405.7912
MEM 29.234375 1751822405.8915
MEM 29.234375 1751822405.9918
MEM 29.234375 1751822406.0920
MEM 29.234375 1751822406.1923
MEM 29.234375 1751822406.2926
MEM 29.234375 1751822406.3929
MEM 29.234375 1751822406.4932
MEM 29.234375 1751822406.5935
MEM 29.234375 1751822406.6938
MEM 29.234375 1751822406.7942
MEM 29.234375 1751822406.8945
MEM 29.234375 1751822406.9948
MEM 29.234375 1751822407.0950
MEM 29.234375 1751822407.1953
MEM 29.234375 1751822407.2956
MEM 29.234375 1751822407.3959
MEM 29.234375 1751822407.4963
MEM 29.234375 1751822407.5965
MEM 29.234375 1751822407.6967
MEM 29.234375 1751822407.7970
MEM 29.234375 1751822407.8972
MEM 29.234375 1751822407.9974
MEM 29.234375 1751822408.0977
MEM 29.234375 1751822408.1979
MEM 29.234375 1751822408.2982
MEM 29.234375 1751822408.3985
MEM 29.234375 1751822408.4988
MEM 29.234375 1751822408.5991
MEM 29.234375 1751822408.6994
MEM 29.234375 1751822408.7997
MEM 29.234375 1751822408.9000
MEM 29.234375 1751822409.0003
MEM 29.234375 1751822409.1006
MEM 29.234375 1751822409.2008
MEM 29.234375 1751822409.3011
MEM 29.234375 1751822409.4014
MEM 29.234375 1751822409.5016
MEM 29.234375 1751822409.6018
MEM 29.234375 1751822409.7021
MEM 29.234375 1751822409.8023
MEM 29.234375 1751822409.9025
MEM 29.234375 1751822410.0027
MEM 29.234375 1751822410.1030
MEM 29.234375 1751822410.2034
MEM 29.234375 1751822410.3037
MEM 29.234375 1751822410.4039
MEM 29.234375 1751822410.5042
MEM 29.234375 1751822410.6045
MEM 29.234375 1751822410.7048
MEM 29.234375 1751822410.8051
MEM 29.234375 1751822410.9054
MEM 29.234375 1751822411.0057
MEM 29.234375 1751822411.1060
MEM 29.234375 1751822411.2063
MEM 29.234375 1751822411.3066
MEM 29.234375 1751822411.4069
MEM 29.234375 1751822411.5072
MEM 29.234375 1751822411.6074
MEM 29.234375 1751822411.7077
MEM 29.234375 1751822411.8081
MEM 29.234375 1751822411.9084
MEM 29.234375 1751822412.0087
MEM 29.234375 1751822412.1094
MEM 29.234375 1751822412.2097
MEM 29.234375 1751822412.3100
MEM 29.484375 1751822412.4104
MEM 29.484375 1751822412.5107
MEM 29.484375 1751822412.6110
MEM 29.484375 1751822412.7113
MEM 29.484375 1751822412.8116
MEM 29.484375 1751822412.9119
MEM 29.484375 1751822413.0123
MEM 29.484375 1751822413.1126
MEM 29.484375 1751822413.2129
MEM 29.484375 1751822413.3132
MEM 29.484375 1751822413.4135
MEM 29.484375 1751822413.5138
MEM 29.484375 1751822413.6141
MEM 29.484375 1751822413.7145
MEM 29.484375 1751822413.8148
MEM 29.484375 1751822413.9151
MEM 29.484375 1751822414.0154
MEM 29.484375 1751822414.1157
MEM 29.484375 1751822414.2160
MEM 29.484375 1751822414.3163
MEM 29.484375 1751822414.4166
MEM 29.484375 1751822414.5169
MEM 29.484375 1751822414.6173
MEM 29.484375 1751822414.7176
MEM 29.484375 1751822414.8178
MEM 29.484375 1751822414.9182
MEM 29.484375 1751822415.0185
MEM 29.484375 1751822415.1188
MEM 29.484375 1751822415.2191
MEM 29.484375 1751822415.3194
MEM 29.484375 1751822415.4197
MEM 29.484375 1751822415.5200
MEM 29.484375 1751822415.6203
MEM 29.484375 1751822415.7206
MEM 29.484375 1751822415.8209
MEM 29.484375 1751822415.9212
MEM 29.484375 1751822416.0215
MEM 29.484375 1751822416.1218
MEM 29.484375 1751822416.2221
MEM 29.484375 1751822416.3224
MEM 29.484375 1751822416.4226
MEM 29.484375 1751822416.5229
MEM 29.484375 1751822416.6232
MEM 29.484375 1751822416.7235
MEM 29.484375 1751822416.8238
MEM 29.484375 1751822416.9240
MEM 29.484375 1751822417.0243
MEM 29.484375 1751822417.1245
MEM 29.484375 1751822417.2248
MEM 29.484375 1751822417.3250
MEM 29.484375 1751822417.4252
MEM 29.484375 1751822417.5255
MEM 29.484375 1751822417.6257
MEM 29.484375 1751822417.7259
MEM 29.484375 1751822417.8263
MEM 29.484375 1751822417.9266
MEM 29.484375 1751822418.0269
MEM 29.484375 1751822418.1276
MEM 29.484375 1751822418.2279
MEM 29.484375 1751822418.3283
MEM 29.484375 1751822418.4286
MEM 29.484375 1751822418.5289
MEM 29.484375 1751822418.6292
MEM 29.484375 1751822418.7295
MEM 29.484375 1751822418.8298
MEM 29.484375 1751822418.9302
MEM 29.484375 1751822419.0305
MEM 29.484375 1751822419.1308
MEM 29.484375 1751822419.2311
MEM 29.484375 1751822419.3314
MEM 29.484375 1751822419.4317
MEM 29.484375 1751822419.5320
MEM 29.484375 1751822419.6323
MEM 29.484375 1751822419.7325
MEM 29.484375 1751822419.8328
MEM 29.484375 1751822419.9331
MEM 29.484375 1751822420.0333
MEM 29.484375 1751822420.1336
MEM 29.484375 1751822420.2339
MEM 29.484375 1751822420.3342
MEM 29.484375 1751822420.4345
MEM 29.484375 1751822420.5347
MEM 29.484375 1751822420.6350
MEM 29.484375 1751822420.7353
MEM 29.484375 1751822420.8355
MEM 29.484375 1751822420.9358
MEM 29.484375 1751822421.0360
MEM 29.484375 1751822421.1363
MEM 29.484375 1751822421.2366
MEM 29.484375 1751822421.3369
MEM 29.484375 1751822421.4372
MEM 29.484375 1751822421.5374
MEM 29.484375 1751822421.6377
MEM 29.484375 1751822421.7380
MEM 29.484375 1751822421.8383
MEM 29.484375 1751822421.9385
MEM 29.484375 1751822422.0387
MEM 29.484375 1751822422.1389
MEM 29.484375 1751822422.2392
MEM 29.484375 1751822422.3394
MEM 29.484375 1751822422.4396
MEM 29.484375 1751822422.5398
MEM 29.484375 1751822422.6400
MEM 29.484375 1751822422.7403
MEM 29.484375 1751822422.8405
MEM 29.484375 1751822422.9407
MEM 29.484375 1751822423.0409
MEM 29.484375 1751822423.1412
MEM 29.484375 1751822423.2414
MEM 29.484375 1751822423.3416
MEM 29.484375 1751822423.4418
MEM 29.484375 1751822423.5421
MEM 29.484375 1751822423.6423
MEM 29.484375 1751822423.7425
MEM 29.484375 1751822423.8427
MEM 29.484375 1751822423.9429
MEM 29.484375 1751822424.0432
MEM 29.484375 1751822424.1434
MEM 29.484375 1751822424.2437
MEM 29.484375 1751822424.3440
MEM 29.484375 1751822424.4443
MEM 29.484375 1751822424.5445
MEM 29.484375 1751822424.6447
MEM 29.484375 1751822424.7450
MEM 29.484375 1751822424.8452
MEM 29.484375 1751822424.9454
MEM 29.484375 1751822425.0457
MEM 29.484375 1751822425.1459
MEM 29.484375 1751822425.2462
MEM 29.484375 1751822425.3464
MEM 29.484375 1751822425.4467
MEM 29.484375 1751822425.5470
MEM 29.484375 1751822425.6472
MEM 29.484375 1751822425.7475
MEM 29.484375 1751822425.8479
MEM 29.484375 1751822425.9482
MEM 29.484375 1751822426.0484
MEM 29.484375 1751822426.1487
MEM 29.484375 1751822426.2490
MEM 29.484375 1751822426.3493
MEM 29.484375 1751822426.4495
MEM 29.484375 1751822426.5498
MEM 29.484375 1751822426.6500
MEM 29.484375 1751822426.7503
MEM 29.484375 1751822426.8506
MEM 29.484375 1751822426.9509
MEM 29.484375 1751822427.0512
MEM 29.484375 1751822427.1514
MEM 29.484375 1751822427.2517
MEM 29.484375 1751822427.3519
MEM 29.484375 1751822427.4522
MEM 29.484375 1751822427.5524
MEM 29.484375 1751822427.6526
MEM 29.484375 1751822427.7528
MEM 29.484375 1751822427.8530
MEM 29.484375 1751822427.9533
MEM 29.484375 1751822428.0535
MEM 29.484375 1751822428.1538
MEM 29.484375 1751822428.2540
MEM 29.484375 1751822428.3543
MEM 29.484375 1751822428.4546
MEM 29.484375 1751822428.5549
MEM 29.484375 1751822428.6552
MEM 29.484375 1751822428.7555
MEM 29.484375 1751822428.8558
MEM 29.484375 1751822428.9561
MEM 29.484375 1751822429.0564
MEM 29.484375 1751822429.1566
MEM 29.484375 1751822429.2569
MEM 29.484375 1751822429.3572
MEM 29.484375 1751822429.4575
MEM 29.484375 1751822429.5577
MEM 29.484375 1751822429.6580
MEM 29.484375 1751822429.7583
MEM 29.484375 1751822429.8585
MEM 29.484375 1751822429.9587
MEM 29.484375 1751822430.0590
MEM 29.484375 1751822430.1593
MEM 29.484375 1751822430.2596
MEM 29.484375 1751822430.3599
MEM 29.484375 1751822430.4602
MEM 29.484375 1751822430.5605
MEM 29.484375 1751822430.6608
MEM 29.484375 1751822430.7611
MEM 29.484375 1751822430.8613
MEM 29.484375 1751822430.9616
MEM 29.484375 1751822431.0618
MEM 29.484375 1751822431.1620
MEM 29.484375 1751822431.2623
MEM 29.484375 1751822431.3625
MEM 29.484375 1751822431.4627
MEM 29.484375 1751822431.5629
MEM 29.484375 1751822431.6632
MEM 29.484375 1751822431.7635
MEM 29.484375 1751822431.8638
MEM 29.484375 1751822431.9641
MEM 29.484375 1751822432.0644
MEM 29.484375 1751822432.1647
MEM 29.484375 1751822432.2650
MEM 29.484375 1751822432.3653
MEM 29.484375 1751822432.4656
MEM 29.484375 1751822432.5659
MEM 29.484375 1751822432.6662
MEM 29.484375 1751822432.7664
MEM 29.484375 1751822432.8667
MEM 29.484375 1751822432.9669
MEM 29.484375 1751822433.0671
MEM 29.484375 1751822433.1674
MEM 29.484375 1751822433.2676
MEM 29.484375 1751822433.3679
MEM 29.484375 1751822433.4681
MEM 29.484375 1751822433.5683
MEM 29.484375 1751822433.6686
MEM 29.484375 1751822433.7688
MEM 29.484375 1751822433.8691
MEM 29.484375 1751822433.9693
MEM 29.484375 1751822434.0696
MEM 29.484375 1751822434.1699
MEM 29.484375 1751822434.2701
MEM 29.484375 1751822434.3704
MEM 29.484375 1751822434.4707
MEM 29.484375 1751822434.5710
MEM 29.484375 1751822434.6713
MEM 29.484375 1751822434.7715
MEM 29.484375 1751822434.8718
MEM 29.484375 1751822434.9720
MEM 29.484375 1751822435.0723
MEM 29.484375 1751822435.1725
MEM 29.484375 1751822435.2727
MEM 29.484375 1751822435.3729
MEM 29.484375 1751822435.4732
MEM 29.484375 1751822435.5734
MEM 29.484375 1751822435.6736
MEM 29.484375 1751822435.7738
MEM 29.484375 1751822435.8741
MEM 29.484375 1751822435.9743
MEM 29.484375 1751822436.0745
MEM 29.484375 1751822436.1748
MEM 29.484375 1751822436.2751
MEM 29.484375 1751822436.3754
MEM 29.484375 1751822436.4757
MEM 29.484375 1751822436.5760
MEM 29.484375 1751822436.6762
MEM 29.484375 1751822436.7765
MEM 29.484375 1751822436.8768
MEM 29.484375 1751822436.9771
MEM 29.484375 1751822437.0773
MEM 29.484375 1751822437.1775
MEM 29.484375 1751822437.2778
MEM 29.484375 1751822437.3781
MEM 29.484375 1751822437.4784
MEM 29.484375 1751822437.5787
MEM 29.484375 1751822437.6790
MEM 29.484375 1751822437.7793
MEM 29.484375 1751822437.8796
MEM 29.484375 1751822437.9799
MEM 29.484375 1751822438.0802
MEM 29.484375 1751822438.1805
MEM 29.484375 1751822438.2808
MEM 29.484375 1751822438.3812
MEM 29.484375 1751822438.4815
MEM 29.484375 1751822438.5817
MEM 29.484375 1751822438.6821
MEM 29.484375 1751822438.7824
MEM 29.484375 1751822438.8827
MEM 29.484375 1751822438.9830
MEM 29.484375 1751822439.0833
MEM 29.484375 1751822439.1836
MEM 29.484375 1751822439.2839
MEM 29.484375 1751822439.3842
MEM 29.484375 1751822439.4845
MEM 29.484375 1751822439.5848
MEM 29.484375 1751822439.6852
MEM 29.484375 1751822439.7855
MEM 29.484375 1751822439.8858
MEM 29.484375 1751822439.9860
MEM 29.484375 1751822440.0864
MEM 29.484375 1751822440.1867
MEM 29.484375 1751822440.2869
MEM 29.484375 1751822440.3873
MEM 29.484375 1751822440.4876
MEM 29.484375 1751822440.5879
MEM 29.484375 1751822440.6882
MEM 29.484375 1751822440.7885
MEM 29.484375 1751822440.8888
MEM 29.484375 1751822440.9892
MEM 29.484375 1751822441.0895
MEM 29.484375 1751822441.1898
MEM 29.484375 1751822441.2901
MEM 29.484375 1751822441.3904
MEM 29.484375 1751822441.4907
MEM 29.484375 1751822441.5910
MEM 29.484375 1751822441.6913
MEM 29.484375 1751822441.7916
MEM 29.484375 1751822441.8918
MEM 29.484375 1751822441.9921
MEM 29.484375 1751822442.0924
MEM 29.484375 1751822442.1927
MEM 29.484375 1751822442.2929
MEM 29.484375 1751822442.3932
MEM 29.484375 1751822442.4935
MEM 29.484375 1751822442.5938
MEM 29.484375 1751822442.6940
MEM 29.484375 1751822442.7943
MEM 29.484375 1751822442.8945
MEM 29.484375 1751822442.9947
MEM 29.484375 1751822443.0949
MEM 29.484375 1751822443.1952
MEM 29.484375 1751822443.2954
MEM 29.484375 1751822443.3957
MEM 29.484375 1751822443.4959
MEM 29.484375 1751822443.5962
MEM 29.484375 1751822443.6965
MEM 29.484375 1751822443.7968
MEM 29.484375 1751822443.8970
MEM 29.484375 1751822443.9972
MEM 29.484375 1751822444.0974
MEM 29.484375 1751822444.1976
MEM 29.484375 1751822444.2979
