CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.273438 1751846185.5511
MEM 26.507812 1751846185.6514
MEM 28.929688 1751846185.7517
MEM 29.054688 1751846185.8520
MEM 29.054688 1751846185.9523
MEM 29.054688 1751846186.0526
MEM 29.054688 1751846186.1530
MEM 29.054688 1751846186.2532
MEM 29.054688 1751846186.3535
MEM 29.054688 1751846186.4538
MEM 29.054688 1751846186.5541
MEM 29.054688 1751846186.6544
MEM 29.054688 1751846186.7547
MEM 29.054688 1751846186.8550
MEM 29.054688 1751846186.9553
MEM 29.054688 1751846187.0556
MEM 29.054688 1751846187.1560
MEM 29.054688 1751846187.2563
MEM 29.054688 1751846187.3566
MEM 29.054688 1751846187.4569
MEM 29.054688 1751846187.5572
MEM 29.054688 1751846187.6575
MEM 29.054688 1751846187.7578
MEM 29.054688 1751846187.8581
MEM 29.054688 1751846187.9584
MEM 29.054688 1751846188.0588
MEM 29.054688 1751846188.1591
MEM 29.054688 1751846188.2593
MEM 29.054688 1751846188.3596
MEM 29.054688 1751846188.4599
MEM 29.054688 1751846188.5601
MEM 29.054688 1751846188.6604
MEM 29.054688 1751846188.7606
MEM 29.054688 1751846188.8609
MEM 29.054688 1751846188.9612
MEM 29.054688 1751846189.0615
MEM 29.054688 1751846189.1618
MEM 29.054688 1751846189.2621
MEM 29.054688 1751846189.3624
MEM 29.054688 1751846189.4627
MEM 29.054688 1751846189.5630
MEM 29.054688 1751846189.6632
MEM 29.054688 1751846189.7635
MEM 29.054688 1751846189.8638
MEM 29.054688 1751846189.9640
MEM 29.054688 1751846190.0642
MEM 29.054688 1751846190.1646
MEM 29.054688 1751846190.2649
MEM 29.054688 1751846190.3652
MEM 29.054688 1751846190.4654
MEM 29.054688 1751846190.5657
MEM 29.054688 1751846190.6661
MEM 29.054688 1751846190.7664
MEM 29.054688 1751846190.8666
MEM 29.054688 1751846190.9669
MEM 29.054688 1751846191.0671
MEM 29.054688 1751846191.1674
MEM 29.054688 1751846191.2677
MEM 29.054688 1751846191.3680
MEM 29.054688 1751846191.4682
MEM 29.054688 1751846191.5684
