CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1751846494.0095
MEM 24.878906 1751846494.1099
MEM 28.531250 1751846494.2102
MEM 29.156250 1751846494.3105
MEM 29.156250 1751846494.4108
MEM 29.156250 1751846494.5112
MEM 29.156250 1751846494.6115
MEM 29.156250 1751846494.7119
MEM 29.156250 1751846494.8122
MEM 29.156250 1751846494.9125
MEM 29.156250 1751846495.0129
MEM 29.156250 1751846495.1132
MEM 29.156250 1751846495.2136
MEM 29.156250 1751846495.3139
MEM 29.156250 1751846495.4143
MEM 29.156250 1751846495.5146
MEM 29.156250 1751846495.6150
MEM 29.156250 1751846495.7153
MEM 29.156250 1751846495.8157
MEM 29.156250 1751846495.9160
MEM 29.156250 1751846496.0164
MEM 29.156250 1751846496.1168
MEM 29.156250 1751846496.2171
MEM 29.156250 1751846496.3174
MEM 29.281250 1751846496.4178
MEM 29.281250 1751846496.5181
MEM 29.281250 1751846496.6184
MEM 29.281250 1751846496.7188
MEM 29.281250 1751846496.8191
MEM 29.281250 1751846496.9194
MEM 29.281250 1751846497.0199
MEM 29.281250 1751846497.1202
MEM 29.281250 1751846497.2206
MEM 29.281250 1751846497.3209
MEM 29.281250 1751846497.4212
MEM 29.281250 1751846497.5216
MEM 29.281250 1751846497.6219
MEM 29.281250 1751846497.7222
MEM 29.281250 1751846497.8225
MEM 29.281250 1751846497.9229
MEM 29.281250 1751846498.0232
MEM 29.281250 1751846498.1235
MEM 29.281250 1751846498.2238
MEM 29.281250 1751846498.3242
MEM 29.281250 1751846498.4245
MEM 29.281250 1751846498.5249
MEM 29.281250 1751846498.6252
MEM 29.281250 1751846498.7256
MEM 29.281250 1751846498.8260
MEM 29.281250 1751846498.9263
MEM 29.281250 1751846499.0267
MEM 29.281250 1751846499.1271
MEM 29.281250 1751846499.2274
MEM 29.281250 1751846499.3278
MEM 29.281250 1751846499.4281
MEM 29.281250 1751846499.5284
MEM 29.281250 1751846499.6288
MEM 29.281250 1751846499.7291
MEM 29.281250 1751846499.8294
MEM 29.281250 1751846499.9297
MEM 29.281250 1751846500.0301
MEM 29.281250 1751846500.1304
MEM 29.281250 1751846500.2314
MEM 29.281250 1751846500.3318
MEM 29.281250 1751846500.4321
