CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1751863789.9859
MEM 26.265625 1751863790.0863
MEM 28.515625 1751863790.1866
MEM 28.890625 1751863790.2868
MEM 28.890625 1751863790.3871
MEM 28.890625 1751863790.4873
MEM 28.890625 1751863790.5875
MEM 28.890625 1751863790.6877
MEM 28.890625 1751863790.7879
MEM 28.890625 1751863790.8881
MEM 28.890625 1751863790.9884
MEM 28.890625 1751863791.0888
MEM 28.890625 1751863791.1890
MEM 28.890625 1751863791.2893
MEM 28.890625 1751863791.3895
MEM 28.890625 1751863791.4897
MEM 28.890625 1751863791.5899
MEM 28.890625 1751863791.6902
MEM 28.890625 1751863791.7904
MEM 28.890625 1751863791.8906
MEM 28.890625 1751863791.9908
MEM 28.890625 1751863792.0911
MEM 28.890625 1751863792.1914
MEM 28.890625 1751863792.2916
MEM 29.015625 1751863792.3918
MEM 29.015625 1751863792.4921
MEM 29.015625 1751863792.5923
MEM 29.015625 1751863792.6925
MEM 29.015625 1751863792.7927
MEM 29.015625 1751863792.8929
MEM 29.015625 1751863792.9931
MEM 29.015625 1751863793.0934
MEM 29.015625 1751863793.1937
MEM 29.015625 1751863793.2939
MEM 29.015625 1751863793.3941
MEM 29.015625 1751863793.4944
MEM 29.015625 1751863793.5946
MEM 29.015625 1751863793.6948
MEM 29.015625 1751863793.7950
MEM 29.015625 1751863793.8952
MEM 29.015625 1751863793.9954
MEM 29.015625 1751863794.0957
MEM 29.015625 1751863794.1959
MEM 29.015625 1751863794.2962
MEM 29.015625 1751863794.3964
MEM 29.015625 1751863794.4966
MEM 29.015625 1751863794.5968
MEM 29.015625 1751863794.6970
MEM 29.015625 1751863794.7972
MEM 29.015625 1751863794.8974
MEM 29.015625 1751863794.9976
MEM 29.015625 1751863795.0979
MEM 29.015625 1751863795.1982
MEM 29.015625 1751863795.2986
MEM 29.015625 1751863795.3989
MEM 29.015625 1751863795.4992
MEM 29.015625 1751863795.5994
MEM 29.015625 1751863795.6996
MEM 29.015625 1751863795.7998
MEM 29.015625 1751863795.9000
MEM 29.015625 1751863796.0002
MEM 29.015625 1751863796.1004
MEM 29.015625 1751863796.2006
MEM 29.015625 1751863796.3009
MEM 29.015625 1751863796.4013
MEM 29.015625 1751863796.5016
MEM 29.015625 1751863796.6019
MEM 29.015625 1751863796.7023
MEM 29.015625 1751863796.8026
MEM 29.015625 1751863796.9028
MEM 29.015625 1751863797.0031
MEM 29.015625 1751863797.1033
MEM 29.015625 1751863797.2036
MEM 29.015625 1751863797.3038
MEM 29.015625 1751863797.4041
MEM 29.015625 1751863797.5044
MEM 29.015625 1751863797.6047
MEM 29.015625 1751863797.7063
MEM 29.015625 1751863797.8066
MEM 29.015625 1751863797.9068
MEM 29.015625 1751863798.0070
MEM 29.015625 1751863798.1073
MEM 29.015625 1751863798.2076
MEM 29.015625 1751863798.3078
MEM 29.015625 1751863798.4080
MEM 29.015625 1751863798.5083
MEM 29.015625 1751863798.6085
MEM 29.015625 1751863798.7087
MEM 29.015625 1751863798.8089
MEM 29.015625 1751863798.9091
MEM 29.015625 1751863799.0094
MEM 29.015625 1751863799.1097
MEM 29.015625 1751863799.2100
MEM 29.015625 1751863799.3103
MEM 29.015625 1751863799.4105
MEM 29.015625 1751863799.5107
MEM 29.015625 1751863799.6109
MEM 29.015625 1751863799.7111
