CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.273438 1752167536.0169
MEM 26.523438 1752167536.1172
MEM 28.664062 1752167536.2175
MEM 29.039062 1752167536.3178
MEM 29.039062 1752167536.4180
MEM 29.039062 1752167536.5183
MEM 29.039062 1752167536.6187
MEM 29.039062 1752167536.7190
MEM 29.039062 1752167536.8193
MEM 29.039062 1752167536.9196
MEM 29.039062 1752167537.0199
MEM 29.039062 1752167537.1202
MEM 29.039062 1752167537.2205
MEM 29.039062 1752167537.3208
MEM 29.039062 1752167537.4211
MEM 29.039062 1752167537.5214
MEM 29.039062 1752167537.6218
MEM 29.039062 1752167537.7221
MEM 29.039062 1752167537.8224
MEM 29.039062 1752167537.9227
MEM 29.039062 1752167538.0229
MEM 29.039062 1752167538.1232
MEM 29.039062 1752167538.2235
MEM 29.039062 1752167538.3239
MEM 29.039062 1752167538.4242
MEM 29.039062 1752167538.5245
MEM 29.039062 1752167538.6247
MEM 29.039062 1752167538.7249
MEM 29.039062 1752167538.8252
MEM 29.039062 1752167538.9255
MEM 29.039062 1752167539.0258
MEM 29.039062 1752167539.1260
MEM 29.039062 1752167539.2263
MEM 29.039062 1752167539.3265
MEM 29.039062 1752167539.4268
MEM 29.039062 1752167539.5271
MEM 29.039062 1752167539.6273
MEM 29.039062 1752167539.7275
MEM 29.039062 1752167539.8277
MEM 29.039062 1752167539.9279
MEM 29.039062 1752167540.0282
MEM 29.039062 1752167540.1286
MEM 29.039062 1752167540.2289
MEM 29.039062 1752167540.3292
MEM 29.039062 1752167540.4295
MEM 29.039062 1752167540.5298
MEM 29.039062 1752167540.6300
MEM 29.039062 1752167540.7303
MEM 29.039062 1752167540.8306
MEM 29.039062 1752167540.9309
MEM 29.039062 1752167541.0312
MEM 29.039062 1752167541.1316
MEM 29.039062 1752167541.2320
MEM 29.039062 1752167541.3323
MEM 29.039062 1752167541.4325
MEM 29.039062 1752167541.5329
MEM 29.039062 1752167541.6332
MEM 29.039062 1752167541.7336
MEM 29.039062 1752167541.8339
MEM 29.039062 1752167541.9342
MEM 29.039062 1752167542.0346
MEM 29.039062 1752167542.1349
MEM 29.039062 1752167542.2352
MEM 29.039062 1752167542.3356
MEM 29.039062 1752167542.4359
MEM 29.039062 1752167542.5363
MEM 29.039062 1752167542.6366
MEM 29.039062 1752167542.7369
MEM 29.039062 1752167542.8372
MEM 29.039062 1752167542.9376
MEM 29.039062 1752167543.0379
MEM 29.039062 1752167543.1382
MEM 29.039062 1752167543.2386
MEM 29.039062 1752167543.3389
MEM 29.039062 1752167543.4392
MEM 29.039062 1752167543.5396
MEM 29.039062 1752167543.6399
MEM 29.039062 1752167543.7402
MEM 29.039062 1752167543.8405
MEM 29.039062 1752167543.9409
MEM 29.039062 1752167544.0412
MEM 29.039062 1752167544.1415
MEM 29.039062 1752167544.2418
MEM 29.039062 1752167544.3420
MEM 29.039062 1752167544.4422
MEM 29.039062 1752167544.5425
MEM 29.039062 1752167544.6427
MEM 29.039062 1752167544.7430
MEM 29.039062 1752167544.8434
MEM 29.039062 1752167544.9437
MEM 29.039062 1752167545.0440
MEM 29.039062 1752167545.1443
MEM 29.039062 1752167545.2446
MEM 29.039062 1752167545.3449
MEM 29.039062 1752167545.4452
MEM 29.039062 1752167545.5455
MEM 29.039062 1752167545.6458
MEM 29.039062 1752167545.7461
MEM 29.039062 1752167545.8465
MEM 29.039062 1752167545.9468
MEM 29.039062 1752167546.0472
MEM 29.039062 1752167546.1475
MEM 29.039062 1752167546.2478
MEM 29.039062 1752167546.3481
MEM 29.039062 1752167546.4485
MEM 29.039062 1752167546.5487
MEM 29.039062 1752167546.6491
MEM 29.039062 1752167546.7494
MEM 29.039062 1752167546.8497
MEM 29.039062 1752167546.9500
MEM 29.039062 1752167547.0503
MEM 29.039062 1752167547.1507
MEM 29.039062 1752167547.2510
MEM 29.039062 1752167547.3513
MEM 29.039062 1752167547.4515
MEM 29.039062 1752167547.5518
MEM 29.039062 1752167547.6520
MEM 29.039062 1752167547.7523
MEM 29.039062 1752167547.8526
MEM 29.039062 1752167547.9529
MEM 29.039062 1752167548.0532
MEM 29.039062 1752167548.1534
MEM 29.039062 1752167548.2536
MEM 29.039062 1752167548.3538
MEM 29.039062 1752167548.4541
MEM 29.039062 1752167548.5544
MEM 29.039062 1752167548.6547
MEM 29.039062 1752167548.7549
MEM 29.039062 1752167548.8552
MEM 29.039062 1752167548.9554
MEM 29.039062 1752167549.0557
MEM 29.039062 1752167549.1560
MEM 29.039062 1752167549.2563
MEM 29.039062 1752167549.3565
