CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 2.878906 1752167721.7747
MEM 26.050781 1752167721.8750
MEM 28.722656 1752167721.9766
MEM 29.222656 1752167722.0776
MEM 29.222656 1752167722.1778
MEM 29.222656 1752167722.2781
MEM 29.222656 1752167722.3785
MEM 29.222656 1752167722.4788
MEM 29.222656 1752167722.5791
MEM 29.222656 1752167722.6794
MEM 29.222656 1752167722.7797
MEM 29.222656 1752167722.8800
MEM 29.222656 1752167722.9804
MEM 29.222656 1752167723.0806
MEM 29.222656 1752167723.1810
MEM 29.222656 1752167723.2812
MEM 29.222656 1752167723.3815
MEM 29.222656 1752167723.4818
MEM 29.222656 1752167723.5820
MEM 29.222656 1752167723.6822
MEM 29.222656 1752167723.7824
MEM 29.222656 1752167723.8827
MEM 29.222656 1752167723.9830
MEM 29.347656 1752167724.0833
MEM 29.347656 1752167724.1835
MEM 29.347656 1752167724.2838
MEM 29.347656 1752167724.3840
MEM 29.347656 1752167724.4842
MEM 29.347656 1752167724.5845
MEM 29.347656 1752167724.6847
MEM 29.347656 1752167724.7850
MEM 29.347656 1752167724.8852
MEM 29.347656 1752167724.9855
MEM 29.347656 1752167725.0857
MEM 29.347656 1752167725.1859
MEM 29.347656 1752167725.2861
MEM 29.347656 1752167725.3863
MEM 29.347656 1752167725.4865
MEM 29.347656 1752167725.5867
MEM 29.347656 1752167725.6869
MEM 29.347656 1752167725.7872
MEM 29.347656 1752167725.8875
MEM 29.347656 1752167725.9877
MEM 29.347656 1752167726.0879
MEM 29.347656 1752167726.1881
MEM 29.347656 1752167726.2884
MEM 29.347656 1752167726.3886
MEM 29.347656 1752167726.4888
MEM 29.347656 1752167726.5890
MEM 29.347656 1752167726.6893
MEM 29.347656 1752167726.7896
MEM 29.347656 1752167726.8900
MEM 29.347656 1752167726.9903
MEM 29.347656 1752167727.0906
MEM 29.347656 1752167727.1908
MEM 29.347656 1752167727.2911
MEM 29.347656 1752167727.3914
MEM 29.347656 1752167727.4917
MEM 29.347656 1752167727.5920
MEM 29.347656 1752167727.6923
MEM 29.347656 1752167727.7926
