CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1752204105.1467
MEM 26.308594 1752204105.2470
MEM 29.324219 1752204105.3473
MEM 30.449219 1752204105.4476
MEM 30.449219 1752204105.5479
MEM 30.449219 1752204105.6482
MEM 30.449219 1752204105.7485
MEM 30.449219 1752204105.8489
MEM 30.449219 1752204105.9492
MEM 30.449219 1752204106.0494
MEM 30.449219 1752204106.1498
MEM 30.449219 1752204106.2501
MEM 30.449219 1752204106.3504
MEM 30.449219 1752204106.4507
MEM 30.574219 1752204106.5510
MEM 30.574219 1752204106.6513
MEM 30.574219 1752204106.7516
MEM 30.574219 1752204106.8519
MEM 30.574219 1752204106.9522
MEM 30.574219 1752204107.0525
MEM 30.574219 1752204107.1528
MEM 30.574219 1752204107.2531
MEM 30.574219 1752204107.3534
MEM 30.574219 1752204107.4538
MEM 30.574219 1752204107.5541
MEM 30.574219 1752204107.6544
MEM 30.574219 1752204107.7547
MEM 30.574219 1752204107.8550
MEM 30.574219 1752204107.9553
MEM 30.574219 1752204108.0556
MEM 30.574219 1752204108.1559
MEM 30.574219 1752204108.2562
MEM 30.574219 1752204108.3566
MEM 30.574219 1752204108.4569
MEM 30.574219 1752204108.5572
MEM 30.574219 1752204108.6575
MEM 30.574219 1752204108.7578
MEM 30.574219 1752204108.8581
MEM 30.574219 1752204108.9584
MEM 30.574219 1752204109.0588
MEM 30.574219 1752204109.1591
MEM 30.574219 1752204109.2594
MEM 30.574219 1752204109.3597
MEM 30.574219 1752204109.4600
MEM 30.574219 1752204109.5604
MEM 30.574219 1752204109.6607
MEM 30.574219 1752204109.7610
MEM 30.574219 1752204109.8613
MEM 30.574219 1752204109.9616
MEM 30.574219 1752204110.0620
MEM 30.574219 1752204110.1623
MEM 30.574219 1752204110.2626
MEM 30.574219 1752204110.3629
MEM 30.574219 1752204110.4632
MEM 30.574219 1752204110.5635
MEM 30.699219 1752204110.6639
MEM 30.699219 1752204110.7642
MEM 30.699219 1752204110.8645
MEM 30.699219 1752204110.9648
MEM 30.699219 1752204111.0651
MEM 30.699219 1752204111.1655
MEM 30.699219 1752204111.2658
MEM 30.699219 1752204111.3661
MEM 30.699219 1752204111.4663
MEM 30.699219 1752204111.5666
MEM 30.699219 1752204111.6669
MEM 30.699219 1752204111.7672
MEM 30.699219 1752204111.8675
MEM 30.699219 1752204111.9678
MEM 30.699219 1752204112.0682
MEM 30.699219 1752204112.1685
MEM 30.699219 1752204112.2688
MEM 31.199219 1752204112.3691
MEM 31.199219 1752204112.4694
MEM 31.199219 1752204112.5697
MEM 31.199219 1752204112.6700
MEM 31.199219 1752204112.7703
MEM 31.199219 1752204112.8706
MEM 31.199219 1752204112.9709
MEM 31.199219 1752204113.0712
MEM 31.199219 1752204113.1715
MEM 31.199219 1752204113.2718
MEM 31.199219 1752204113.3722
MEM 31.199219 1752204113.4725
MEM 31.199219 1752204113.5728
MEM 31.199219 1752204113.6731
MEM 31.199219 1752204113.7734
MEM 31.199219 1752204113.8737
MEM 31.199219 1752204113.9740
MEM 31.199219 1752204114.0743
MEM 31.199219 1752204114.1747
MEM 31.199219 1752204114.2750
MEM 31.199219 1752204114.3753
MEM 31.199219 1752204114.4756
MEM 31.199219 1752204114.5759
MEM 31.199219 1752204114.6762
MEM 31.199219 1752204114.7765
MEM 31.199219 1752204114.8768
MEM 31.199219 1752204114.9771
MEM 31.199219 1752204115.0774
MEM 31.199219 1752204115.1778
MEM 31.199219 1752204115.2781
MEM 31.199219 1752204115.3784
MEM 31.199219 1752204115.4787
MEM 31.199219 1752204115.5790
MEM 31.199219 1752204115.6794
MEM 31.199219 1752204115.7797
MEM 31.199219 1752204115.8800
MEM 31.199219 1752204115.9803
MEM 31.199219 1752204116.0805
MEM 31.199219 1752204116.1808
MEM 31.199219 1752204116.2811
MEM 31.199219 1752204116.3814
MEM 31.199219 1752204116.4817
MEM 31.199219 1752204116.5821
MEM 31.199219 1752204116.6824
MEM 31.199219 1752204116.7827
MEM 31.199219 1752204116.8829
MEM 31.199219 1752204116.9832
MEM 31.199219 1752204117.0835
MEM 31.199219 1752204117.1839
MEM 31.199219 1752204117.2842
MEM 31.199219 1752204117.3845
MEM 31.199219 1752204117.4848
MEM 31.199219 1752204117.5851
MEM 31.199219 1752204117.6854
MEM 31.199219 1752204117.7857
MEM 31.199219 1752204117.8860
MEM 31.199219 1752204117.9863
MEM 31.199219 1752204118.0867
MEM 31.199219 1752204118.1870
MEM 31.199219 1752204118.2873
MEM 31.199219 1752204118.3875
MEM 31.199219 1752204118.4878
MEM 31.199219 1752204118.5881
MEM 31.199219 1752204118.6884
MEM 31.199219 1752204118.7888
MEM 31.199219 1752204118.8891
MEM 31.199219 1752204118.9894
MEM 31.199219 1752204119.0897
MEM 31.199219 1752204119.1900
MEM 31.199219 1752204119.2903
MEM 31.199219 1752204119.3906
MEM 31.199219 1752204119.4909
MEM 31.199219 1752204119.5912
MEM 31.199219 1752204119.6915
MEM 31.199219 1752204119.7919
MEM 31.199219 1752204119.8922
MEM 31.199219 1752204119.9925
MEM 31.199219 1752204120.0928
MEM 31.199219 1752204120.1931
MEM 31.199219 1752204120.2934
MEM 31.199219 1752204120.3937
MEM 31.199219 1752204120.4941
MEM 31.199219 1752204120.5944
MEM 31.199219 1752204120.6947
MEM 31.199219 1752204120.7950
MEM 31.199219 1752204120.8953
MEM 31.199219 1752204120.9956
MEM 31.199219 1752204121.0959
MEM 31.199219 1752204121.1962
MEM 31.199219 1752204121.2965
MEM 31.199219 1752204121.3968
MEM 31.199219 1752204121.4971
MEM 31.199219 1752204121.5974
MEM 31.199219 1752204121.6979
MEM 31.199219 1752204121.7982
MEM 31.199219 1752204121.8985
MEM 31.199219 1752204121.9988
MEM 31.199219 1752204122.0991
MEM 31.199219 1752204122.1994
MEM 31.199219 1752204122.3000
MEM 31.199219 1752204122.4003
MEM 31.199219 1752204122.5006
MEM 31.199219 1752204122.6009
MEM 31.199219 1752204122.7013
MEM 31.199219 1752204122.8016
MEM 31.199219 1752204122.9019
MEM 31.199219 1752204123.0022
MEM 31.199219 1752204123.1025
MEM 31.199219 1752204123.2028
MEM 31.199219 1752204123.3031
MEM 31.199219 1752204123.4034
MEM 31.199219 1752204123.5037
MEM 31.199219 1752204123.6041
MEM 31.199219 1752204123.7044
MEM 31.199219 1752204123.8047
