CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1752203394.8196
MEM 25.207031 1752203394.9199
MEM 29.863281 1752203395.0202
MEM 30.910156 1752203395.1205
MEM 32.660156 1752203395.2209
MEM 32.660156 1752203395.3212
MEM 32.660156 1752203395.4215
MEM 32.660156 1752203395.5217
MEM 32.660156 1752203395.6220
MEM 32.660156 1752203395.7222
MEM 32.660156 1752203395.8226
MEM 32.660156 1752203395.9229
MEM 32.660156 1752203396.0231
MEM 32.660156 1752203396.1234
MEM 32.660156 1752203396.2237
MEM 32.660156 1752203396.3240
MEM 32.660156 1752203396.4243
MEM 32.660156 1752203396.5245
MEM 32.660156 1752203396.6248
MEM 32.660156 1752203396.7250
MEM 32.660156 1752203396.8253
MEM 32.660156 1752203396.9257
MEM 32.660156 1752203397.0260
MEM 32.660156 1752203397.1262
MEM 32.660156 1752203397.2265
MEM 32.660156 1752203397.3268
MEM 32.660156 1752203397.4271
MEM 32.660156 1752203397.5274
MEM 32.660156 1752203397.6276
MEM 32.660156 1752203397.7279
MEM 32.660156 1752203397.8283
MEM 32.660156 1752203397.9286
MEM 32.660156 1752203398.0289
MEM 32.660156 1752203398.1292
MEM 32.660156 1752203398.2294
MEM 32.660156 1752203398.3298
MEM 32.660156 1752203398.4301
MEM 32.660156 1752203398.5304
MEM 32.660156 1752203398.6308
MEM 32.660156 1752203398.7310
MEM 32.660156 1752203398.8314
MEM 32.660156 1752203398.9316
MEM 32.660156 1752203399.0319
MEM 32.660156 1752203399.1322
MEM 32.660156 1752203399.2326
MEM 32.660156 1752203399.3329
MEM 32.660156 1752203399.4332
MEM 32.660156 1752203399.5335
MEM 32.660156 1752203399.6338
MEM 32.660156 1752203399.7340
MEM 32.660156 1752203399.8343
MEM 32.660156 1752203399.9347
MEM 32.660156 1752203400.0350
MEM 32.660156 1752203400.1353
MEM 32.660156 1752203400.2356
MEM 32.660156 1752203400.3359
MEM 32.660156 1752203400.4362
MEM 32.660156 1752203400.5365
MEM 32.660156 1752203400.6368
MEM 32.660156 1752203400.7370
MEM 32.660156 1752203400.8373
MEM 32.660156 1752203400.9376
MEM 32.660156 1752203401.0379
MEM 32.660156 1752203401.1382
MEM 32.660156 1752203401.2385
MEM 32.660156 1752203401.3387
MEM 32.660156 1752203401.4391
MEM 32.660156 1752203401.5393
MEM 32.660156 1752203401.6396
MEM 32.660156 1752203401.7399
MEM 32.660156 1752203401.8402
MEM 32.660156 1752203401.9405
MEM 32.660156 1752203402.0408
MEM 32.660156 1752203402.1411
MEM 32.660156 1752203402.2416
MEM 32.660156 1752203402.3419
MEM 32.660156 1752203402.4422
MEM 32.660156 1752203402.5424
MEM 32.660156 1752203402.6428
MEM 32.660156 1752203402.7430
MEM 32.660156 1752203402.8433
MEM 32.660156 1752203402.9436
MEM 32.660156 1752203403.0438
MEM 32.660156 1752203403.1441
MEM 32.660156 1752203403.2444
MEM 32.660156 1752203403.3447
MEM 32.660156 1752203403.4450
MEM 32.660156 1752203403.5453
MEM 32.660156 1752203403.6455
MEM 32.660156 1752203403.7458
MEM 32.660156 1752203403.8460
MEM 32.660156 1752203403.9463
MEM 32.660156 1752203404.0466
MEM 32.660156 1752203404.1469
MEM 32.660156 1752203404.2471
MEM 32.660156 1752203404.3474
MEM 32.660156 1752203404.4478
MEM 32.660156 1752203404.5481
MEM 32.660156 1752203404.6483
MEM 32.660156 1752203404.7486
MEM 32.660156 1752203404.8489
MEM 32.660156 1752203404.9492
MEM 32.660156 1752203405.0495
MEM 32.660156 1752203405.1498
MEM 32.660156 1752203405.2501
MEM 32.660156 1752203405.3504
MEM 32.660156 1752203405.4507
MEM 32.660156 1752203405.5510
MEM 32.660156 1752203405.6513
MEM 32.660156 1752203405.7516
MEM 32.660156 1752203405.8519
MEM 32.660156 1752203405.9523
MEM 32.660156 1752203406.0525
MEM 32.660156 1752203406.1528
MEM 32.660156 1752203406.2531
MEM 32.660156 1752203406.3534
MEM 32.660156 1752203406.4537
MEM 32.660156 1752203406.5540
MEM 32.660156 1752203406.6543
MEM 32.660156 1752203406.7546
MEM 32.660156 1752203406.8549
MEM 32.660156 1752203406.9552
MEM 32.660156 1752203407.0555
MEM 32.660156 1752203407.1558
MEM 32.660156 1752203407.2560
MEM 32.660156 1752203407.3563
MEM 32.660156 1752203407.4566
MEM 32.660156 1752203407.5569
MEM 32.660156 1752203407.6571
MEM 32.660156 1752203407.7575
MEM 32.660156 1752203407.8578
MEM 32.660156 1752203407.9581
MEM 32.660156 1752203408.0584
MEM 32.660156 1752203408.1587
MEM 32.660156 1752203408.2590
MEM 32.660156 1752203408.3593
MEM 32.660156 1752203408.4596
MEM 32.660156 1752203408.5599
MEM 32.660156 1752203408.6602
MEM 32.660156 1752203408.7605
MEM 32.660156 1752203408.8608
MEM 32.660156 1752203408.9611
MEM 32.660156 1752203409.0614
MEM 32.660156 1752203409.1618
MEM 32.660156 1752203409.2621
MEM 32.660156 1752203409.3624
MEM 32.660156 1752203409.4628
MEM 32.660156 1752203409.5631
