CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1752203486.6907
MEM 26.074219 1752203486.7910
MEM 28.593750 1752203486.8913
MEM 28.718750 1752203486.9916
MEM 28.718750 1752203487.0919
MEM 28.718750 1752203487.1922
MEM 28.718750 1752203487.2924
MEM 28.718750 1752203487.3927
MEM 28.718750 1752203487.4930
MEM 28.718750 1752203487.5932
MEM 28.718750 1752203487.6935
MEM 28.718750 1752203487.7938
MEM 28.718750 1752203487.8941
MEM 28.718750 1752203487.9944
MEM 28.718750 1752203488.0946
MEM 28.718750 1752203488.1949
MEM 28.718750 1752203488.2951
MEM 28.718750 1752203488.3955
MEM 28.718750 1752203488.4957
MEM 28.718750 1752203488.5960
MEM 28.718750 1752203488.6963
MEM 28.718750 1752203488.7967
MEM 28.718750 1752203488.8969
MEM 28.718750 1752203488.9972
MEM 28.718750 1752203489.0974
MEM 28.718750 1752203489.1977
MEM 28.718750 1752203489.2980
MEM 28.718750 1752203489.3982
MEM 28.718750 1752203489.4986
MEM 28.718750 1752203489.5989
MEM 28.718750 1752203489.6992
MEM 28.718750 1752203489.7995
MEM 28.718750 1752203489.8997
MEM 28.718750 1752203490.0000
MEM 28.718750 1752203490.1003
MEM 28.718750 1752203490.2005
MEM 28.718750 1752203490.3008
MEM 28.718750 1752203490.4010
MEM 28.718750 1752203490.5014
MEM 28.718750 1752203490.6017
MEM 28.718750 1752203490.7020
MEM 28.718750 1752203490.8023
MEM 28.718750 1752203490.9026
MEM 28.718750 1752203491.0029
MEM 28.718750 1752203491.1032
MEM 28.718750 1752203491.2035
MEM 28.718750 1752203491.3038
MEM 28.718750 1752203491.4041
MEM 28.718750 1752203491.5044
MEM 28.718750 1752203491.6047
MEM 28.718750 1752203491.7051
MEM 28.718750 1752203491.8054
MEM 28.718750 1752203491.9057
MEM 28.718750 1752203492.0060
MEM 28.718750 1752203492.1063
MEM 28.718750 1752203492.2065
MEM 28.718750 1752203492.3067
MEM 28.718750 1752203492.4070
MEM 28.718750 1752203492.5073
MEM 28.718750 1752203492.6076
MEM 28.718750 1752203492.7079
MEM 28.718750 1752203492.8082
MEM 28.718750 1752203492.9086
MEM 28.718750 1752203493.0089
MEM 28.718750 1752203493.1092
MEM 28.718750 1752203493.2095
