CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1752203348.5379
MEM 25.851562 1752203348.6382
MEM 28.757812 1752203348.7385
MEM 29.882812 1752203348.8388
MEM 29.882812 1752203348.9390
MEM 29.882812 1752203349.0393
MEM 29.882812 1752203349.1397
MEM 29.882812 1752203349.2400
MEM 29.882812 1752203349.3403
MEM 29.882812 1752203349.4406
MEM 29.882812 1752203349.5409
MEM 29.882812 1752203349.6412
MEM 29.882812 1752203349.7415
MEM 29.882812 1752203349.8422
MEM 29.882812 1752203349.9425
MEM 29.882812 1752203350.0428
MEM 29.882812 1752203350.1432
MEM 29.882812 1752203350.2435
MEM 29.882812 1752203350.3438
MEM 29.882812 1752203350.4441
MEM 29.882812 1752203350.5444
MEM 29.882812 1752203350.6447
MEM 29.882812 1752203350.7450
MEM 29.882812 1752203350.8453
MEM 29.882812 1752203350.9456
MEM 29.882812 1752203351.0459
MEM 29.882812 1752203351.1462
MEM 29.882812 1752203351.2465
MEM 29.882812 1752203351.3468
MEM 29.882812 1752203351.4471
MEM 29.882812 1752203351.5474
MEM 29.882812 1752203351.6477
MEM 29.882812 1752203351.7480
MEM 29.882812 1752203351.8483
MEM 29.882812 1752203351.9486
MEM 29.882812 1752203352.0490
MEM 29.882812 1752203352.1493
MEM 29.882812 1752203352.2496
MEM 29.882812 1752203352.3499
MEM 29.882812 1752203352.4503
MEM 29.882812 1752203352.5506
MEM 29.882812 1752203352.6510
MEM 29.882812 1752203352.7512
MEM 29.882812 1752203352.8515
MEM 29.882812 1752203352.9518
MEM 29.882812 1752203353.0521
MEM 29.882812 1752203353.1524
MEM 29.882812 1752203353.2528
MEM 29.882812 1752203353.3531
MEM 29.882812 1752203353.4534
MEM 29.882812 1752203353.5537
MEM 29.882812 1752203353.6541
MEM 29.882812 1752203353.7544
MEM 29.882812 1752203353.8547
MEM 29.882812 1752203353.9550
MEM 29.882812 1752203354.0553
MEM 29.882812 1752203354.1556
MEM 29.882812 1752203354.2559
MEM 29.882812 1752203354.3562
MEM 29.882812 1752203354.4566
MEM 29.882812 1752203354.5569
MEM 29.882812 1752203354.6572
MEM 29.882812 1752203354.7576
MEM 29.882812 1752203354.8578
MEM 29.882812 1752203354.9581
MEM 29.882812 1752203355.0584
MEM 29.882812 1752203355.1587
MEM 29.882812 1752203355.2590
MEM 29.882812 1752203355.3593
MEM 29.882812 1752203355.4596
MEM 29.882812 1752203355.5599
MEM 29.882812 1752203355.6602
MEM 29.882812 1752203355.7605
MEM 29.882812 1752203355.8607
MEM 29.882812 1752203355.9610
MEM 29.882812 1752203356.0613
MEM 29.882812 1752203356.1616
MEM 29.882812 1752203356.2619
MEM 29.882812 1752203356.3622
MEM 29.882812 1752203356.4626
MEM 29.882812 1752203356.5629
