CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1752511023.5038
MEM 8.917969 1752511023.6041
MEM 11.207031 1752511023.7044
MEM 23.378906 1752511023.8048
MEM 23.617188 1752511023.9051
MEM 23.617188 1752511024.0053
MEM 24.515625 1752511024.1057
MEM 29.152344 1752511024.2059
MEM 29.605469 1752511024.3062
MEM 31.406250 1752511024.4065
MEM 33.531250 1752511024.5069
MEM 33.531250 1752511024.6072
MEM 33.531250 1752511024.7075
MEM 33.531250 1752511024.8079
MEM 33.531250 1752511024.9082
MEM 33.531250 1752511025.0085
MEM 33.531250 1752511025.1089
MEM 33.531250 1752511025.2092
MEM 33.531250 1752511025.3095
MEM 33.531250 1752511025.4099
MEM 33.531250 1752511025.5102
MEM 33.531250 1752511025.6105
MEM 33.531250 1752511025.7109
MEM 33.531250 1752511025.8112
MEM 33.531250 1752511025.9115
MEM 33.531250 1752511026.0118
MEM 33.531250 1752511026.1122
MEM 33.531250 1752511026.2125
MEM 33.531250 1752511026.3129
MEM 33.531250 1752511026.4132
MEM 33.531250 1752511026.5136
MEM 33.531250 1752511026.6139
MEM 33.531250 1752511026.7142
MEM 33.531250 1752511026.8146
MEM 33.531250 1752511026.9149
MEM 33.531250 1752511027.0153
MEM 33.531250 1752511027.1156
MEM 33.531250 1752511027.2160
MEM 33.531250 1752511027.3163
MEM 33.531250 1752511027.4167
MEM 33.531250 1752511027.5170
MEM 33.531250 1752511027.6173
MEM 33.531250 1752511027.7176
MEM 33.531250 1752511027.8179
MEM 33.531250 1752511027.9182
MEM 33.531250 1752511028.0185
MEM 33.531250 1752511028.1189
MEM 33.531250 1752511028.2192
MEM 33.531250 1752511028.3195
MEM 33.531250 1752511028.4198
MEM 33.531250 1752511028.5201
MEM 33.531250 1752511028.6205
MEM 33.531250 1752511028.7208
MEM 33.531250 1752511028.8211
MEM 33.531250 1752511028.9214
MEM 33.531250 1752511029.0218
MEM 33.531250 1752511029.1221
MEM 33.531250 1752511029.2224
MEM 33.531250 1752511029.3228
MEM 33.531250 1752511029.4231
MEM 33.531250 1752511029.5234
MEM 33.531250 1752511029.6237
MEM 33.531250 1752511029.7241
MEM 33.531250 1752511029.8244
MEM 33.531250 1752511029.9247
MEM 33.531250 1752511030.0250
MEM 33.531250 1752511030.1254
MEM 33.531250 1752511030.2257
MEM 33.531250 1752511030.3260
MEM 33.531250 1752511030.4264
MEM 33.531250 1752511030.5267
MEM 33.531250 1752511030.6270
MEM 33.531250 1752511030.7274
MEM 33.531250 1752511030.8277
MEM 33.531250 1752511030.9280
MEM 33.531250 1752511031.0283
MEM 33.531250 1752511031.1287
MEM 33.531250 1752511031.2290
MEM 33.531250 1752511031.3294
MEM 33.531250 1752511031.4297
MEM 33.531250 1752511031.5300
MEM 33.531250 1752511031.6304
MEM 33.531250 1752511031.7307
MEM 33.531250 1752511031.8318
MEM 33.531250 1752511031.9322
MEM 33.531250 1752511032.0325
