CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1752588636.0853
MEM 23.882812 1752588636.1856
MEM 29.375000 1752588636.2859
MEM 30.339844 1752588636.3862
MEM 32.996094 1752588636.4865
MEM 33.746094 1752588636.5868
MEM 33.746094 1752588636.6872
MEM 33.746094 1752588636.7875
MEM 33.746094 1752588636.8878
MEM 33.746094 1752588636.9882
MEM 33.746094 1752588637.0885
MEM 33.746094 1752588637.1888
MEM 33.746094 1752588637.2892
MEM 33.746094 1752588637.3895
MEM 33.746094 1752588637.4899
MEM 33.746094 1752588637.5902
MEM 33.746094 1752588637.6905
MEM 33.746094 1752588637.7908
MEM 33.746094 1752588637.8912
MEM 33.746094 1752588637.9915
MEM 33.746094 1752588638.0919
MEM 33.746094 1752588638.1922
MEM 33.746094 1752588638.2925
MEM 33.746094 1752588638.3929
MEM 33.746094 1752588638.4932
MEM 33.746094 1752588638.5935
MEM 33.746094 1752588638.6938
MEM 33.746094 1752588638.7942
MEM 33.746094 1752588638.8945
MEM 33.746094 1752588638.9948
MEM 33.746094 1752588639.0952
MEM 33.746094 1752588639.1955
MEM 33.746094 1752588639.2958
MEM 33.746094 1752588639.3962
MEM 33.746094 1752588639.4965
MEM 33.746094 1752588639.5968
MEM 33.746094 1752588639.6972
MEM 33.746094 1752588639.7975
MEM 33.746094 1752588639.8978
MEM 33.746094 1752588639.9982
MEM 33.746094 1752588640.0986
MEM 33.746094 1752588640.1989
MEM 33.746094 1752588640.2993
MEM 33.746094 1752588640.3996
MEM 33.746094 1752588640.4999
MEM 33.746094 1752588640.6003
MEM 33.746094 1752588640.7006
MEM 33.746094 1752588640.8010
MEM 33.746094 1752588640.9013
MEM 33.746094 1752588641.0016
MEM 33.746094 1752588641.1019
MEM 33.746094 1752588641.2023
MEM 33.746094 1752588641.3027
MEM 33.746094 1752588641.4030
MEM 33.746094 1752588641.5033
MEM 33.746094 1752588641.6036
MEM 33.746094 1752588641.7039
MEM 33.746094 1752588641.8043
MEM 33.746094 1752588641.9046
MEM 33.746094 1752588642.0050
MEM 33.746094 1752588642.1053
MEM 33.746094 1752588642.2056
MEM 33.746094 1752588642.3060
MEM 33.746094 1752588642.4063
MEM 33.746094 1752588642.5067
MEM 33.746094 1752588642.6070
MEM 33.746094 1752588642.7073
MEM 33.746094 1752588642.8076
MEM 33.746094 1752588642.9080
MEM 33.746094 1752588643.0083
MEM 33.746094 1752588643.1086
MEM 33.746094 1752588643.2089
MEM 33.746094 1752588643.3093
MEM 33.746094 1752588643.4096
MEM 33.746094 1752588643.5099
MEM 33.746094 1752588643.6102
MEM 33.746094 1752588643.7106
MEM 33.746094 1752588643.8109
MEM 33.746094 1752588643.9112
MEM 33.746094 1752588644.0116
MEM 33.746094 1752588644.1119
MEM 33.746094 1752588644.2122
MEM 33.746094 1752588644.3125
MEM 33.746094 1752588644.4129
MEM 33.746094 1752588644.5132
MEM 33.746094 1752588644.6135
MEM 33.746094 1752588644.7139
MEM 33.746094 1752588644.8142
MEM 33.746094 1752588644.9146
MEM 33.746094 1752588645.0149
MEM 33.746094 1752588645.1153
MEM 33.746094 1752588645.2156
MEM 33.746094 1752588645.3159
MEM 33.746094 1752588645.4164
MEM 33.746094 1752588645.5167
MEM 33.746094 1752588645.6170
MEM 33.746094 1752588645.7174
MEM 33.746094 1752588645.8177
MEM 33.746094 1752588645.9180
MEM 33.746094 1752588646.0183
MEM 33.746094 1752588646.1187
MEM 33.746094 1752588646.2190
MEM 33.746094 1752588646.3194
MEM 33.746094 1752588646.4197
MEM 33.746094 1752588646.5200
MEM 33.746094 1752588646.6203
MEM 33.746094 1752588646.7207
MEM 33.746094 1752588646.8210
MEM 33.746094 1752588646.9213
MEM 33.746094 1752588647.0216
MEM 33.746094 1752588647.1219
MEM 33.746094 1752588647.2223
MEM 33.746094 1752588647.3226
MEM 33.746094 1752588647.4229
MEM 33.746094 1752588647.5233
MEM 33.746094 1752588647.6236
MEM 33.746094 1752588647.7240
MEM 33.746094 1752588647.8243
MEM 33.746094 1752588647.9246
MEM 33.746094 1752588648.0250
MEM 33.746094 1752588648.1253
MEM 33.746094 1752588648.2256
MEM 33.746094 1752588648.3260
MEM 33.746094 1752588648.4263
MEM 33.746094 1752588648.5266
MEM 33.746094 1752588648.6269
MEM 33.746094 1752588648.7273
MEM 33.746094 1752588648.8276
MEM 33.746094 1752588648.9279
MEM 33.746094 1752588649.0283
MEM 33.746094 1752588649.1286
MEM 33.746094 1752588649.2289
MEM 33.746094 1752588649.3293
MEM 33.746094 1752588649.4296
MEM 33.746094 1752588649.5299
MEM 33.746094 1752588649.6302
MEM 33.746094 1752588649.7306
MEM 33.746094 1752588649.8309
MEM 33.746094 1752588649.9312
MEM 33.746094 1752588650.0316
MEM 33.746094 1752588650.1319
MEM 33.746094 1752588650.2323
MEM 33.746094 1752588650.3326
MEM 33.746094 1752588650.4330
MEM 33.746094 1752588650.5333
MEM 33.746094 1752588650.6337
MEM 33.746094 1752588650.7340
MEM 33.746094 1752588650.8343
MEM 33.746094 1752588650.9347
MEM 33.746094 1752588651.0350
MEM 33.746094 1752588651.1354
MEM 33.746094 1752588651.2357
MEM 33.746094 1752588651.3360
MEM 33.746094 1752588651.4365
MEM 33.746094 1752588651.5368
MEM 33.746094 1752588651.6371
MEM 33.746094 1752588651.7375
MEM 33.746094 1752588651.8378
MEM 33.746094 1752588651.9382
MEM 33.746094 1752588652.0385
MEM 33.746094 1752588652.1388
MEM 33.746094 1752588652.2392
MEM 33.746094 1752588652.3396
MEM 33.746094 1752588652.4399
MEM 33.746094 1752588652.5403
MEM 33.746094 1752588652.6407
MEM 33.746094 1752588652.7410
MEM 33.746094 1752588652.8413
MEM 33.746094 1752588652.9417
MEM 33.746094 1752588653.0421
MEM 33.746094 1752588653.1425
MEM 33.746094 1752588653.2428
MEM 33.746094 1752588653.3432
MEM 33.746094 1752588653.4436
