CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1752588737.3045
MEM 25.945312 1752588737.4049
MEM 28.617188 1752588737.5052
MEM 28.992188 1752588737.6056
MEM 28.992188 1752588737.7059
MEM 28.992188 1752588737.8062
MEM 28.992188 1752588737.9066
MEM 28.992188 1752588738.0069
MEM 28.992188 1752588738.1073
MEM 28.992188 1752588738.2076
MEM 28.992188 1752588738.3079
MEM 28.992188 1752588738.4083
MEM 28.992188 1752588738.5086
MEM 28.992188 1752588738.6089
MEM 28.992188 1752588738.7092
MEM 28.992188 1752588738.8095
MEM 28.992188 1752588738.9099
MEM 28.992188 1752588739.0102
MEM 28.992188 1752588739.1105
MEM 28.992188 1752588739.2108
MEM 28.992188 1752588739.3112
MEM 28.992188 1752588739.4115
MEM 28.992188 1752588739.5118
MEM 28.992188 1752588739.6122
MEM 28.992188 1752588739.7125
MEM 28.992188 1752588739.8128
MEM 28.992188 1752588739.9131
MEM 28.992188 1752588740.0135
MEM 28.992188 1752588740.1138
MEM 28.992188 1752588740.2141
MEM 28.992188 1752588740.3144
MEM 28.992188 1752588740.4148
MEM 28.992188 1752588740.5151
MEM 28.992188 1752588740.6154
MEM 28.992188 1752588740.7157
MEM 28.992188 1752588740.8161
MEM 28.992188 1752588740.9164
MEM 28.992188 1752588741.0167
MEM 28.992188 1752588741.1170
MEM 28.992188 1752588741.2174
MEM 28.992188 1752588741.3177
MEM 28.992188 1752588741.4180
MEM 28.992188 1752588741.5183
MEM 28.992188 1752588741.6186
MEM 28.992188 1752588741.7189
MEM 28.992188 1752588741.8193
MEM 28.992188 1752588741.9196
MEM 28.992188 1752588742.0199
MEM 28.992188 1752588742.1203
MEM 28.992188 1752588742.2206
MEM 28.992188 1752588742.3210
MEM 28.992188 1752588742.4214
MEM 28.992188 1752588742.5217
MEM 28.992188 1752588742.6220
MEM 28.992188 1752588742.7223
MEM 28.992188 1752588742.8226
MEM 28.992188 1752588742.9230
MEM 28.992188 1752588743.0233
MEM 28.992188 1752588743.1236
MEM 28.992188 1752588743.2239
MEM 28.992188 1752588743.3243
MEM 28.992188 1752588743.4246
MEM 28.992188 1752588743.5249
MEM 28.992188 1752588743.6253
MEM 28.992188 1752588743.7256
MEM 28.992188 1752588743.8259
MEM 28.992188 1752588743.9263
MEM 28.992188 1752588744.0266
MEM 28.992188 1752588744.1269
MEM 28.992188 1752588744.2273
MEM 28.992188 1752588744.3276
MEM 28.992188 1752588744.4279
MEM 28.992188 1752588744.5282
MEM 28.992188 1752588744.6285
MEM 28.992188 1752588744.7289
MEM 28.992188 1752588744.8292
MEM 28.992188 1752588744.9295
MEM 28.992188 1752588745.0298
MEM 28.992188 1752588745.1302
MEM 28.992188 1752588745.2305
MEM 28.992188 1752588745.3308
MEM 28.992188 1752588745.4312
MEM 28.992188 1752588745.5315
MEM 28.992188 1752588745.6318
MEM 28.992188 1752588745.7322
MEM 28.992188 1752588745.8325
MEM 28.992188 1752588745.9329
MEM 28.992188 1752588746.0332
MEM 28.992188 1752588746.1336
MEM 28.992188 1752588746.2339
MEM 28.992188 1752588746.3343
MEM 28.992188 1752588746.4346
MEM 28.992188 1752588746.5349
MEM 28.992188 1752588746.6353
MEM 28.992188 1752588746.7356
MEM 28.992188 1752588746.8360
MEM 28.992188 1752588746.9363
MEM 28.992188 1752588747.0366
MEM 28.992188 1752588747.1369
MEM 28.992188 1752588747.2372
MEM 28.992188 1752588747.3376
MEM 28.992188 1752588747.4379
MEM 28.992188 1752588747.5393
MEM 28.992188 1752588747.6397
MEM 28.992188 1752588747.7400
MEM 28.992188 1752588747.8403
MEM 28.992188 1752588747.9406
MEM 28.992188 1752588748.0410
MEM 28.992188 1752588748.1413
MEM 28.992188 1752588748.2416
MEM 28.992188 1752588748.3420
MEM 28.992188 1752588748.4423
MEM 28.992188 1752588748.5426
MEM 28.992188 1752588748.6429
MEM 28.992188 1752588748.7433
MEM 28.992188 1752588748.8436
MEM 28.992188 1752588748.9439
MEM 28.992188 1752588749.0443
MEM 28.992188 1752588749.1446
MEM 28.992188 1752588749.2449
MEM 28.992188 1752588749.3453
MEM 28.992188 1752588749.4456
MEM 28.992188 1752588749.5460
MEM 28.992188 1752588749.6463
MEM 28.992188 1752588749.7466
MEM 28.992188 1752588749.8470
MEM 28.992188 1752588749.9473
MEM 28.992188 1752588750.0476
MEM 28.992188 1752588750.1479
MEM 28.992188 1752588750.2482
MEM 28.992188 1752588750.3486
MEM 28.992188 1752588750.4489
MEM 28.992188 1752588750.5492
MEM 28.992188 1752588750.6496
MEM 28.992188 1752588750.7499
MEM 28.992188 1752588750.8502
MEM 28.992188 1752588750.9506
MEM 28.992188 1752588751.0509
MEM 28.992188 1752588751.1512
MEM 28.992188 1752588751.2516
MEM 28.992188 1752588751.3519
MEM 28.992188 1752588751.4523
MEM 28.992188 1752588751.5527
MEM 28.992188 1752588751.6530
MEM 28.992188 1752588751.7533
MEM 28.992188 1752588751.8536
MEM 28.992188 1752588751.9540
MEM 28.992188 1752588752.0543
MEM 28.992188 1752588752.1547
MEM 28.992188 1752588752.2550
MEM 28.992188 1752588752.3554
MEM 28.992188 1752588752.4557
MEM 28.992188 1752588752.5560
MEM 28.992188 1752588752.6563
MEM 28.992188 1752588752.7567
MEM 28.992188 1752588752.8570
MEM 28.992188 1752588752.9573
MEM 28.992188 1752588753.0576
MEM 28.992188 1752588753.1580
MEM 28.992188 1752588753.2583
MEM 28.992188 1752588753.3586
MEM 28.992188 1752588753.4589
MEM 28.992188 1752588753.5593
MEM 28.992188 1752588753.6596
MEM 28.992188 1752588753.7600
MEM 28.992188 1752588753.8603
MEM 28.992188 1752588753.9606
MEM 28.992188 1752588754.0610
MEM 28.992188 1752588754.1613
MEM 28.992188 1752588754.2616
MEM 28.992188 1752588754.3619
MEM 28.992188 1752588754.4623
MEM 28.992188 1752588754.5626
MEM 28.992188 1752588754.6629
MEM 28.992188 1752588754.7633
MEM 28.992188 1752588754.8636
MEM 28.992188 1752588754.9639
MEM 28.992188 1752588755.0642
MEM 28.992188 1752588755.1646
MEM 28.992188 1752588755.2649
MEM 28.992188 1752588755.3652
MEM 28.992188 1752588755.4656
MEM 28.992188 1752588755.5659
MEM 28.992188 1752588755.6662
MEM 28.992188 1752588755.7665
MEM 28.992188 1752588755.8669
MEM 28.992188 1752588755.9672
MEM 28.992188 1752588756.0675
MEM 28.992188 1752588756.1679
MEM 28.992188 1752588756.2682
MEM 28.992188 1752588756.3685
MEM 28.992188 1752588756.4689
MEM 28.992188 1752588756.5692
MEM 28.992188 1752588756.6695
MEM 28.992188 1752588756.7699
MEM 28.992188 1752588756.8702
MEM 28.992188 1752588756.9706
MEM 28.992188 1752588757.0709
MEM 28.992188 1752588757.1712
MEM 28.992188 1752588757.2715
MEM 28.992188 1752588757.3718
MEM 28.992188 1752588757.4722
MEM 28.992188 1752588757.5725
MEM 28.992188 1752588757.6728
MEM 28.992188 1752588757.7732
MEM 28.992188 1752588757.8735
MEM 28.992188 1752588757.9738
MEM 28.992188 1752588758.0742
MEM 28.992188 1752588758.1745
MEM 28.992188 1752588758.2748
MEM 28.992188 1752588758.3752
MEM 28.992188 1752588758.4755
MEM 28.992188 1752588758.5758
MEM 28.992188 1752588758.6761
MEM 28.992188 1752588758.7765
MEM 28.992188 1752588758.8768
MEM 28.992188 1752588758.9771
MEM 28.992188 1752588759.0774
MEM 28.992188 1752588759.1777
MEM 28.992188 1752588759.2781
MEM 28.992188 1752588759.3784
MEM 28.992188 1752588759.4787
MEM 28.992188 1752588759.5791
MEM 28.992188 1752588759.6797
MEM 28.992188 1752588759.7800
MEM 28.992188 1752588759.8804
MEM 28.992188 1752588759.9807
MEM 28.992188 1752588760.0810
MEM 28.992188 1752588760.1814
MEM 28.992188 1752588760.2817
MEM 28.992188 1752588760.3820
MEM 28.992188 1752588760.4823
MEM 28.992188 1752588760.5826
MEM 28.992188 1752588760.6829
MEM 28.992188 1752588760.7832
MEM 28.992188 1752588760.8835
MEM 28.992188 1752588760.9839
MEM 28.992188 1752588761.0842
MEM 28.992188 1752588761.1845
MEM 28.992188 1752588761.2848
MEM 28.992188 1752588761.3852
MEM 28.992188 1752588761.4855
MEM 28.992188 1752588761.5858
MEM 28.992188 1752588761.6861
MEM 28.992188 1752588761.7864
MEM 28.992188 1752588761.8867
MEM 28.992188 1752588761.9871
MEM 28.992188 1752588762.0874
MEM 28.992188 1752588762.1877
MEM 28.992188 1752588762.2881
MEM 28.992188 1752588762.3884
MEM 28.992188 1752588762.4887
MEM 28.992188 1752588762.5890
MEM 28.992188 1752588762.6893
MEM 28.992188 1752588762.7896
MEM 28.992188 1752588762.8900
MEM 28.992188 1752588762.9903
MEM 28.992188 1752588763.0906
MEM 28.992188 1752588763.1909
