CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.441406 1752704455.7190
MEM 26.867188 1752704455.8192
MEM 29.914062 1752704455.9194
MEM 30.414062 1752704456.0197
MEM 30.414062 1752704456.1199
MEM 30.414062 1752704456.2201
MEM 30.414062 1752704456.3203
MEM 30.414062 1752704456.4205
MEM 30.414062 1752704456.5207
MEM 30.414062 1752704456.6209
MEM 30.414062 1752704456.7211
MEM 30.414062 1752704456.8213
MEM 30.414062 1752704456.9215
MEM 30.414062 1752704457.0217
MEM 30.414062 1752704457.1219
MEM 30.414062 1752704457.2221
MEM 30.414062 1752704457.3223
MEM 30.414062 1752704457.4225
MEM 30.414062 1752704457.5227
MEM 30.414062 1752704457.6229
MEM 30.414062 1752704457.7231
MEM 30.414062 1752704457.8233
MEM 30.414062 1752704457.9235
MEM 30.414062 1752704458.0237
MEM 30.414062 1752704458.1239
MEM 30.414062 1752704458.2242
MEM 30.414062 1752704458.3244
MEM 30.539062 1752704458.4246
MEM 30.539062 1752704458.5248
MEM 30.539062 1752704458.6250
MEM 30.539062 1752704458.7252
MEM 30.539062 1752704458.8254
MEM 30.539062 1752704458.9256
MEM 30.539062 1752704459.0258
MEM 30.539062 1752704459.1260
MEM 30.539062 1752704459.2262
MEM 30.539062 1752704459.3264
MEM 30.539062 1752704459.4266
MEM 30.539062 1752704459.5268
MEM 30.539062 1752704459.6270
MEM 30.539062 1752704459.7272
MEM 30.539062 1752704459.8274
MEM 30.539062 1752704459.9276
MEM 30.539062 1752704460.0278
MEM 30.539062 1752704460.1280
MEM 30.539062 1752704460.2282
MEM 30.539062 1752704460.3284
MEM 30.539062 1752704460.4286
MEM 30.539062 1752704460.5288
MEM 30.539062 1752704460.6290
MEM 30.539062 1752704460.7292
MEM 30.539062 1752704460.8295
MEM 30.539062 1752704460.9296
MEM 30.539062 1752704461.0298
MEM 30.539062 1752704461.1300
MEM 30.539062 1752704461.2302
MEM 30.539062 1752704461.3304
MEM 30.539062 1752704461.4306
MEM 30.539062 1752704461.5308
MEM 30.539062 1752704461.6310
MEM 30.539062 1752704461.7312
MEM 30.539062 1752704461.8314
MEM 30.539062 1752704461.9316
MEM 30.539062 1752704462.0318
MEM 30.539062 1752704462.1320
MEM 30.539062 1752704462.2322
MEM 30.539062 1752704462.3324
MEM 30.539062 1752704462.4326
MEM 30.539062 1752704462.5328
MEM 30.539062 1752704462.6330
MEM 30.539062 1752704462.7332
MEM 30.539062 1752704462.8334
MEM 30.539062 1752704462.9336
MEM 30.539062 1752704463.0338
MEM 30.539062 1752704463.1340
MEM 30.539062 1752704463.2342
MEM 30.539062 1752704463.3344
MEM 30.539062 1752704463.4346
MEM 30.539062 1752704463.5348
MEM 30.539062 1752704463.6350
MEM 30.539062 1752704463.7352
MEM 30.539062 1752704463.8354
MEM 30.539062 1752704463.9356
MEM 30.539062 1752704464.0358
MEM 30.539062 1752704464.1360
MEM 30.539062 1752704464.2362
MEM 30.539062 1752704464.3364
MEM 30.539062 1752704464.4366
MEM 30.539062 1752704464.5368
MEM 30.539062 1752704464.6370
MEM 30.539062 1752704464.7372
MEM 30.539062 1752704464.8374
MEM 30.539062 1752704464.9376
MEM 30.539062 1752704465.0378
MEM 30.539062 1752704465.1380
MEM 30.539062 1752704465.2382
MEM 30.539062 1752704465.3384
MEM 30.539062 1752704465.4386
MEM 30.539062 1752704465.5388
MEM 30.539062 1752704465.6390
MEM 30.539062 1752704465.7392
MEM 30.539062 1752704465.8394
MEM 30.539062 1752704465.9396
MEM 30.539062 1752704466.0398
MEM 30.539062 1752704466.1400
MEM 30.539062 1752704466.2402
MEM 30.539062 1752704466.3404
MEM 30.539062 1752704466.4406
MEM 30.539062 1752704466.5408
MEM 30.539062 1752704466.6410
MEM 30.539062 1752704466.7412
MEM 30.539062 1752704466.8414
MEM 30.539062 1752704466.9416
MEM 30.539062 1752704467.0418
MEM 30.539062 1752704467.1420
MEM 30.539062 1752704467.2422
MEM 30.539062 1752704467.3424
MEM 30.539062 1752704467.4426
MEM 30.539062 1752704467.5428
MEM 30.539062 1752704467.6430
MEM 30.539062 1752704467.7432
MEM 30.539062 1752704467.8434
MEM 30.539062 1752704467.9436
MEM 30.539062 1752704468.0438
MEM 30.539062 1752704468.1440
MEM 30.539062 1752704468.2442
MEM 30.539062 1752704468.3444
MEM 30.539062 1752704468.4446
MEM 30.539062 1752704468.5448
MEM 30.539062 1752704468.6450
MEM 30.539062 1752704468.7452
MEM 30.539062 1752704468.8454
MEM 30.539062 1752704468.9456
MEM 30.539062 1752704469.0458
MEM 30.539062 1752704469.1460
MEM 30.539062 1752704469.2462
MEM 30.539062 1752704469.3464
MEM 30.539062 1752704469.4466
MEM 30.539062 1752704469.5468
MEM 30.539062 1752704469.6470
MEM 30.539062 1752704469.7472
MEM 30.539062 1752704469.8474
MEM 30.539062 1752704469.9476
MEM 30.539062 1752704470.0478
MEM 30.539062 1752704470.1480
MEM 30.539062 1752704470.2482
MEM 30.539062 1752704470.3484
MEM 30.539062 1752704470.4486
MEM 30.539062 1752704470.5488
MEM 30.539062 1752704470.6490
MEM 30.539062 1752704470.7492
MEM 30.539062 1752704470.8494
