CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1752681080.3022
MEM 23.906250 1752681080.4025
MEM 26.554688 1752681080.5027
MEM 30.230469 1752681080.6030
MEM 35.140625 1752681080.7033
MEM 43.140625 1752681080.8036
MEM 43.140625 1752681080.9039
MEM 43.140625 1752681081.0043
MEM 43.140625 1752681081.1046
MEM 43.140625 1752681081.2049
MEM 43.140625 1752681081.3051
MEM 43.140625 1752681081.4055
MEM 43.140625 1752681081.5058
MEM 43.140625 1752681081.6061
MEM 43.140625 1752681081.7064
MEM 43.140625 1752681081.8067
MEM 43.140625 1752681081.9069
MEM 43.140625 1752681082.0072
MEM 43.140625 1752681082.1075
MEM 43.140625 1752681082.2078
MEM 43.140625 1752681082.3081
MEM 43.140625 1752681082.4084
MEM 43.140625 1752681082.5087
MEM 43.140625 1752681082.6090
MEM 43.140625 1752681082.7093
MEM 43.140625 1752681082.8097
MEM 43.140625 1752681082.9100
MEM 43.140625 1752681083.0103
MEM 43.140625 1752681083.1106
MEM 43.140625 1752681083.2109
MEM 43.140625 1752681083.3112
MEM 43.140625 1752681083.4116
MEM 43.140625 1752681083.5119
MEM 43.140625 1752681083.6123
MEM 43.140625 1752681083.7126
MEM 43.140625 1752681083.8130
MEM 43.140625 1752681083.9133
MEM 43.140625 1752681084.0136
MEM 43.140625 1752681084.1139
MEM 43.140625 1752681084.2143
MEM 43.140625 1752681084.3146
MEM 43.140625 1752681084.4149
MEM 43.140625 1752681084.5152
MEM 43.140625 1752681084.6155
MEM 43.140625 1752681084.7159
MEM 43.140625 1752681084.8162
MEM 43.140625 1752681084.9186
MEM 43.140625 1752681085.0188
MEM 43.140625 1752681085.1191
MEM 43.140625 1752681085.2195
MEM 43.140625 1752681085.3198
MEM 43.140625 1752681085.4201
MEM 43.140625 1752681085.5204
MEM 43.140625 1752681085.6207
MEM 43.140625 1752681085.7210
MEM 43.140625 1752681085.8213
MEM 43.140625 1752681085.9215
MEM 43.140625 1752681086.0218
MEM 43.140625 1752681086.1221
MEM 43.140625 1752681086.2225
MEM 43.140625 1752681086.3227
MEM 43.140625 1752681086.4230
MEM 43.140625 1752681086.5233
MEM 43.140625 1752681086.6236
MEM 43.140625 1752681086.7239
MEM 43.140625 1752681086.8241
MEM 43.140625 1752681086.9244
MEM 43.140625 1752681087.0247
MEM 43.140625 1752681087.1250
MEM 43.140625 1752681087.2252
MEM 43.140625 1752681087.3255
MEM 43.140625 1752681087.4257
MEM 43.140625 1752681087.5260
