CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1752709005.6884
MEM 26.414062 1752709005.7887
MEM 29.429688 1752709005.8889
MEM 31.429688 1752709005.9891
MEM 31.554688 1752709006.0893
MEM 31.679688 1752709006.1895
MEM 31.804688 1752709006.2897
MEM 31.804688 1752709006.3899
MEM 31.804688 1752709006.4921
MEM 31.804688 1752709006.5923
MEM 31.804688 1752709006.6925
MEM 31.804688 1752709006.7927
MEM 31.804688 1752709006.8929
MEM 31.804688 1752709006.9931
MEM 31.804688 1752709007.0933
MEM 31.804688 1752709007.1935
MEM 31.804688 1752709007.2937
MEM 31.804688 1752709007.3939
MEM 31.804688 1752709007.4941
MEM 31.804688 1752709007.5943
MEM 31.804688 1752709007.6945
MEM 31.804688 1752709007.7947
MEM 31.804688 1752709007.8949
MEM 31.804688 1752709007.9951
MEM 31.804688 1752709008.0953
MEM 31.804688 1752709008.1955
MEM 31.804688 1752709008.2957
MEM 31.804688 1752709008.3960
MEM 31.804688 1752709008.4962
MEM 31.804688 1752709008.5964
MEM 31.804688 1752709008.6966
MEM 31.804688 1752709008.7968
MEM 31.804688 1752709008.8970
MEM 31.804688 1752709008.9972
MEM 31.804688 1752709009.0975
MEM 31.804688 1752709009.1977
MEM 31.804688 1752709009.2980
MEM 31.804688 1752709009.3982
MEM 31.804688 1752709009.4984
MEM 31.804688 1752709009.5986
MEM 31.804688 1752709009.6988
MEM 31.804688 1752709009.7990
MEM 31.804688 1752709009.8992
MEM 31.804688 1752709009.9994
MEM 31.804688 1752709010.0997
MEM 31.804688 1752709010.1999
MEM 31.804688 1752709010.3001
MEM 31.804688 1752709010.4011
MEM 31.804688 1752709010.5013
MEM 31.804688 1752709010.6019
MEM 31.804688 1752709010.7021
MEM 31.804688 1752709010.8023
MEM 31.804688 1752709010.9025
MEM 31.804688 1752709011.0027
MEM 31.804688 1752709011.1030
MEM 31.804688 1752709011.2032
MEM 31.804688 1752709011.3034
MEM 31.804688 1752709011.4036
MEM 31.804688 1752709011.5038
MEM 31.804688 1752709011.6040
MEM 31.804688 1752709011.7042
MEM 31.804688 1752709011.8044
MEM 31.804688 1752709011.9047
MEM 31.804688 1752709012.0049
MEM 31.804688 1752709012.1051
MEM 31.804688 1752709012.2053
MEM 31.804688 1752709012.3055
MEM 31.804688 1752709012.4057
MEM 31.804688 1752709012.5059
MEM 31.804688 1752709012.6061
MEM 31.804688 1752709012.7063
MEM 31.804688 1752709012.8065
MEM 31.804688 1752709012.9067
MEM 31.804688 1752709013.0070
MEM 31.804688 1752709013.1072
MEM 31.804688 1752709013.2074
MEM 31.804688 1752709013.3076
MEM 31.804688 1752709013.4078
MEM 31.804688 1752709013.5080
MEM 31.804688 1752709013.6082
MEM 31.804688 1752709013.7084
MEM 31.804688 1752709013.8086
MEM 31.804688 1752709013.9088
MEM 31.804688 1752709014.0091
MEM 31.804688 1752709014.1093
MEM 31.804688 1752709014.2095
MEM 31.804688 1752709014.3097
MEM 31.804688 1752709014.4099
MEM 31.804688 1752709014.5101
MEM 31.804688 1752709014.6103
MEM 31.804688 1752709014.7105
MEM 31.804688 1752709014.8107
MEM 31.804688 1752709014.9109
MEM 31.804688 1752709015.0111
MEM 31.804688 1752709015.1113
MEM 31.804688 1752709015.2115
MEM 31.804688 1752709015.3117
MEM 31.804688 1752709015.4119
MEM 31.804688 1752709015.5121
MEM 31.804688 1752709015.6123
MEM 31.804688 1752709015.7125
MEM 31.804688 1752709015.8127
MEM 31.804688 1752709015.9129
MEM 31.804688 1752709016.0131
MEM 31.804688 1752709016.1134
MEM 31.804688 1752709016.2136
MEM 31.804688 1752709016.3138
MEM 31.804688 1752709016.4140
MEM 31.804688 1752709016.5142
MEM 31.804688 1752709016.6145
MEM 31.804688 1752709016.7147
MEM 31.804688 1752709016.8149
MEM 31.804688 1752709016.9151
MEM 31.804688 1752709017.0153
MEM 31.804688 1752709017.1155
MEM 31.804688 1752709017.2157
MEM 31.804688 1752709017.3159
MEM 31.804688 1752709017.4162
MEM 31.804688 1752709017.5164
MEM 31.804688 1752709017.6166
MEM 31.804688 1752709017.7168
MEM 31.804688 1752709017.8170
MEM 31.804688 1752709017.9172
MEM 31.804688 1752709018.0174
MEM 31.804688 1752709018.1176
MEM 31.804688 1752709018.2179
MEM 31.804688 1752709018.3181
MEM 31.804688 1752709018.4183
MEM 31.804688 1752709018.5185
MEM 31.804688 1752709018.6187
MEM 31.804688 1752709018.7189
MEM 31.804688 1752709018.8191
MEM 31.804688 1752709018.9193
MEM 31.804688 1752709019.0196
MEM 31.804688 1752709019.1199
MEM 31.804688 1752709019.2201
MEM 31.804688 1752709019.3204
MEM 31.804688 1752709019.4206
MEM 31.804688 1752709019.5208
MEM 31.804688 1752709019.6210
MEM 31.804688 1752709019.7212
MEM 31.804688 1752709019.8215
MEM 31.804688 1752709019.9217
MEM 31.804688 1752709020.0219
MEM 31.804688 1752709020.1221
MEM 31.804688 1752709020.2223
MEM 31.804688 1752709020.3225
MEM 31.804688 1752709020.4227
MEM 31.804688 1752709020.5229
MEM 31.804688 1752709020.6231
MEM 31.804688 1752709020.7233
MEM 31.804688 1752709020.8235
MEM 31.804688 1752709020.9238
MEM 31.804688 1752709021.0240
MEM 31.804688 1752709021.1242
MEM 31.804688 1752709021.2245
MEM 31.804688 1752709021.3247
MEM 31.804688 1752709021.4249
MEM 31.804688 1752709021.5251
MEM 31.804688 1752709021.6254
MEM 31.804688 1752709021.7256
