CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1752698259.0815
MEM 26.195312 1752698259.1818
MEM 29.460938 1752698259.2820
MEM 30.585938 1752698259.3823
MEM 30.585938 1752698259.4826
MEM 30.585938 1752698259.5829
MEM 30.585938 1752698259.6831
MEM 30.585938 1752698259.7834
MEM 30.585938 1752698259.8836
MEM 30.585938 1752698259.9839
MEM 30.585938 1752698260.0842
MEM 30.585938 1752698260.1844
MEM 30.585938 1752698260.2846
MEM 30.585938 1752698260.3849
MEM 30.710938 1752698260.4852
MEM 30.710938 1752698260.5854
MEM 30.710938 1752698260.6857
MEM 30.710938 1752698260.7859
MEM 30.710938 1752698260.8862
MEM 30.710938 1752698260.9864
MEM 30.710938 1752698261.0867
MEM 30.710938 1752698261.1869
MEM 30.710938 1752698261.2871
MEM 30.710938 1752698261.3874
MEM 30.710938 1752698261.4877
MEM 30.710938 1752698261.5879
MEM 30.710938 1752698261.6881
MEM 30.710938 1752698261.7883
MEM 30.710938 1752698261.8886
MEM 30.710938 1752698261.9889
MEM 30.710938 1752698262.0891
MEM 30.710938 1752698262.1894
MEM 30.710938 1752698262.2896
MEM 30.710938 1752698262.3898
MEM 30.710938 1752698262.4901
MEM 30.710938 1752698262.5903
MEM 30.710938 1752698262.6906
MEM 30.710938 1752698262.7909
MEM 30.710938 1752698262.8911
MEM 30.710938 1752698262.9914
MEM 30.710938 1752698263.0917
MEM 30.710938 1752698263.1919
MEM 30.710938 1752698263.2922
MEM 30.710938 1752698263.3924
MEM 30.710938 1752698263.4927
MEM 30.710938 1752698263.5929
MEM 30.710938 1752698263.6931
MEM 30.710938 1752698263.7934
MEM 30.710938 1752698263.8936
MEM 30.710938 1752698263.9938
MEM 30.710938 1752698264.0941
MEM 30.710938 1752698264.1944
MEM 30.710938 1752698264.2946
MEM 30.710938 1752698264.3949
MEM 30.710938 1752698264.4951
MEM 30.710938 1752698264.5953
MEM 30.710938 1752698264.6956
MEM 30.710938 1752698264.7958
MEM 30.710938 1752698264.8960
MEM 30.710938 1752698264.9964
MEM 30.710938 1752698265.0967
MEM 30.710938 1752698265.1971
MEM 30.710938 1752698265.2974
MEM 30.710938 1752698265.3978
MEM 30.710938 1752698265.4981
MEM 30.710938 1752698265.5984
MEM 30.710938 1752698265.6988
MEM 30.710938 1752698265.7991
MEM 30.710938 1752698265.8994
MEM 30.710938 1752698265.9998
MEM 30.710938 1752698266.1001
MEM 30.710938 1752698266.2005
MEM 30.710938 1752698266.3007
MEM 30.710938 1752698266.4009
MEM 30.710938 1752698266.5011
MEM 30.710938 1752698266.6014
MEM 30.835938 1752698266.7017
MEM 30.835938 1752698266.8019
MEM 30.835938 1752698266.9021
MEM 30.835938 1752698267.0023
MEM 30.835938 1752698267.1026
MEM 30.835938 1752698267.2028
MEM 30.835938 1752698267.3030
MEM 30.835938 1752698267.4032
MEM 30.835938 1752698267.5034
MEM 30.835938 1752698267.6036
MEM 30.835938 1752698267.7038
MEM 30.835938 1752698267.8040
MEM 30.835938 1752698267.9042
MEM 30.835938 1752698268.0044
MEM 30.835938 1752698268.1047
MEM 30.835938 1752698268.2049
MEM 30.835938 1752698268.3051
MEM 30.835938 1752698268.4053
MEM 30.835938 1752698268.5055
MEM 30.835938 1752698268.6057
MEM 30.835938 1752698268.7059
MEM 30.835938 1752698268.8061
MEM 30.835938 1752698268.9063
MEM 30.835938 1752698269.0066
MEM 30.835938 1752698269.1068
MEM 30.835938 1752698269.2070
MEM 30.835938 1752698269.3072
MEM 30.835938 1752698269.4074
MEM 30.835938 1752698269.5077
MEM 30.835938 1752698269.6079
MEM 30.835938 1752698269.7081
MEM 30.835938 1752698269.8083
MEM 30.835938 1752698269.9086
MEM 30.835938 1752698270.0088
MEM 30.835938 1752698270.1090
MEM 30.835938 1752698270.2092
MEM 30.835938 1752698270.3094
MEM 30.835938 1752698270.4096
MEM 30.835938 1752698270.5098
MEM 30.835938 1752698270.6100
MEM 30.835938 1752698270.7102
MEM 30.835938 1752698270.8105
MEM 30.835938 1752698270.9107
MEM 30.835938 1752698271.0109
MEM 30.835938 1752698271.1111
MEM 30.835938 1752698271.2114
MEM 30.835938 1752698271.3116
MEM 31.210938 1752698271.4118
MEM 31.210938 1752698271.5120
MEM 31.210938 1752698271.6123
MEM 31.210938 1752698271.7125
MEM 31.210938 1752698271.8127
MEM 31.210938 1752698271.9129
MEM 31.210938 1752698272.0131
MEM 31.210938 1752698272.1133
MEM 31.210938 1752698272.2136
MEM 31.210938 1752698272.3138
MEM 31.210938 1752698272.4140
MEM 31.210938 1752698272.5142
MEM 31.210938 1752698272.6144
MEM 31.210938 1752698272.7146
MEM 31.210938 1752698272.8148
MEM 31.210938 1752698272.9150
MEM 31.210938 1752698273.0152
MEM 31.210938 1752698273.1154
MEM 31.210938 1752698273.2156
MEM 31.210938 1752698273.3158
MEM 31.210938 1752698273.4160
MEM 31.210938 1752698273.5162
MEM 31.210938 1752698273.6164
MEM 31.210938 1752698273.7166
MEM 31.210938 1752698273.8168
MEM 31.210938 1752698273.9170
MEM 31.210938 1752698274.0172
MEM 31.210938 1752698274.1174
MEM 31.210938 1752698274.2176
MEM 31.210938 1752698274.3178
MEM 31.210938 1752698274.4181
MEM 31.210938 1752698274.5183
MEM 31.210938 1752698274.6185
MEM 31.210938 1752698274.7187
MEM 31.210938 1752698274.8189
MEM 31.210938 1752698274.9191
MEM 31.210938 1752698275.0193
MEM 31.210938 1752698275.1195
MEM 31.210938 1752698275.2197
MEM 31.210938 1752698275.3199
MEM 31.210938 1752698275.4201
MEM 31.210938 1752698275.5203
MEM 31.210938 1752698275.6206
MEM 31.210938 1752698275.7208
MEM 31.210938 1752698275.8210
MEM 31.210938 1752698275.9212
MEM 31.210938 1752698276.0214
MEM 31.210938 1752698276.1216
MEM 31.210938 1752698276.2218
MEM 31.210938 1752698276.3220
MEM 31.210938 1752698276.4222
MEM 31.210938 1752698276.5224
MEM 31.210938 1752698276.6226
MEM 31.210938 1752698276.7228
MEM 31.210938 1752698276.8230
MEM 31.210938 1752698276.9232
MEM 31.210938 1752698277.0234
MEM 31.210938 1752698277.1236
MEM 31.210938 1752698277.2238
MEM 31.210938 1752698277.3240
MEM 31.210938 1752698277.4242
MEM 31.210938 1752698277.5244
MEM 31.210938 1752698277.6246
MEM 31.210938 1752698277.7248
MEM 31.210938 1752698277.8250
MEM 31.210938 1752698277.9252
MEM 31.210938 1752698278.0254
MEM 31.210938 1752698278.1257
MEM 31.210938 1752698278.2260
MEM 31.210938 1752698278.3262
MEM 31.210938 1752698278.4263
MEM 31.210938 1752698278.5266
MEM 31.210938 1752698278.6268
MEM 31.210938 1752698278.7270
MEM 31.210938 1752698278.8272
MEM 31.210938 1752698278.9274
MEM 31.210938 1752698279.0276
MEM 31.210938 1752698279.1278
MEM 31.210938 1752698279.2280
MEM 31.210938 1752698279.3282
MEM 31.210938 1752698279.4284
MEM 31.210938 1752698279.5286
MEM 31.210938 1752698279.6288
MEM 31.210938 1752698279.7290
MEM 31.210938 1752698279.8292
MEM 31.210938 1752698279.9294
MEM 31.210938 1752698280.0297
MEM 31.210938 1752698280.1300
MEM 31.210938 1752698280.2302
MEM 31.210938 1752698280.3304
MEM 31.210938 1752698280.4306
MEM 31.210938 1752698280.5308
MEM 31.210938 1752698280.6310
MEM 31.210938 1752698280.7313
MEM 31.210938 1752698280.8314
MEM 31.210938 1752698280.9316
MEM 31.210938 1752698281.0318
MEM 31.210938 1752698281.1320
MEM 31.210938 1752698281.2322
MEM 31.210938 1752698281.3325
MEM 31.210938 1752698281.4327
MEM 31.210938 1752698281.5329
MEM 31.210938 1752698281.6331
MEM 31.210938 1752698281.7334
MEM 31.210938 1752698281.8336
MEM 31.210938 1752698281.9339
MEM 31.210938 1752698282.0342
MEM 31.210938 1752698282.1346
MEM 31.210938 1752698282.2349
MEM 31.210938 1752698282.3351
MEM 31.210938 1752698282.4353
MEM 31.210938 1752698282.5355
MEM 31.210938 1752698282.6357
MEM 31.210938 1752698282.7360
MEM 31.210938 1752698282.8362
MEM 31.210938 1752698282.9364
MEM 31.210938 1752698283.0366
MEM 31.210938 1752698283.1369
MEM 31.210938 1752698283.2371
MEM 31.210938 1752698283.3373
MEM 31.210938 1752698283.4376
MEM 31.210938 1752698283.5378
MEM 31.210938 1752698283.6381
MEM 31.210938 1752698283.7383
MEM 31.210938 1752698283.8387
MEM 31.210938 1752698283.9390
MEM 31.210938 1752698284.0394
MEM 31.210938 1752698284.1398
MEM 31.210938 1752698284.2400
MEM 31.210938 1752698284.3403
MEM 31.210938 1752698284.4407
MEM 31.210938 1752698284.5409
MEM 31.210938 1752698284.6413
MEM 31.210938 1752698284.7416
MEM 31.210938 1752698284.8419
MEM 31.210938 1752698284.9421
MEM 31.210938 1752698285.0424
MEM 31.210938 1752698285.1427
MEM 31.210938 1752698285.2430
MEM 31.210938 1752698285.3433
MEM 31.210938 1752698285.4437
MEM 31.210938 1752698285.5440
MEM 31.210938 1752698285.6442
MEM 31.210938 1752698285.7445
MEM 31.210938 1752698285.8447
MEM 31.210938 1752698285.9449
MEM 31.210938 1752698286.0451
MEM 31.210938 1752698286.1454
MEM 31.210938 1752698286.2456
MEM 31.210938 1752698286.3459
MEM 31.210938 1752698286.4461
MEM 31.210938 1752698286.5463
MEM 31.210938 1752698286.6465
MEM 31.210938 1752698286.7467
MEM 31.210938 1752698286.8469
MEM 31.210938 1752698286.9471
MEM 31.210938 1752698287.0473
MEM 31.210938 1752698287.1475
MEM 31.210938 1752698287.2477
MEM 31.210938 1752698287.3479
MEM 31.210938 1752698287.4481
MEM 31.210938 1752698287.5483
MEM 31.210938 1752698287.6485
MEM 31.210938 1752698287.7487
MEM 31.210938 1752698287.8489
MEM 31.210938 1752698287.9491
MEM 31.210938 1752698288.0494
MEM 31.210938 1752698288.1496
MEM 31.210938 1752698288.2498
MEM 31.210938 1752698288.3500
MEM 31.210938 1752698288.4502
MEM 31.210938 1752698288.5504
MEM 31.210938 1752698288.6507
MEM 31.210938 1752698288.7509
MEM 31.210938 1752698288.8511
MEM 31.210938 1752698288.9513
MEM 31.210938 1752698289.0515
MEM 31.210938 1752698289.1517
MEM 31.210938 1752698289.2519
MEM 31.210938 1752698289.3521
MEM 31.210938 1752698289.4524
MEM 31.210938 1752698289.5526
MEM 31.210938 1752698289.6528
MEM 31.210938 1752698289.7530
MEM 31.210938 1752698289.8532
MEM 31.210938 1752698289.9534
MEM 31.210938 1752698290.0536
MEM 31.210938 1752698290.1538
MEM 31.210938 1752698290.2540
MEM 31.210938 1752698290.3542
MEM 31.210938 1752698290.4544
MEM 31.210938 1752698290.5546
MEM 31.210938 1752698290.6549
