CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1752681156.2148
MEM 26.164062 1752681156.3151
MEM 29.335938 1752681156.4154
MEM 30.460938 1752681156.5158
MEM 30.460938 1752681156.6161
MEM 30.460938 1752681156.7164
MEM 30.460938 1752681156.8167
MEM 30.460938 1752681156.9171
MEM 30.460938 1752681157.0174
MEM 30.460938 1752681157.1177
MEM 30.460938 1752681157.2181
MEM 30.460938 1752681157.3184
MEM 30.460938 1752681157.4186
MEM 30.460938 1752681157.5189
MEM 30.460938 1752681157.6192
MEM 30.460938 1752681157.7194
MEM 30.460938 1752681157.8197
MEM 30.460938 1752681157.9199
MEM 30.460938 1752681158.0202
MEM 30.460938 1752681158.1204
MEM 30.460938 1752681158.2207
MEM 30.460938 1752681158.3211
MEM 30.460938 1752681158.4214
MEM 30.460938 1752681158.5217
MEM 30.460938 1752681158.6220
MEM 30.460938 1752681158.7222
MEM 30.460938 1752681158.8225
MEM 30.460938 1752681158.9228
MEM 30.460938 1752681159.0231
MEM 30.460938 1752681159.1234
MEM 30.460938 1752681159.2237
MEM 30.460938 1752681159.3241
MEM 30.460938 1752681159.4244
MEM 30.460938 1752681159.5247
MEM 30.460938 1752681159.6250
MEM 30.460938 1752681159.7253
MEM 30.460938 1752681159.8256
MEM 30.460938 1752681159.9258
MEM 30.460938 1752681160.0262
MEM 30.460938 1752681160.1265
MEM 30.460938 1752681160.2268
MEM 30.460938 1752681160.3272
MEM 30.460938 1752681160.4274
MEM 30.460938 1752681160.5277
MEM 30.460938 1752681160.6280
MEM 30.460938 1752681160.7282
MEM 30.460938 1752681160.8285
MEM 30.460938 1752681160.9287
MEM 30.460938 1752681161.0290
MEM 30.460938 1752681161.1292
MEM 30.460938 1752681161.2294
MEM 30.460938 1752681161.3298
MEM 30.460938 1752681161.4301
MEM 30.460938 1752681161.5304
MEM 30.460938 1752681161.6308
MEM 30.460938 1752681161.7311
MEM 30.460938 1752681161.8314
MEM 30.460938 1752681161.9316
MEM 30.460938 1752681162.0319
MEM 30.460938 1752681162.1323
MEM 30.460938 1752681162.2325
MEM 30.460938 1752681162.3329
MEM 30.460938 1752681162.4332
MEM 30.460938 1752681162.5335
MEM 30.460938 1752681162.6338
MEM 30.460938 1752681162.7341
MEM 30.460938 1752681162.8344
MEM 30.460938 1752681162.9347
MEM 30.460938 1752681163.0350
MEM 30.460938 1752681163.1353
MEM 30.460938 1752681163.2356
MEM 30.460938 1752681163.3359
MEM 30.460938 1752681163.4362
MEM 30.460938 1752681163.5365
MEM 30.460938 1752681163.6368
MEM 30.585938 1752681163.7371
MEM 30.585938 1752681163.8374
MEM 30.585938 1752681163.9377
MEM 30.585938 1752681164.0381
MEM 30.585938 1752681164.1384
MEM 30.585938 1752681164.2387
MEM 30.585938 1752681164.3391
MEM 30.585938 1752681164.4394
MEM 30.585938 1752681164.5397
MEM 30.585938 1752681164.6400
MEM 30.585938 1752681164.7403
MEM 30.585938 1752681164.8406
MEM 30.585938 1752681164.9408
MEM 30.585938 1752681165.0411
MEM 30.585938 1752681165.1414
MEM 30.585938 1752681165.2417
MEM 30.585938 1752681165.3419
MEM 30.585938 1752681165.4421
MEM 30.585938 1752681165.5424
MEM 30.585938 1752681165.6427
MEM 30.585938 1752681165.7430
MEM 30.585938 1752681165.8433
MEM 30.585938 1752681165.9435
MEM 30.585938 1752681166.0438
MEM 30.585938 1752681166.1441
MEM 30.585938 1752681166.2444
MEM 30.585938 1752681166.3446
MEM 30.585938 1752681166.4450
MEM 30.585938 1752681166.5453
MEM 30.585938 1752681166.6455
MEM 30.585938 1752681166.7458
MEM 30.585938 1752681166.8461
MEM 30.585938 1752681166.9463
MEM 30.585938 1752681167.0466
MEM 30.585938 1752681167.1468
MEM 30.585938 1752681167.2471
MEM 30.585938 1752681167.3474
MEM 30.585938 1752681167.4477
MEM 30.585938 1752681167.5479
MEM 30.585938 1752681167.6482
MEM 30.585938 1752681167.7485
MEM 30.585938 1752681167.8487
MEM 30.585938 1752681167.9490
MEM 30.585938 1752681168.0492
MEM 30.585938 1752681168.1495
MEM 30.585938 1752681168.2497
MEM 30.585938 1752681168.3500
MEM 30.585938 1752681168.4503
MEM 30.585938 1752681168.5507
MEM 30.585938 1752681168.6510
MEM 30.585938 1752681168.7513
MEM 30.585938 1752681168.8516
MEM 30.585938 1752681168.9519
MEM 30.585938 1752681169.0522
MEM 30.585938 1752681169.1525
MEM 30.585938 1752681169.2528
MEM 30.585938 1752681169.3531
MEM 30.585938 1752681169.4534
MEM 30.585938 1752681169.5537
MEM 30.585938 1752681169.6540
MEM 30.585938 1752681169.7543
MEM 30.585938 1752681169.8546
MEM 30.585938 1752681169.9548
MEM 30.585938 1752681170.0551
MEM 30.585938 1752681170.1554
MEM 30.585938 1752681170.2557
MEM 30.585938 1752681170.3559
MEM 30.585938 1752681170.4562
MEM 30.585938 1752681170.5565
MEM 30.585938 1752681170.6568
MEM 30.585938 1752681170.7570
MEM 30.585938 1752681170.8573
MEM 30.585938 1752681170.9575
MEM 30.585938 1752681171.0578
MEM 30.585938 1752681171.1581
MEM 30.585938 1752681171.2584
MEM 30.585938 1752681171.3587
MEM 30.585938 1752681171.4591
MEM 30.585938 1752681171.5595
MEM 30.585938 1752681171.6599
MEM 30.585938 1752681171.7602
MEM 30.585938 1752681171.8604
MEM 30.585938 1752681171.9607
MEM 30.585938 1752681172.0610
MEM 30.585938 1752681172.1613
MEM 30.585938 1752681172.2617
MEM 30.585938 1752681172.3620
MEM 30.585938 1752681172.4624
MEM 30.585938 1752681172.5626
MEM 30.585938 1752681172.6629
MEM 30.585938 1752681172.7632
MEM 30.585938 1752681172.8634
MEM 30.585938 1752681172.9637
MEM 30.585938 1752681173.0639
MEM 30.585938 1752681173.1642
MEM 30.585938 1752681173.2645
MEM 30.585938 1752681173.3648
MEM 30.585938 1752681173.4651
MEM 30.585938 1752681173.5653
MEM 30.585938 1752681173.6656
MEM 30.585938 1752681173.7659
MEM 30.585938 1752681173.8662
MEM 30.585938 1752681173.9664
MEM 30.585938 1752681174.0668
MEM 30.585938 1752681174.1671
MEM 30.585938 1752681174.2674
MEM 30.585938 1752681174.3678
MEM 30.585938 1752681174.4682
MEM 30.585938 1752681174.5685
MEM 30.585938 1752681174.6688
MEM 30.585938 1752681174.7691
MEM 30.585938 1752681174.8694
MEM 30.585938 1752681174.9697
MEM 30.585938 1752681175.0700
MEM 30.585938 1752681175.1703
MEM 30.585938 1752681175.2706
MEM 30.585938 1752681175.3708
MEM 30.585938 1752681175.4712
MEM 30.585938 1752681175.5715
MEM 30.585938 1752681175.6717
MEM 30.585938 1752681175.7720
MEM 30.585938 1752681175.8723
MEM 30.585938 1752681175.9725
MEM 30.585938 1752681176.0727
MEM 30.585938 1752681176.1730
MEM 30.585938 1752681176.2732
MEM 30.585938 1752681176.3735
MEM 30.585938 1752681176.4738
MEM 30.585938 1752681176.5740
MEM 30.585938 1752681176.6744
MEM 30.585938 1752681176.7746
MEM 30.585938 1752681176.8748
MEM 30.585938 1752681176.9751
MEM 30.585938 1752681177.0754
MEM 30.585938 1752681177.1757
MEM 30.585938 1752681177.2760
MEM 30.585938 1752681177.3762
MEM 30.585938 1752681177.4765
MEM 30.585938 1752681177.5767
MEM 30.585938 1752681177.6771
MEM 30.585938 1752681177.7774
MEM 30.585938 1752681177.8776
MEM 30.585938 1752681177.9778
MEM 30.585938 1752681178.0781
MEM 30.585938 1752681178.1783
MEM 30.585938 1752681178.2786
MEM 30.585938 1752681178.3790
MEM 30.585938 1752681178.4793
MEM 30.585938 1752681178.5796
MEM 30.585938 1752681178.6798
MEM 30.585938 1752681178.7802
MEM 30.585938 1752681178.8805
MEM 30.585938 1752681178.9807
MEM 30.585938 1752681179.0809
MEM 30.585938 1752681179.1812
MEM 30.585938 1752681179.2815
MEM 30.585938 1752681179.3818
MEM 30.585938 1752681179.4822
MEM 30.585938 1752681179.5825
MEM 30.585938 1752681179.6828
MEM 30.585938 1752681179.7832
MEM 30.585938 1752681179.8835
MEM 30.585938 1752681179.9838
MEM 30.585938 1752681180.0842
MEM 30.585938 1752681180.1845
MEM 30.585938 1752681180.2848
MEM 30.585938 1752681180.3851
MEM 30.585938 1752681180.4854
MEM 30.585938 1752681180.5856
MEM 30.585938 1752681180.6859
MEM 30.585938 1752681180.7862
MEM 30.585938 1752681180.8864
MEM 30.585938 1752681180.9866
MEM 30.585938 1752681181.0869
MEM 30.585938 1752681181.1872
MEM 30.710938 1752681181.2874
MEM 30.710938 1752681181.3876
MEM 30.710938 1752681181.4879
MEM 30.710938 1752681181.5881
MEM 30.710938 1752681181.6884
MEM 30.710938 1752681181.7887
MEM 30.710938 1752681181.8889
MEM 30.710938 1752681181.9892
MEM 30.710938 1752681182.0894
MEM 30.710938 1752681182.1896
MEM 30.710938 1752681182.2899
MEM 30.710938 1752681182.3901
MEM 30.710938 1752681182.4903
MEM 30.710938 1752681182.5905
MEM 30.710938 1752681182.6908
MEM 30.710938 1752681182.7910
MEM 30.710938 1752681182.8912
MEM 30.710938 1752681182.9914
MEM 30.710938 1752681183.0916
MEM 30.710938 1752681183.1919
MEM 30.710938 1752681183.2922
MEM 30.710938 1752681183.3924
MEM 30.710938 1752681183.4927
MEM 30.710938 1752681183.5929
MEM 30.710938 1752681183.6931
MEM 30.710938 1752681183.7934
MEM 30.710938 1752681183.8936
MEM 30.710938 1752681183.9939
MEM 30.710938 1752681184.0942
