CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1752708894.0098
MEM 26.492188 1752708894.1100
MEM 28.914062 1752708894.2102
MEM 29.914062 1752708894.3104
MEM 29.914062 1752708894.4107
MEM 29.914062 1752708894.5109
MEM 29.914062 1752708894.6111
MEM 29.914062 1752708894.7113
MEM 29.914062 1752708894.8115
MEM 29.914062 1752708894.9117
MEM 29.914062 1752708895.0119
MEM 29.914062 1752708895.1121
MEM 29.914062 1752708895.2123
MEM 29.914062 1752708895.3125
MEM 29.914062 1752708895.4127
MEM 29.914062 1752708895.5129
MEM 29.914062 1752708895.6131
MEM 29.914062 1752708895.7133
MEM 29.914062 1752708895.8135
MEM 29.914062 1752708895.9137
MEM 29.914062 1752708896.0139
MEM 29.914062 1752708896.1141
MEM 29.914062 1752708896.2143
MEM 29.914062 1752708896.3145
MEM 29.914062 1752708896.4147
MEM 29.914062 1752708896.5149
MEM 29.914062 1752708896.6151
MEM 29.914062 1752708896.7153
MEM 29.914062 1752708896.8155
MEM 29.914062 1752708896.9157
MEM 29.914062 1752708897.0164
MEM 29.914062 1752708897.1166
MEM 29.914062 1752708897.2169
MEM 29.914062 1752708897.3171
MEM 29.914062 1752708897.4173
MEM 29.914062 1752708897.5175
MEM 29.914062 1752708897.6177
MEM 29.914062 1752708897.7179
MEM 29.914062 1752708897.8181
MEM 29.914062 1752708897.9183
MEM 29.914062 1752708898.0185
MEM 29.914062 1752708898.1187
MEM 29.914062 1752708898.2189
MEM 29.914062 1752708898.3191
MEM 29.914062 1752708898.4193
MEM 29.914062 1752708898.5195
MEM 29.914062 1752708898.6197
MEM 29.914062 1752708898.7199
MEM 29.914062 1752708898.8201
MEM 29.914062 1752708898.9203
MEM 29.914062 1752708899.0205
MEM 29.914062 1752708899.1207
MEM 29.914062 1752708899.2209
MEM 29.914062 1752708899.3211
MEM 29.914062 1752708899.4213
MEM 29.914062 1752708899.5215
MEM 29.914062 1752708899.6217
MEM 29.914062 1752708899.7219
MEM 29.914062 1752708899.8221
MEM 29.914062 1752708899.9223
MEM 29.914062 1752708900.0225
MEM 29.914062 1752708900.1227
MEM 29.914062 1752708900.2230
MEM 29.914062 1752708900.3232
MEM 29.914062 1752708900.4234
MEM 29.914062 1752708900.5236
MEM 29.914062 1752708900.6238
MEM 29.914062 1752708900.7240
MEM 29.914062 1752708900.8242
MEM 29.914062 1752708900.9244
MEM 29.914062 1752708901.0246
MEM 29.914062 1752708901.1248
MEM 29.914062 1752708901.2250
MEM 29.914062 1752708901.3252
MEM 29.914062 1752708901.4254
MEM 29.914062 1752708901.5256
MEM 29.914062 1752708901.6263
MEM 29.914062 1752708901.7265
MEM 29.914062 1752708901.8267
MEM 29.914062 1752708901.9269
