CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1752705766.4267
MEM 26.343750 1752705766.5270
MEM 28.625000 1752705766.6273
MEM 28.750000 1752705766.7276
MEM 28.875000 1752705766.8278
MEM 28.875000 1752705766.9281
MEM 28.875000 1752705767.0284
MEM 28.875000 1752705767.1287
MEM 28.875000 1752705767.2290
MEM 28.875000 1752705767.3292
MEM 28.875000 1752705767.4295
MEM 28.875000 1752705767.5298
MEM 28.875000 1752705767.6300
MEM 28.875000 1752705767.7303
MEM 28.875000 1752705767.8306
MEM 28.875000 1752705767.9309
MEM 28.875000 1752705768.0312
MEM 28.875000 1752705768.1314
MEM 28.875000 1752705768.2317
MEM 28.875000 1752705768.3320
MEM 28.875000 1752705768.4322
MEM 28.875000 1752705768.5325
MEM 28.875000 1752705768.6328
MEM 28.875000 1752705768.7331
MEM 28.875000 1752705768.8334
MEM 28.875000 1752705768.9337
MEM 28.875000 1752705769.0340
MEM 28.875000 1752705769.1342
MEM 28.875000 1752705769.2345
MEM 28.875000 1752705769.3348
MEM 28.875000 1752705769.4351
MEM 28.875000 1752705769.5354
MEM 28.875000 1752705769.6356
MEM 28.875000 1752705769.7359
MEM 28.875000 1752705769.8361
MEM 28.875000 1752705769.9364
MEM 28.875000 1752705770.0367
MEM 28.875000 1752705770.1370
MEM 28.875000 1752705770.2373
MEM 28.875000 1752705770.3375
MEM 28.875000 1752705770.4378
MEM 28.875000 1752705770.5380
MEM 28.875000 1752705770.6383
MEM 28.875000 1752705770.7386
MEM 28.875000 1752705770.8389
MEM 28.875000 1752705770.9392
MEM 28.875000 1752705771.0395
MEM 28.875000 1752705771.1398
MEM 28.875000 1752705771.2401
MEM 28.875000 1752705771.3404
MEM 28.875000 1752705771.4407
MEM 28.875000 1752705771.5411
MEM 28.875000 1752705771.6414
MEM 28.875000 1752705771.7417
MEM 28.875000 1752705771.8419
MEM 28.875000 1752705771.9422
MEM 28.875000 1752705772.0425
MEM 28.875000 1752705772.1428
MEM 28.875000 1752705772.2430
