CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1752698285.1921
MEM 25.925781 1752698285.2924
MEM 29.082031 1752698285.3927
MEM 30.207031 1752698285.4930
MEM 30.207031 1752698285.5933
MEM 30.207031 1752698285.6937
MEM 30.207031 1752698285.7940
MEM 30.207031 1752698285.8943
MEM 30.207031 1752698285.9946
MEM 30.207031 1752698286.0949
MEM 30.207031 1752698286.1952
MEM 30.332031 1752698286.2955
MEM 30.332031 1752698286.3958
MEM 30.332031 1752698286.4961
MEM 30.332031 1752698286.5964
MEM 30.332031 1752698286.6968
MEM 30.332031 1752698286.7971
MEM 30.332031 1752698286.8974
MEM 30.332031 1752698286.9977
MEM 30.332031 1752698287.0980
MEM 30.332031 1752698287.1983
MEM 30.332031 1752698287.2987
MEM 30.332031 1752698287.3990
MEM 30.332031 1752698287.4993
MEM 30.332031 1752698287.5996
MEM 30.332031 1752698287.6999
MEM 30.332031 1752698287.8002
MEM 30.332031 1752698287.9005
MEM 30.457031 1752698288.0008
MEM 30.457031 1752698288.1010
MEM 30.457031 1752698288.2013
MEM 30.457031 1752698288.3017
MEM 30.457031 1752698288.4020
MEM 30.457031 1752698288.5022
MEM 30.457031 1752698288.6024
MEM 30.457031 1752698288.7027
MEM 30.457031 1752698288.8030
MEM 30.457031 1752698288.9033
MEM 30.457031 1752698289.0036
MEM 30.457031 1752698289.1038
MEM 30.457031 1752698289.2041
MEM 30.457031 1752698289.3044
MEM 30.457031 1752698289.4047
MEM 30.457031 1752698289.5050
MEM 30.457031 1752698289.6053
MEM 30.457031 1752698289.7057
MEM 30.457031 1752698289.8060
MEM 30.457031 1752698289.9063
MEM 30.457031 1752698290.0066
MEM 30.457031 1752698290.1070
MEM 30.457031 1752698290.2072
MEM 30.457031 1752698290.3076
MEM 30.457031 1752698290.4079
MEM 30.457031 1752698290.5081
MEM 30.457031 1752698290.6083
MEM 30.457031 1752698290.7086
MEM 30.457031 1752698290.8088
MEM 30.457031 1752698290.9091
MEM 30.457031 1752698291.0093
MEM 30.457031 1752698291.1096
MEM 30.457031 1752698291.2098
MEM 30.457031 1752698291.3101
MEM 30.457031 1752698291.4103
MEM 30.457031 1752698291.5106
MEM 30.457031 1752698291.6109
MEM 30.457031 1752698291.7112
MEM 30.457031 1752698291.8114
MEM 30.457031 1752698291.9117
MEM 30.457031 1752698292.0120
MEM 30.457031 1752698292.1123
MEM 30.457031 1752698292.2126
