CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.273438 1752698522.1710
MEM 26.425781 1752698522.2713
MEM 29.320312 1752698522.3716
MEM 30.445312 1752698522.4719
MEM 30.445312 1752698522.5722
MEM 30.445312 1752698522.6725
MEM 30.445312 1752698522.7728
MEM 30.445312 1752698522.8731
MEM 30.445312 1752698522.9734
MEM 30.445312 1752698523.0737
MEM 30.445312 1752698523.1740
MEM 30.445312 1752698523.2742
MEM 30.445312 1752698523.3745
MEM 30.445312 1752698523.4748
MEM 30.445312 1752698523.5750
MEM 30.445312 1752698523.6753
MEM 30.445312 1752698523.7755
MEM 30.445312 1752698523.8759
MEM 30.445312 1752698523.9761
MEM 30.445312 1752698524.0764
MEM 30.445312 1752698524.1767
MEM 30.445312 1752698524.2770
MEM 30.445312 1752698524.3773
MEM 30.445312 1752698524.4776
MEM 30.445312 1752698524.5779
MEM 30.445312 1752698524.6782
MEM 30.445312 1752698524.7785
MEM 30.445312 1752698524.8787
MEM 30.445312 1752698524.9790
MEM 30.445312 1752698525.0794
MEM 30.445312 1752698525.1796
MEM 30.445312 1752698525.2800
MEM 30.445312 1752698525.3803
MEM 30.445312 1752698525.4806
MEM 30.445312 1752698525.5809
MEM 30.445312 1752698525.6812
MEM 30.445312 1752698525.7815
MEM 30.570312 1752698525.8817
MEM 30.570312 1752698525.9820
MEM 30.570312 1752698526.0823
MEM 30.570312 1752698526.1825
MEM 30.570312 1752698526.2828
MEM 30.570312 1752698526.3832
MEM 30.570312 1752698526.4834
MEM 30.570312 1752698526.5837
MEM 30.570312 1752698526.6840
MEM 30.570312 1752698526.7843
MEM 30.570312 1752698526.8846
MEM 30.570312 1752698526.9849
MEM 30.570312 1752698527.0852
MEM 30.570312 1752698527.1855
MEM 30.570312 1752698527.2859
MEM 30.570312 1752698527.3862
MEM 30.570312 1752698527.4865
MEM 30.570312 1752698527.5867
MEM 30.570312 1752698527.6870
MEM 30.570312 1752698527.7873
MEM 30.570312 1752698527.8876
MEM 30.570312 1752698527.9880
MEM 30.570312 1752698528.0883
MEM 30.570312 1752698528.1886
MEM 30.570312 1752698528.2889
MEM 30.570312 1752698528.3892
MEM 30.570312 1752698528.4895
MEM 30.570312 1752698528.5898
MEM 30.570312 1752698528.6901
MEM 30.570312 1752698528.7904
MEM 30.570312 1752698528.8906
MEM 30.570312 1752698528.9909
MEM 30.570312 1752698529.0912
MEM 30.570312 1752698529.1915
MEM 30.570312 1752698529.2919
MEM 30.570312 1752698529.3922
MEM 30.570312 1752698529.4925
MEM 30.570312 1752698529.5928
MEM 30.570312 1752698529.6931
MEM 30.570312 1752698529.7934
MEM 30.570312 1752698529.8937
MEM 30.570312 1752698529.9940
MEM 30.570312 1752698530.0943
MEM 30.570312 1752698530.1946
MEM 30.570312 1752698530.2950
MEM 30.570312 1752698530.3953
MEM 30.570312 1752698530.4957
MEM 30.570312 1752698530.5959
MEM 30.570312 1752698530.6962
MEM 30.570312 1752698530.7965
MEM 30.570312 1752698530.8968
MEM 30.570312 1752698530.9971
MEM 30.570312 1752698531.0974
MEM 30.570312 1752698531.1977
MEM 30.570312 1752698531.2979
MEM 30.570312 1752698531.3982
MEM 30.570312 1752698531.4985
MEM 30.570312 1752698531.5988
MEM 30.570312 1752698531.6991
MEM 30.570312 1752698531.7994
MEM 30.570312 1752698531.8996
MEM 30.570312 1752698531.9999
MEM 30.570312 1752698532.1002
MEM 30.570312 1752698532.2005
MEM 30.570312 1752698532.3008
MEM 30.570312 1752698532.4012
MEM 30.570312 1752698532.5015
MEM 30.570312 1752698532.6017
MEM 30.570312 1752698532.7020
MEM 30.570312 1752698532.8023
MEM 30.570312 1752698532.9027
MEM 30.570312 1752698533.0030
MEM 30.570312 1752698533.1033
MEM 30.570312 1752698533.2036
MEM 30.570312 1752698533.3039
MEM 30.570312 1752698533.4042
MEM 30.570312 1752698533.5045
MEM 30.570312 1752698533.6048
MEM 30.570312 1752698533.7051
MEM 30.570312 1752698533.8054
MEM 30.570312 1752698533.9057
MEM 30.570312 1752698534.0060
MEM 30.570312 1752698534.1063
MEM 30.570312 1752698534.2066
MEM 30.570312 1752698534.3069
MEM 30.570312 1752698534.4071
MEM 30.570312 1752698534.5074
MEM 30.570312 1752698534.6077
MEM 30.570312 1752698534.7080
MEM 30.570312 1752698534.8083
MEM 30.570312 1752698534.9086
MEM 30.570312 1752698535.0089
MEM 30.570312 1752698535.1092
MEM 30.570312 1752698535.2094
MEM 30.570312 1752698535.3097
MEM 30.570312 1752698535.4100
MEM 30.570312 1752698535.5103
MEM 30.570312 1752698535.6106
MEM 30.570312 1752698535.7108
MEM 30.570312 1752698535.8111
MEM 30.570312 1752698535.9114
MEM 30.570312 1752698536.0117
MEM 30.570312 1752698536.1121
MEM 30.570312 1752698536.2124
MEM 30.570312 1752698536.3127
MEM 30.570312 1752698536.4130
MEM 30.570312 1752698536.5133
MEM 30.570312 1752698536.6136
MEM 30.570312 1752698536.7139
MEM 30.570312 1752698536.8142
MEM 30.570312 1752698536.9145
MEM 30.570312 1752698537.0148
MEM 30.570312 1752698537.1151
MEM 30.570312 1752698537.2153
MEM 30.570312 1752698537.3156
MEM 30.570312 1752698537.4159
MEM 30.570312 1752698537.5163
MEM 30.570312 1752698537.6166
MEM 30.570312 1752698537.7169
MEM 30.570312 1752698537.8172
MEM 30.570312 1752698537.9175
MEM 30.570312 1752698538.0178
MEM 30.570312 1752698538.1181
MEM 30.570312 1752698538.2183
MEM 30.570312 1752698538.3186
MEM 30.570312 1752698538.4189
MEM 30.570312 1752698538.5192
MEM 30.570312 1752698538.6194
MEM 30.570312 1752698538.7197
MEM 30.570312 1752698538.8200
MEM 30.570312 1752698538.9203
MEM 30.570312 1752698539.0206
MEM 30.570312 1752698539.1209
MEM 30.570312 1752698539.2213
MEM 30.570312 1752698539.3217
MEM 30.570312 1752698539.4220
MEM 30.570312 1752698539.5223
MEM 30.570312 1752698539.6226
MEM 30.570312 1752698539.7229
MEM 30.570312 1752698539.8233
MEM 30.570312 1752698539.9236
