CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1752701174.6254
MEM 23.914062 1752701174.7257
MEM 29.761719 1752701174.8260
MEM 30.539062 1752701174.9262
MEM 35.664062 1752701175.0271
MEM 43.289062 1752701175.1274
MEM 43.289062 1752701175.2277
MEM 43.289062 1752701175.3281
MEM 43.289062 1752701175.4284
MEM 43.289062 1752701175.5287
MEM 43.289062 1752701175.6290
MEM 43.289062 1752701175.7293
MEM 43.289062 1752701175.8296
MEM 43.289062 1752701175.9299
MEM 43.289062 1752701176.0310
MEM 43.289062 1752701176.1313
MEM 43.289062 1752701176.2316
MEM 43.289062 1752701176.3319
MEM 43.289062 1752701176.4323
MEM 43.289062 1752701176.5325
MEM 43.289062 1752701176.6329
MEM 43.289062 1752701176.7332
MEM 43.289062 1752701176.8335
MEM 43.289062 1752701176.9338
MEM 43.289062 1752701177.0341
MEM 43.289062 1752701177.1344
MEM 43.289062 1752701177.2347
MEM 43.289062 1752701177.3351
MEM 43.289062 1752701177.4354
MEM 43.289062 1752701177.5357
MEM 43.289062 1752701177.6360
MEM 43.289062 1752701177.7363
MEM 43.289062 1752701177.8366
MEM 43.289062 1752701177.9369
MEM 43.289062 1752701178.0372
MEM 43.289062 1752701178.1376
MEM 43.289062 1752701178.2379
MEM 43.289062 1752701178.3383
MEM 43.289062 1752701178.4386
MEM 43.289062 1752701178.5389
MEM 43.289062 1752701178.6392
MEM 43.289062 1752701178.7395
MEM 43.289062 1752701178.8398
MEM 43.289062 1752701178.9401
MEM 43.289062 1752701179.0404
MEM 43.289062 1752701179.1407
MEM 43.289062 1752701179.2410
MEM 43.289062 1752701179.3413
MEM 43.289062 1752701179.4416
MEM 43.289062 1752701179.5420
MEM 43.289062 1752701179.6423
MEM 43.289062 1752701179.7426
MEM 43.289062 1752701179.8430
MEM 43.289062 1752701179.9433
MEM 43.289062 1752701180.0436
MEM 43.289062 1752701180.1439
MEM 43.289062 1752701180.2442
MEM 43.289062 1752701180.3445
MEM 43.289062 1752701180.4448
MEM 43.289062 1752701180.5452
MEM 43.289062 1752701180.6455
MEM 43.289062 1752701180.7458
MEM 43.289062 1752701180.8461
MEM 43.289062 1752701180.9464
MEM 43.289062 1752701181.0467
MEM 43.289062 1752701181.1470
MEM 43.289062 1752701181.2473
MEM 43.289062 1752701181.3476
MEM 43.289062 1752701181.4480
MEM 43.289062 1752701181.5482
MEM 43.289062 1752701181.6485
MEM 43.289062 1752701181.7488
MEM 43.289062 1752701181.8491
MEM 43.289062 1752701181.9494
MEM 43.289062 1752701182.0497
MEM 43.289062 1752701182.1500
