CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1752704778.4649
MEM 24.820312 1752704778.5659
MEM 29.820312 1752704778.6662
MEM 30.871094 1752704778.7664
MEM 42.371094 1752704778.8667
MEM 43.121094 1752704778.9670
MEM 43.121094 1752704779.0673
MEM 43.121094 1752704779.1676
MEM 43.121094 1752704779.2679
MEM 43.121094 1752704779.3682
MEM 43.121094 1752704779.4685
MEM 43.121094 1752704779.5688
MEM 43.121094 1752704779.6691
MEM 43.121094 1752704779.7693
MEM 43.121094 1752704779.8696
MEM 43.121094 1752704779.9698
MEM 43.121094 1752704780.0701
MEM 43.121094 1752704780.1704
MEM 43.121094 1752704780.2707
MEM 43.121094 1752704780.3710
MEM 43.121094 1752704780.4713
MEM 43.121094 1752704780.5715
MEM 43.121094 1752704780.6718
MEM 43.121094 1752704780.7722
MEM 43.121094 1752704780.8725
MEM 43.121094 1752704780.9728
MEM 43.121094 1752704781.0731
MEM 43.121094 1752704781.1735
MEM 43.121094 1752704781.2738
MEM 43.121094 1752704781.3741
MEM 43.121094 1752704781.4744
MEM 43.121094 1752704781.5747
MEM 43.121094 1752704781.6750
MEM 43.121094 1752704781.7753
MEM 43.121094 1752704781.8757
MEM 43.121094 1752704781.9760
MEM 43.121094 1752704782.0763
MEM 43.121094 1752704782.1767
MEM 43.121094 1752704782.2770
MEM 43.121094 1752704782.3773
MEM 43.121094 1752704782.4776
MEM 43.121094 1752704782.5780
MEM 43.121094 1752704782.6783
MEM 43.121094 1752704782.7785
MEM 43.121094 1752704782.8789
MEM 43.121094 1752704782.9792
MEM 43.121094 1752704783.0795
MEM 43.121094 1752704783.1798
MEM 43.121094 1752704783.2801
MEM 43.121094 1752704783.3804
MEM 43.121094 1752704783.4807
MEM 43.121094 1752704783.5811
MEM 43.121094 1752704783.6814
MEM 43.121094 1752704783.7818
MEM 43.121094 1752704783.8821
MEM 43.121094 1752704783.9824
MEM 43.121094 1752704784.0828
MEM 43.121094 1752704784.1831
MEM 43.121094 1752704784.2834
MEM 43.121094 1752704784.3838
MEM 43.121094 1752704784.4841
MEM 43.121094 1752704784.5844
MEM 43.121094 1752704784.6847
MEM 43.121094 1752704784.7850
MEM 43.121094 1752704784.8854
MEM 43.121094 1752704784.9857
MEM 43.121094 1752704785.0879
MEM 43.121094 1752704785.1882
MEM 43.121094 1752704785.2885
MEM 43.121094 1752704785.3889
MEM 43.121094 1752704785.4892
MEM 43.121094 1752704785.5895
MEM 43.121094 1752704785.6899
