CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.269531 1752704937.7459
MEM 26.378906 1752704937.8462
MEM 29.394531 1752704937.9465
MEM 30.519531 1752704938.0469
MEM 30.519531 1752704938.1472
MEM 30.519531 1752704938.2476
MEM 30.519531 1752704938.3479
MEM 30.519531 1752704938.4482
MEM 30.519531 1752704938.5485
MEM 30.519531 1752704938.6489
MEM 30.519531 1752704938.7492
MEM 30.519531 1752704938.8495
MEM 30.519531 1752704938.9499
MEM 30.519531 1752704939.0502
MEM 30.519531 1752704939.1505
MEM 30.644531 1752704939.2509
MEM 30.644531 1752704939.3512
MEM 30.644531 1752704939.4515
MEM 30.644531 1752704939.5519
MEM 30.644531 1752704939.6522
MEM 30.644531 1752704939.7526
MEM 30.644531 1752704939.8529
MEM 30.644531 1752704939.9533
MEM 30.644531 1752704940.0536
MEM 30.644531 1752704940.1539
MEM 30.644531 1752704940.2542
MEM 30.644531 1752704940.3546
MEM 30.644531 1752704940.4549
MEM 30.644531 1752704940.5552
MEM 30.644531 1752704940.6555
MEM 30.644531 1752704940.7559
MEM 30.644531 1752704940.8562
MEM 30.644531 1752704940.9565
MEM 30.644531 1752704941.0569
MEM 30.644531 1752704941.1573
MEM 30.644531 1752704941.2576
MEM 30.644531 1752704941.3579
MEM 30.644531 1752704941.4582
MEM 30.644531 1752704941.5586
MEM 30.644531 1752704941.6589
MEM 30.644531 1752704941.7592
MEM 30.644531 1752704941.8595
MEM 30.644531 1752704941.9597
MEM 30.644531 1752704942.0599
MEM 30.644531 1752704942.1602
MEM 30.644531 1752704942.2604
MEM 30.644531 1752704942.3606
MEM 30.644531 1752704942.4608
MEM 30.644531 1752704942.5611
MEM 30.644531 1752704942.6615
MEM 30.644531 1752704942.7617
MEM 30.644531 1752704942.8621
MEM 30.644531 1752704942.9624
MEM 30.644531 1752704943.0627
MEM 30.644531 1752704943.1629
MEM 30.644531 1752704943.2632
MEM 30.644531 1752704943.3634
MEM 30.644531 1752704943.4636
MEM 30.644531 1752704943.5639
MEM 30.644531 1752704943.6642
MEM 30.644531 1752704943.7645
MEM 30.644531 1752704943.8648
MEM 30.644531 1752704943.9651
MEM 30.644531 1752704944.0654
MEM 30.644531 1752704944.1657
MEM 30.644531 1752704944.2660
MEM 30.644531 1752704944.3662
MEM 30.644531 1752704944.4665
MEM 30.644531 1752704944.5667
MEM 30.644531 1752704944.6670
MEM 30.644531 1752704944.7673
MEM 30.644531 1752704944.8675
MEM 30.644531 1752704944.9679
MEM 30.644531 1752704945.0681
MEM 30.644531 1752704945.1685
MEM 30.644531 1752704945.2688
MEM 30.644531 1752704945.3691
MEM 30.644531 1752704945.4693
MEM 30.644531 1752704945.5696
MEM 30.644531 1752704945.6698
MEM 30.644531 1752704945.7701
MEM 30.644531 1752704945.8703
MEM 30.644531 1752704945.9706
MEM 30.644531 1752704946.0709
MEM 30.644531 1752704946.1711
MEM 30.644531 1752704946.2714
MEM 30.644531 1752704946.3716
MEM 30.644531 1752704946.4718
MEM 30.644531 1752704946.5720
MEM 30.644531 1752704946.6722
MEM 30.644531 1752704946.7724
MEM 30.644531 1752704946.8726
MEM 30.644531 1752704946.9730
MEM 30.644531 1752704947.0732
MEM 30.644531 1752704947.1735
MEM 30.644531 1752704947.2738
MEM 30.644531 1752704947.3741
MEM 30.644531 1752704947.4743
MEM 30.644531 1752704947.5746
MEM 30.644531 1752704947.6749
MEM 30.644531 1752704947.7751
MEM 30.644531 1752704947.8754
MEM 30.644531 1752704947.9757
MEM 30.644531 1752704948.0761
MEM 30.644531 1752704948.1764
MEM 30.644531 1752704948.2767
MEM 30.644531 1752704948.3770
MEM 30.644531 1752704948.4774
MEM 30.644531 1752704948.5777
MEM 30.644531 1752704948.6780
MEM 30.644531 1752704948.7783
MEM 30.644531 1752704948.8786
MEM 30.644531 1752704948.9789
MEM 30.644531 1752704949.0791
MEM 30.644531 1752704949.1794
MEM 30.644531 1752704949.2797
MEM 30.644531 1752704949.3800
MEM 30.644531 1752704949.4802
MEM 30.644531 1752704949.5805
MEM 30.644531 1752704949.6808
MEM 30.644531 1752704949.7811
MEM 30.644531 1752704949.8813
MEM 30.644531 1752704949.9816
MEM 30.644531 1752704950.0820
MEM 30.644531 1752704950.1823
MEM 30.644531 1752704950.2826
MEM 30.644531 1752704950.3829
MEM 30.644531 1752704950.4833
MEM 30.644531 1752704950.5836
MEM 30.644531 1752704950.6839
MEM 30.644531 1752704950.7841
MEM 30.644531 1752704950.8843
MEM 30.644531 1752704950.9845
MEM 30.644531 1752704951.0848
MEM 30.644531 1752704951.1851
MEM 30.644531 1752704951.2854
MEM 30.644531 1752704951.3857
MEM 30.644531 1752704951.4860
MEM 30.644531 1752704951.5863
MEM 30.644531 1752704951.6867
MEM 30.644531 1752704951.7870
MEM 30.644531 1752704951.8873
MEM 30.644531 1752704951.9875
MEM 30.644531 1752704952.0878
MEM 30.644531 1752704952.1881
MEM 30.644531 1752704952.2884
MEM 30.644531 1752704952.3886
MEM 30.644531 1752704952.4890
MEM 30.644531 1752704952.5893
MEM 30.644531 1752704952.6895
MEM 30.644531 1752704952.7898
MEM 30.644531 1752704952.8900
MEM 30.644531 1752704952.9903
MEM 30.644531 1752704953.0906
MEM 30.644531 1752704953.1909
MEM 30.644531 1752704953.2912
MEM 30.644531 1752704953.3915
MEM 30.644531 1752704953.4918
MEM 30.644531 1752704953.5921
MEM 30.644531 1752704953.6925
MEM 30.644531 1752704953.7928
MEM 30.644531 1752704953.8931
MEM 30.644531 1752704953.9934
MEM 30.644531 1752704954.0937
MEM 30.644531 1752704954.1940
MEM 30.644531 1752704954.2943
MEM 30.644531 1752704954.3946
MEM 30.644531 1752704954.4948
MEM 30.644531 1752704954.5951
MEM 30.644531 1752704954.6954
MEM 30.644531 1752704954.7957
MEM 30.644531 1752704954.8960
MEM 30.644531 1752704954.9963
MEM 30.644531 1752704955.0966
MEM 30.644531 1752704955.1969
MEM 30.644531 1752704955.2972
MEM 30.644531 1752704955.3975
MEM 30.644531 1752704955.4978
MEM 30.644531 1752704955.5981
MEM 30.644531 1752704955.6984
MEM 30.644531 1752704955.7986
MEM 30.644531 1752704955.8989
MEM 30.644531 1752704955.9991
MEM 30.644531 1752704956.0994
MEM 30.644531 1752704956.1996
MEM 30.644531 1752704956.2999
MEM 30.644531 1752704956.4001
MEM 30.644531 1752704956.5003
MEM 30.644531 1752704956.6005
MEM 30.644531 1752704956.7008
MEM 30.644531 1752704956.8010
MEM 30.644531 1752704956.9012
MEM 30.644531 1752704957.0014
MEM 30.644531 1752704957.1017
MEM 30.644531 1752704957.2019
MEM 30.644531 1752704957.3022
MEM 30.644531 1752704957.4025
MEM 30.644531 1752704957.5028
MEM 30.644531 1752704957.6031
MEM 30.644531 1752704957.7034
MEM 30.644531 1752704957.8037
MEM 30.644531 1752704957.9040
MEM 30.644531 1752704958.0042
MEM 30.644531 1752704958.1045
MEM 30.644531 1752704958.2049
MEM 30.644531 1752704958.3052
MEM 30.644531 1752704958.4055
MEM 30.644531 1752704958.5058
MEM 30.644531 1752704958.6060
MEM 30.644531 1752704958.7063
MEM 30.644531 1752704958.8066
MEM 30.644531 1752704958.9070
MEM 30.644531 1752704959.0073
MEM 30.644531 1752704959.1076
MEM 30.644531 1752704959.2079
MEM 30.644531 1752704959.3083
MEM 30.644531 1752704959.4085
MEM 30.644531 1752704959.5088
MEM 30.644531 1752704959.6091
MEM 30.644531 1752704959.7093
MEM 30.644531 1752704959.8096
MEM 30.644531 1752704959.9098
MEM 30.644531 1752704960.0101
MEM 30.644531 1752704960.1104
MEM 30.644531 1752704960.2106
MEM 30.644531 1752704960.3109
MEM 30.644531 1752704960.4111
MEM 30.644531 1752704960.5113
MEM 30.644531 1752704960.6116
MEM 30.644531 1752704960.7119
MEM 30.644531 1752704960.8121
MEM 30.644531 1752704960.9124
MEM 30.644531 1752704961.0126
MEM 30.644531 1752704961.1130
MEM 30.644531 1752704961.2133
MEM 30.644531 1752704961.3136
MEM 30.644531 1752704961.4138
MEM 30.644531 1752704961.5141
MEM 30.644531 1752704961.6144
MEM 30.644531 1752704961.7146
MEM 30.644531 1752704961.8149
MEM 30.644531 1752704961.9151
MEM 30.644531 1752704962.0154
MEM 30.644531 1752704962.1156
MEM 30.644531 1752704962.2158
MEM 30.644531 1752704962.3161
MEM 30.644531 1752704962.4164
MEM 30.644531 1752704962.5167
MEM 30.644531 1752704962.6170
MEM 30.644531 1752704962.7174
MEM 30.644531 1752704962.8176
MEM 30.644531 1752704962.9179
MEM 30.644531 1752704963.0181
MEM 30.644531 1752704963.1183
MEM 30.644531 1752704963.2186
MEM 30.644531 1752704963.3188
MEM 30.644531 1752704963.4191
MEM 30.644531 1752704963.5193
MEM 30.644531 1752704963.6196
MEM 30.644531 1752704963.7199
MEM 30.644531 1752704963.8201
MEM 30.644531 1752704963.9203
MEM 30.644531 1752704964.0206
MEM 30.644531 1752704964.1209
MEM 30.644531 1752704964.2211
MEM 30.644531 1752704964.3214
MEM 30.644531 1752704964.4217
MEM 30.644531 1752704964.5220
MEM 30.644531 1752704964.6222
MEM 30.644531 1752704964.7226
MEM 30.644531 1752704964.8229
MEM 30.644531 1752704964.9231
MEM 30.644531 1752704965.0234
MEM 30.644531 1752704965.1237
MEM 30.644531 1752704965.2239
MEM 30.644531 1752704965.3242
MEM 30.644531 1752704965.4244
MEM 30.644531 1752704965.5247
MEM 30.644531 1752704965.6250
MEM 30.644531 1752704965.7252
MEM 30.644531 1752704965.8255
MEM 30.644531 1752704965.9257
MEM 30.644531 1752704966.0259
MEM 30.644531 1752704966.1262
MEM 30.644531 1752704966.2264
MEM 30.644531 1752704966.3266
MEM 30.644531 1752704966.4268
MEM 30.644531 1752704966.5270
MEM 30.644531 1752704966.6272
MEM 30.644531 1752704966.7275
MEM 30.644531 1752704966.8277
MEM 30.644531 1752704966.9279
MEM 30.644531 1752704967.0281
MEM 30.644531 1752704967.1284
MEM 30.644531 1752704967.2286
MEM 30.644531 1752704967.3288
MEM 30.644531 1752704967.4290
MEM 30.644531 1752704967.5293
MEM 30.644531 1752704967.6298
MEM 30.644531 1752704967.7301
MEM 30.644531 1752704967.8303
MEM 30.644531 1752704967.9305
MEM 30.644531 1752704968.0307
MEM 30.644531 1752704968.1310
MEM 30.644531 1752704968.2312
MEM 30.644531 1752704968.3314
MEM 30.644531 1752704968.4317
MEM 30.644531 1752704968.5319
MEM 30.644531 1752704968.6322
MEM 30.644531 1752704968.7325
MEM 30.644531 1752704968.8327
MEM 30.644531 1752704968.9330
MEM 30.644531 1752704969.0332
MEM 30.644531 1752704969.1335
MEM 30.644531 1752704969.2338
MEM 30.644531 1752704969.3340
MEM 30.644531 1752704969.4342
MEM 30.644531 1752704969.5344
MEM 30.644531 1752704969.6347
MEM 30.644531 1752704969.7350
MEM 30.644531 1752704969.8352
MEM 30.644531 1752704969.9355
MEM 30.644531 1752704970.0357
MEM 30.644531 1752704970.1360
MEM 30.644531 1752704970.2362
MEM 30.644531 1752704970.3364
MEM 30.644531 1752704970.4366
MEM 30.644531 1752704970.5369
MEM 30.644531 1752704970.6371
MEM 30.644531 1752704970.7374
MEM 30.644531 1752704970.8376
MEM 30.644531 1752704970.9380
MEM 30.644531 1752704971.0383
MEM 30.644531 1752704971.1386
MEM 30.644531 1752704971.2388
MEM 30.644531 1752704971.3391
MEM 30.644531 1752704971.4394
MEM 30.644531 1752704971.5397
MEM 30.644531 1752704971.6400
MEM 30.644531 1752704971.7403
MEM 30.644531 1752704971.8405
MEM 30.644531 1752704971.9409
MEM 30.644531 1752704972.0411
MEM 30.644531 1752704972.1414
MEM 30.644531 1752704972.2418
MEM 30.644531 1752704972.3421
MEM 30.644531 1752704972.4423
MEM 30.644531 1752704972.5426
MEM 30.644531 1752704972.6429
MEM 30.644531 1752704972.7431
MEM 30.644531 1752704972.8434
MEM 30.644531 1752704972.9437
MEM 30.644531 1752704973.0444
MEM 30.644531 1752704973.1448
MEM 30.644531 1752704973.2451
MEM 30.644531 1752704973.3454
MEM 30.644531 1752704973.4458
MEM 30.644531 1752704973.5460
MEM 30.644531 1752704973.6463
MEM 30.644531 1752704973.7466
MEM 30.644531 1752704973.8470
MEM 30.644531 1752704973.9473
MEM 30.644531 1752704974.0476
MEM 30.644531 1752704974.1478
MEM 30.644531 1752704974.2481
MEM 30.644531 1752704974.3483
MEM 30.644531 1752704974.4485
MEM 30.644531 1752704974.5487
MEM 30.644531 1752704974.6490
MEM 30.644531 1752704974.7493
MEM 30.644531 1752704974.8495
MEM 30.644531 1752704974.9498
MEM 30.644531 1752704975.0500
MEM 30.644531 1752704975.1503
MEM 30.644531 1752704975.2505
MEM 30.644531 1752704975.3507
MEM 30.644531 1752704975.4509
MEM 30.644531 1752704975.5512
MEM 30.644531 1752704975.6514
MEM 30.644531 1752704975.7516
MEM 30.644531 1752704975.8518
MEM 30.644531 1752704975.9520
MEM 30.644531 1752704976.0522
MEM 30.644531 1752704976.1525
MEM 30.644531 1752704976.2528
MEM 30.644531 1752704976.3530
MEM 30.644531 1752704976.4532
MEM 30.644531 1752704976.5534
MEM 30.644531 1752704976.6537
MEM 30.644531 1752704976.7539
MEM 30.644531 1752704976.8541
MEM 30.644531 1752704976.9543
MEM 30.644531 1752704977.0546
MEM 30.644531 1752704977.1548
MEM 30.644531 1752704977.2550
MEM 30.644531 1752704977.3552
MEM 30.644531 1752704977.4554
MEM 30.644531 1752704977.5557
MEM 30.644531 1752704977.6559
MEM 30.644531 1752704977.7561
MEM 30.644531 1752704977.8563
MEM 30.644531 1752704977.9566
MEM 30.644531 1752704978.0568
MEM 30.644531 1752704978.1571
MEM 30.644531 1752704978.2573
MEM 30.644531 1752704978.3576
MEM 30.644531 1752704978.4578
MEM 30.644531 1752704978.5581
MEM 30.644531 1752704978.6584
MEM 30.644531 1752704978.7586
MEM 30.644531 1752704978.8588
MEM 30.644531 1752704978.9591
MEM 30.644531 1752704979.0593
MEM 30.644531 1752704979.1595
MEM 30.644531 1752704979.2597
MEM 30.644531 1752704979.3599
MEM 30.644531 1752704979.4601
MEM 30.644531 1752704979.5603
MEM 30.644531 1752704979.6606
MEM 30.644531 1752704979.7609
MEM 30.644531 1752704979.8612
MEM 30.644531 1752704979.9614
MEM 30.644531 1752704980.0616
MEM 30.644531 1752704980.1618
MEM 30.644531 1752704980.2620
MEM 30.644531 1752704980.3622
MEM 30.644531 1752704980.4625
MEM 30.644531 1752704980.5628
MEM 30.644531 1752704980.6631
MEM 30.644531 1752704980.7633
MEM 30.644531 1752704980.8635
MEM 30.644531 1752704980.9638
MEM 30.644531 1752704981.0640
MEM 30.644531 1752704981.1643
MEM 30.644531 1752704981.2645
MEM 30.644531 1752704981.3648
MEM 30.644531 1752704981.4650
MEM 30.644531 1752704981.5652
MEM 30.644531 1752704981.6655
MEM 30.644531 1752704981.7659
MEM 30.644531 1752704981.8661
MEM 30.644531 1752704981.9664
MEM 30.644531 1752704982.0666
MEM 30.644531 1752704982.1669
MEM 30.644531 1752704982.2671
MEM 30.644531 1752704982.3673
MEM 30.644531 1752704982.4676
MEM 30.644531 1752704982.5679
MEM 30.644531 1752704982.6682
MEM 30.644531 1752704982.7684
MEM 30.644531 1752704982.8686
MEM 30.644531 1752704982.9689
MEM 30.644531 1752704983.0691
MEM 30.644531 1752704983.1693
MEM 30.644531 1752704983.2695
MEM 30.644531 1752704983.3698
MEM 30.644531 1752704983.4700
MEM 30.644531 1752704983.5702
MEM 30.644531 1752704983.6705
MEM 30.644531 1752704983.7708
MEM 30.644531 1752704983.8710
MEM 30.644531 1752704983.9713
MEM 30.644531 1752704984.0715
MEM 30.644531 1752704984.1718
MEM 30.644531 1752704984.2720
MEM 30.644531 1752704984.3722
MEM 30.644531 1752704984.4724
MEM 30.644531 1752704984.5727
MEM 30.644531 1752704984.6731
MEM 30.644531 1752704984.7734
MEM 30.644531 1752704984.8736
MEM 30.644531 1752704984.9738
MEM 30.644531 1752704985.0742
MEM 30.644531 1752704985.1745
MEM 30.644531 1752704985.2748
MEM 30.644531 1752704985.3750
MEM 30.644531 1752704985.4753
MEM 30.644531 1752704985.5757
MEM 30.644531 1752704985.6760
MEM 30.644531 1752704985.7763
MEM 30.644531 1752704985.8766
MEM 30.644531 1752704985.9768
MEM 30.644531 1752704986.0771
MEM 30.644531 1752704986.1773
MEM 30.644531 1752704986.2776
MEM 30.644531 1752704986.3778
MEM 30.644531 1752704986.4781
MEM 30.644531 1752704986.5784
MEM 30.644531 1752704986.6788
MEM 30.644531 1752704986.7791
MEM 30.644531 1752704986.8795
MEM 30.644531 1752704986.9798
MEM 30.644531 1752704987.0809
MEM 30.644531 1752704987.1812
MEM 30.644531 1752704987.2815
MEM 30.644531 1752704987.3819
MEM 30.644531 1752704987.4822
MEM 30.644531 1752704987.5825
MEM 30.644531 1752704987.6829
MEM 30.644531 1752704987.7832
MEM 30.644531 1752704987.8836
MEM 30.644531 1752704987.9839
MEM 30.644531 1752704988.0842
MEM 30.644531 1752704988.1846
MEM 30.644531 1752704988.2849
MEM 30.644531 1752704988.3852
MEM 30.644531 1752704988.4855
MEM 30.644531 1752704988.5858
MEM 30.644531 1752704988.6861
MEM 30.644531 1752704988.7864
MEM 30.644531 1752704988.8867
MEM 30.644531 1752704988.9870
MEM 30.644531 1752704989.0874
MEM 30.644531 1752704989.1876
MEM 30.644531 1752704989.2880
MEM 30.644531 1752704989.3883
MEM 30.644531 1752704989.4887
MEM 30.644531 1752704989.5890
MEM 30.644531 1752704989.6894
MEM 30.644531 1752704989.7897
MEM 30.644531 1752704989.8901
MEM 30.644531 1752704989.9904
MEM 30.644531 1752704990.0908
MEM 30.644531 1752704990.1911
MEM 30.644531 1752704990.2914
MEM 30.644531 1752704990.3918
MEM 30.644531 1752704990.4921
MEM 30.644531 1752704990.5924
MEM 30.644531 1752704990.6928
MEM 30.644531 1752704990.7931
MEM 30.644531 1752704990.8934
MEM 30.644531 1752704990.9937
MEM 30.644531 1752704991.0940
MEM 30.644531 1752704991.1944
MEM 30.644531 1752704991.2946
MEM 30.644531 1752704991.3949
MEM 30.644531 1752704991.4952
MEM 30.644531 1752704991.5955
MEM 30.644531 1752704991.6958
MEM 30.644531 1752704991.7961
MEM 30.644531 1752704991.8965
MEM 30.644531 1752704991.9968
MEM 30.644531 1752704992.0971
MEM 30.644531 1752704992.1975
MEM 30.644531 1752704992.2978
MEM 30.644531 1752704992.3981
MEM 30.644531 1752704992.4984
MEM 30.644531 1752704992.5987
MEM 30.644531 1752704992.6991
MEM 30.644531 1752704992.7994
MEM 30.644531 1752704992.8997
MEM 30.644531 1752704993.0000
MEM 30.644531 1752704993.1004
MEM 30.644531 1752704993.2007
MEM 30.644531 1752704993.3010
MEM 30.644531 1752704993.4014
MEM 30.644531 1752704993.5017
MEM 30.644531 1752704993.6020
MEM 30.644531 1752704993.7023
MEM 30.644531 1752704993.8025
MEM 30.644531 1752704993.9029
MEM 30.644531 1752704994.0033
MEM 30.644531 1752704994.1036
MEM 30.644531 1752704994.2039
MEM 30.644531 1752704994.3042
MEM 30.644531 1752704994.4046
MEM 30.644531 1752704994.5049
MEM 30.644531 1752704994.6053
MEM 30.644531 1752704994.7056
MEM 30.644531 1752704994.8059
MEM 30.644531 1752704994.9063
MEM 30.644531 1752704995.0066
MEM 30.644531 1752704995.1069
MEM 30.644531 1752704995.2072
MEM 30.644531 1752704995.3075
MEM 30.644531 1752704995.4079
MEM 30.644531 1752704995.5082
MEM 30.644531 1752704995.6085
MEM 30.644531 1752704995.7089
MEM 30.644531 1752704995.8092
MEM 30.644531 1752704995.9095
MEM 30.644531 1752704996.0098
MEM 30.644531 1752704996.1102
MEM 30.644531 1752704996.2105
MEM 30.644531 1752704996.3109
MEM 30.644531 1752704996.4112
MEM 30.644531 1752704996.5115
MEM 30.644531 1752704996.6118
MEM 30.644531 1752704996.7121
MEM 30.644531 1752704996.8124
MEM 30.644531 1752704996.9128
MEM 30.644531 1752704997.0132
MEM 30.644531 1752704997.1135
MEM 30.644531 1752704997.2139
MEM 30.644531 1752704997.3142
MEM 30.644531 1752704997.4145
MEM 30.644531 1752704997.5148
MEM 30.644531 1752704997.6151
MEM 30.644531 1752704997.7154
MEM 30.644531 1752704997.8158
MEM 30.644531 1752704997.9161
MEM 30.644531 1752704998.0165
MEM 30.644531 1752704998.1169
MEM 30.644531 1752704998.2172
MEM 30.644531 1752704998.3175
MEM 30.644531 1752704998.4179
MEM 30.644531 1752704998.5189
MEM 30.644531 1752704998.6192
MEM 30.644531 1752704998.7195
MEM 30.644531 1752704998.8198
MEM 30.644531 1752704998.9201
MEM 30.644531 1752704999.0204
MEM 30.644531 1752704999.1208
MEM 30.644531 1752704999.2211
MEM 30.644531 1752704999.3213
MEM 30.644531 1752704999.4216
MEM 30.644531 1752704999.5218
MEM 30.644531 1752704999.6221
MEM 30.644531 1752704999.7224
MEM 30.644531 1752704999.8226
MEM 30.644531 1752704999.9229
MEM 30.644531 1752705000.0232
MEM 30.644531 1752705000.1234
MEM 30.644531 1752705000.2237
MEM 30.644531 1752705000.3239
MEM 30.644531 1752705000.4242
MEM 30.644531 1752705000.5244
MEM 30.644531 1752705000.6246
MEM 30.644531 1752705000.7249
MEM 30.644531 1752705000.8251
MEM 30.644531 1752705000.9254
MEM 30.644531 1752705001.0256
MEM 30.644531 1752705001.1259
MEM 30.644531 1752705001.2263
MEM 30.644531 1752705001.3266
MEM 30.644531 1752705001.4269
MEM 30.644531 1752705001.5272
MEM 30.644531 1752705001.6275
MEM 30.644531 1752705001.7279
MEM 30.644531 1752705001.8282
MEM 30.644531 1752705001.9285
MEM 30.644531 1752705002.0289
MEM 30.644531 1752705002.1292
MEM 30.644531 1752705002.2295
MEM 30.644531 1752705002.3298
MEM 30.644531 1752705002.4302
MEM 30.644531 1752705002.5306
MEM 30.644531 1752705002.6309
MEM 30.644531 1752705002.7312
MEM 30.644531 1752705002.8315
MEM 30.644531 1752705002.9319
MEM 30.644531 1752705003.0321
MEM 30.644531 1752705003.1324
MEM 30.644531 1752705003.2328
MEM 30.644531 1752705003.3331
MEM 30.644531 1752705003.4333
MEM 30.644531 1752705003.5336
MEM 30.644531 1752705003.6338
MEM 30.644531 1752705003.7341
MEM 30.644531 1752705003.8343
MEM 30.644531 1752705003.9345
MEM 30.644531 1752705004.0347
MEM 30.644531 1752705004.1349
MEM 30.644531 1752705004.2352
MEM 30.644531 1752705004.3354
MEM 31.144531 1752705004.4357
MEM 31.144531 1752705004.5359
MEM 31.144531 1752705004.6362
MEM 31.144531 1752705004.7366
MEM 31.144531 1752705004.8368
MEM 31.144531 1752705004.9372
MEM 31.144531 1752705005.0375
MEM 31.144531 1752705005.1378
MEM 31.144531 1752705005.2382
MEM 31.144531 1752705005.3385
MEM 31.144531 1752705005.4388
MEM 31.144531 1752705005.5390
MEM 31.144531 1752705005.6393
MEM 31.144531 1752705005.7396
MEM 31.144531 1752705005.8398
MEM 31.144531 1752705005.9401
MEM 31.144531 1752705006.0404
MEM 31.144531 1752705006.1407
MEM 31.144531 1752705006.2410
MEM 31.144531 1752705006.3412
MEM 31.144531 1752705006.4414
MEM 31.144531 1752705006.5417
MEM 31.144531 1752705006.6420
MEM 31.144531 1752705006.7424
MEM 31.144531 1752705006.8427
MEM 31.144531 1752705006.9430
MEM 31.144531 1752705007.0433
MEM 31.144531 1752705007.1436
MEM 31.144531 1752705007.2439
MEM 31.144531 1752705007.3442
MEM 31.144531 1752705007.4445
