CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1752807633.5222
MEM 25.378906 1752807633.6225
MEM 29.382812 1752807633.7228
MEM 31.507812 1752807633.8232
MEM 31.632812 1752807633.9235
MEM 31.757812 1752807634.0238
MEM 31.882812 1752807634.1241
MEM 31.882812 1752807634.2244
MEM 31.882812 1752807634.3247
MEM 31.882812 1752807634.4251
MEM 31.882812 1752807634.5254
MEM 31.882812 1752807634.6257
MEM 31.882812 1752807634.7260
MEM 31.882812 1752807634.8263
MEM 31.882812 1752807634.9265
MEM 31.882812 1752807635.0269
MEM 31.882812 1752807635.1272
MEM 31.882812 1752807635.2275
MEM 31.882812 1752807635.3278
MEM 31.882812 1752807635.4281
MEM 31.882812 1752807635.5284
MEM 31.882812 1752807635.6287
MEM 31.882812 1752807635.7290
MEM 31.882812 1752807635.8293
MEM 31.882812 1752807635.9297
MEM 31.882812 1752807636.0300
MEM 31.882812 1752807636.1303
MEM 31.882812 1752807636.2306
MEM 31.882812 1752807636.3309
MEM 31.882812 1752807636.4312
MEM 31.882812 1752807636.5315
MEM 31.882812 1752807636.6318
MEM 31.882812 1752807636.7321
MEM 31.882812 1752807636.8324
MEM 31.882812 1752807636.9326
MEM 31.882812 1752807637.0329
MEM 31.882812 1752807637.1333
MEM 31.882812 1752807637.2336
MEM 31.882812 1752807637.3339
MEM 31.882812 1752807637.4343
MEM 31.882812 1752807637.5346
MEM 31.882812 1752807637.6349
MEM 31.882812 1752807637.7352
MEM 31.882812 1752807637.8355
MEM 31.882812 1752807637.9358
MEM 31.882812 1752807638.0362
MEM 31.882812 1752807638.1364
MEM 31.882812 1752807638.2368
MEM 31.882812 1752807638.3371
MEM 31.882812 1752807638.4374
MEM 31.882812 1752807638.5377
MEM 31.882812 1752807638.6381
MEM 31.882812 1752807638.7384
MEM 31.882812 1752807638.8387
MEM 31.882812 1752807638.9391
MEM 31.882812 1752807639.0394
MEM 31.882812 1752807639.1397
MEM 31.882812 1752807639.2400
MEM 31.882812 1752807639.3403
MEM 31.882812 1752807639.4406
MEM 31.882812 1752807639.5409
MEM 31.882812 1752807639.6413
MEM 31.882812 1752807639.7416
MEM 31.882812 1752807639.8419
MEM 31.882812 1752807639.9422
MEM 31.882812 1752807640.0425
MEM 31.882812 1752807640.1428
MEM 31.882812 1752807640.2431
MEM 31.882812 1752807640.3435
MEM 31.882812 1752807640.4438
MEM 31.882812 1752807640.5441
MEM 31.882812 1752807640.6444
MEM 31.882812 1752807640.7447
MEM 31.882812 1752807640.8450
MEM 31.882812 1752807640.9453
MEM 31.882812 1752807641.0456
MEM 31.882812 1752807641.1459
MEM 31.882812 1752807641.2462
MEM 31.882812 1752807641.3465
MEM 31.882812 1752807641.4468
MEM 31.882812 1752807641.5472
MEM 31.882812 1752807641.6475
MEM 31.882812 1752807641.7478
MEM 31.882812 1752807641.8482
MEM 31.882812 1752807641.9485
MEM 31.882812 1752807642.0488
MEM 31.882812 1752807642.1491
MEM 31.882812 1752807642.2494
MEM 31.882812 1752807642.3497
MEM 31.882812 1752807642.4501
MEM 31.882812 1752807642.5504
MEM 31.882812 1752807642.6507
MEM 31.882812 1752807642.7510
MEM 31.882812 1752807642.8513
MEM 31.882812 1752807642.9516
MEM 31.882812 1752807643.0519
MEM 31.882812 1752807643.1522
MEM 31.882812 1752807643.2525
MEM 31.882812 1752807643.3528
MEM 31.882812 1752807643.4531
MEM 31.882812 1752807643.5534
MEM 31.882812 1752807643.6537
MEM 31.882812 1752807643.7540
MEM 31.882812 1752807643.8544
MEM 31.882812 1752807643.9547
MEM 31.882812 1752807644.0550
MEM 31.882812 1752807644.1553
MEM 31.882812 1752807644.2556
MEM 31.882812 1752807644.3559
MEM 31.882812 1752807644.4562
MEM 31.882812 1752807644.5564
MEM 31.882812 1752807644.6568
MEM 31.882812 1752807644.7571
MEM 31.882812 1752807644.8574
MEM 31.882812 1752807644.9577
MEM 31.882812 1752807645.0580
MEM 31.882812 1752807645.1583
MEM 31.882812 1752807645.2586
MEM 31.882812 1752807645.3589
MEM 31.882812 1752807645.4592
MEM 31.882812 1752807645.5596
MEM 31.882812 1752807645.6599
MEM 31.882812 1752807645.7602
MEM 31.882812 1752807645.8605
MEM 31.882812 1752807645.9608
MEM 31.882812 1752807646.0612
MEM 31.882812 1752807646.1615
MEM 31.882812 1752807646.2618
MEM 31.882812 1752807646.3621
MEM 31.882812 1752807646.4624
MEM 31.882812 1752807646.5627
MEM 31.882812 1752807646.6631
MEM 31.882812 1752807646.7634
MEM 31.882812 1752807646.8637
MEM 31.882812 1752807646.9639
MEM 31.882812 1752807647.0643
MEM 31.882812 1752807647.1646
MEM 31.882812 1752807647.2649
MEM 31.882812 1752807647.3652
MEM 31.882812 1752807647.4655
MEM 31.882812 1752807647.5658
MEM 31.882812 1752807647.6662
MEM 31.882812 1752807647.7665
MEM 31.882812 1752807647.8668
MEM 31.882812 1752807647.9672
MEM 31.882812 1752807648.0675
MEM 31.882812 1752807648.1678
MEM 31.882812 1752807648.2681
MEM 31.882812 1752807648.3684
MEM 31.882812 1752807648.4687
MEM 31.882812 1752807648.5691
MEM 31.882812 1752807648.6694
MEM 31.882812 1752807648.7697
MEM 31.882812 1752807648.8701
MEM 31.882812 1752807648.9704
MEM 31.882812 1752807649.0708
MEM 31.882812 1752807649.1711
MEM 31.882812 1752807649.2714
MEM 31.882812 1752807649.3716
MEM 31.882812 1752807649.4719
MEM 31.882812 1752807649.5722
