CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1753118261.6528
MEM 27.046875 1753118261.7530
MEM 29.671875 1753118261.8533
MEM 29.796875 1753118261.9535
MEM 29.796875 1753118262.0537
MEM 29.796875 1753118262.1539
MEM 29.796875 1753118262.2541
MEM 29.796875 1753118262.3543
MEM 29.796875 1753118262.4545
MEM 29.796875 1753118262.5547
MEM 29.796875 1753118262.6549
MEM 29.796875 1753118262.7551
MEM 29.796875 1753118262.8554
MEM 29.796875 1753118262.9556
MEM 29.796875 1753118263.0558
MEM 29.796875 1753118263.1560
MEM 29.796875 1753118263.2563
MEM 29.796875 1753118263.3565
MEM 29.796875 1753118263.4567
MEM 29.796875 1753118263.5569
MEM 29.796875 1753118263.6572
MEM 29.796875 1753118263.7574
MEM 29.796875 1753118263.8576
MEM 29.796875 1753118263.9579
MEM 29.796875 1753118264.0582
MEM 29.796875 1753118264.1585
MEM 29.796875 1753118264.2588
MEM 29.796875 1753118264.3590
MEM 29.796875 1753118264.4592
MEM 29.796875 1753118264.5595
MEM 29.796875 1753118264.6598
MEM 29.796875 1753118264.7601
MEM 29.796875 1753118264.8604
MEM 29.796875 1753118264.9607
MEM 29.796875 1753118265.0610
MEM 29.796875 1753118265.1613
MEM 29.796875 1753118265.2616
MEM 29.796875 1753118265.3619
MEM 29.796875 1753118265.4622
MEM 29.796875 1753118265.5625
MEM 29.796875 1753118265.6627
MEM 29.796875 1753118265.7630
MEM 29.796875 1753118265.8633
MEM 29.796875 1753118265.9636
MEM 29.796875 1753118266.0639
MEM 29.796875 1753118266.1641
MEM 29.796875 1753118266.2643
MEM 29.796875 1753118266.3646
MEM 29.796875 1753118266.4648
MEM 29.796875 1753118266.5650
MEM 29.796875 1753118266.6652
MEM 29.796875 1753118266.7655
MEM 29.796875 1753118266.8657
MEM 29.796875 1753118266.9659
MEM 29.796875 1753118267.0661
MEM 29.796875 1753118267.1663
MEM 29.796875 1753118267.2665
MEM 29.796875 1753118267.3673
MEM 29.796875 1753118267.4675
MEM 29.796875 1753118267.5677
MEM 29.796875 1753118267.6679
MEM 29.796875 1753118267.7682
MEM 29.796875 1753118267.8684
MEM 29.796875 1753118267.9686
MEM 29.796875 1753118268.0688
MEM 29.796875 1753118268.1691
MEM 29.796875 1753118268.2693
MEM 29.796875 1753118268.3697
MEM 29.796875 1753118268.4699
MEM 29.796875 1753118268.5702
MEM 29.796875 1753118268.6705
MEM 29.796875 1753118268.7707
MEM 29.796875 1753118268.8710
MEM 29.796875 1753118268.9713
MEM 29.796875 1753118269.0716
MEM 29.796875 1753118269.1719
