CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.277344 1753117681.3760
MEM 26.421875 1753117681.4764
MEM 29.441406 1753117681.5767
MEM 31.441406 1753117681.6770
MEM 31.566406 1753117681.7773
MEM 31.691406 1753117681.8776
MEM 31.691406 1753117681.9779
MEM 31.816406 1753117682.0782
MEM 31.816406 1753117682.1785
MEM 31.816406 1753117682.2788
MEM 31.816406 1753117682.3791
MEM 31.816406 1753117682.4794
MEM 31.816406 1753117682.5797
MEM 31.816406 1753117682.6800
MEM 31.816406 1753117682.7803
MEM 31.816406 1753117682.8806
MEM 31.816406 1753117682.9809
MEM 31.816406 1753117683.0812
MEM 31.816406 1753117683.1816
MEM 31.816406 1753117683.2818
MEM 31.816406 1753117683.3822
MEM 31.816406 1753117683.4824
MEM 31.816406 1753117683.5827
MEM 31.816406 1753117683.6830
MEM 31.816406 1753117683.7833
MEM 31.816406 1753117683.8836
MEM 31.816406 1753117683.9840
MEM 31.816406 1753117684.0843
MEM 31.816406 1753117684.1845
MEM 31.816406 1753117684.2848
MEM 31.816406 1753117684.3851
MEM 31.816406 1753117684.4854
MEM 31.816406 1753117684.5857
MEM 31.816406 1753117684.6860
MEM 31.816406 1753117684.7862
MEM 31.816406 1753117684.8865
MEM 31.816406 1753117684.9868
MEM 31.816406 1753117685.0871
MEM 31.816406 1753117685.1874
MEM 31.816406 1753117685.2876
MEM 31.816406 1753117685.3879
MEM 31.816406 1753117685.4882
MEM 31.816406 1753117685.5885
MEM 31.816406 1753117685.6888
MEM 31.816406 1753117685.7891
MEM 31.816406 1753117685.8893
MEM 31.816406 1753117685.9896
MEM 31.816406 1753117686.0900
MEM 31.816406 1753117686.1903
MEM 31.816406 1753117686.2906
MEM 31.816406 1753117686.3908
MEM 31.816406 1753117686.4911
MEM 31.816406 1753117686.5914
MEM 31.816406 1753117686.6917
MEM 31.816406 1753117686.7921
MEM 31.816406 1753117686.8923
MEM 31.816406 1753117686.9926
MEM 31.816406 1753117687.0929
MEM 31.816406 1753117687.1932
MEM 31.816406 1753117687.2934
MEM 31.816406 1753117687.3937
MEM 31.816406 1753117687.4940
MEM 31.816406 1753117687.5943
MEM 31.816406 1753117687.6945
MEM 31.816406 1753117687.7948
MEM 31.816406 1753117687.8951
MEM 31.816406 1753117687.9954
MEM 31.816406 1753117688.0958
MEM 31.816406 1753117688.1961
MEM 31.816406 1753117688.2963
MEM 31.816406 1753117688.3966
MEM 31.816406 1753117688.4969
MEM 31.816406 1753117688.5972
MEM 31.816406 1753117688.6975
MEM 31.816406 1753117688.7979
MEM 31.816406 1753117688.8981
MEM 31.816406 1753117688.9984
MEM 31.816406 1753117689.0987
MEM 31.816406 1753117689.1991
MEM 31.816406 1753117689.2994
MEM 31.816406 1753117689.3997
MEM 31.816406 1753117689.5000
MEM 31.816406 1753117689.6004
MEM 31.816406 1753117689.7007
MEM 31.816406 1753117689.8011
MEM 31.816406 1753117689.9014
MEM 31.816406 1753117690.0017
MEM 31.816406 1753117690.1020
MEM 31.816406 1753117690.2023
MEM 31.816406 1753117690.3026
MEM 31.816406 1753117690.4030
MEM 31.816406 1753117690.5033
MEM 31.816406 1753117690.6036
MEM 31.816406 1753117690.7040
MEM 31.816406 1753117690.8043
MEM 31.816406 1753117690.9046
MEM 31.816406 1753117691.0050
MEM 31.816406 1753117691.1053
MEM 31.816406 1753117691.2056
MEM 31.816406 1753117691.3059
MEM 31.816406 1753117691.4063
MEM 31.816406 1753117691.5066
MEM 31.816406 1753117691.6070
MEM 31.816406 1753117691.7073
MEM 31.816406 1753117691.8076
MEM 31.816406 1753117691.9079
MEM 31.816406 1753117692.0083
MEM 31.816406 1753117692.1086
MEM 31.816406 1753117692.2090
MEM 31.816406 1753117692.3093
MEM 31.816406 1753117692.4096
MEM 31.816406 1753117692.5099
MEM 31.816406 1753117692.6102
MEM 31.816406 1753117692.7105
MEM 31.816406 1753117692.8109
MEM 31.816406 1753117692.9112
MEM 31.816406 1753117693.0115
MEM 31.816406 1753117693.1118
MEM 31.816406 1753117693.2121
MEM 31.816406 1753117693.3125
MEM 31.816406 1753117693.4128
MEM 31.816406 1753117693.5131
MEM 31.816406 1753117693.6135
MEM 31.816406 1753117693.7138
MEM 31.816406 1753117693.8141
MEM 31.816406 1753117693.9144
MEM 31.816406 1753117694.0147
MEM 31.816406 1753117694.1150
MEM 31.816406 1753117694.2154
MEM 31.816406 1753117694.3156
MEM 31.816406 1753117694.4160
MEM 31.816406 1753117694.5163
MEM 31.816406 1753117694.6166
MEM 31.816406 1753117694.7168
MEM 31.816406 1753117694.8171
MEM 31.816406 1753117694.9174
MEM 31.816406 1753117695.0177
MEM 31.816406 1753117695.1180
MEM 31.816406 1753117695.2183
MEM 31.816406 1753117695.3186
MEM 31.816406 1753117695.4190
MEM 31.816406 1753117695.5193
MEM 31.816406 1753117695.6196
MEM 31.816406 1753117695.7200
MEM 31.816406 1753117695.8203
MEM 31.816406 1753117695.9206
MEM 31.816406 1753117696.0210
MEM 31.816406 1753117696.1213
MEM 31.816406 1753117696.2216
MEM 31.816406 1753117696.3219
MEM 31.816406 1753117696.4221
MEM 31.816406 1753117696.5225
MEM 31.816406 1753117696.6228
MEM 31.816406 1753117696.7231
MEM 31.816406 1753117696.8234
MEM 31.816406 1753117696.9237
MEM 31.816406 1753117697.0240
MEM 31.816406 1753117697.1243
MEM 31.816406 1753117697.2246
MEM 31.816406 1753117697.3248
MEM 31.609375 1753117697.4251
