CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1753378842.0002
MEM 26.347656 1753378842.1005
MEM 28.597656 1753378842.2007
MEM 29.722656 1753378842.3009
MEM 29.722656 1753378842.4011
MEM 29.722656 1753378842.5013
MEM 29.722656 1753378842.6015
MEM 29.722656 1753378842.7018
MEM 29.722656 1753378842.8020
MEM 29.722656 1753378842.9022
MEM 29.722656 1753378843.0024
MEM 29.722656 1753378843.1026
MEM 29.722656 1753378843.2028
MEM 29.722656 1753378843.3030
MEM 29.722656 1753378843.4032
MEM 29.722656 1753378843.5034
MEM 29.722656 1753378843.6036
MEM 29.722656 1753378843.7038
MEM 29.722656 1753378843.8040
MEM 29.722656 1753378843.9042
MEM 29.722656 1753378844.0044
MEM 29.722656 1753378844.1047
MEM 29.722656 1753378844.2049
MEM 29.722656 1753378844.3051
MEM 29.722656 1753378844.4053
MEM 29.722656 1753378844.5055
MEM 29.722656 1753378844.6057
MEM 29.722656 1753378844.7059
MEM 29.722656 1753378844.8061
MEM 29.722656 1753378844.9063
MEM 29.722656 1753378845.0065
MEM 29.722656 1753378845.1067
MEM 29.722656 1753378845.2069
MEM 29.722656 1753378845.3071
MEM 29.722656 1753378845.4073
MEM 29.722656 1753378845.5075
MEM 29.722656 1753378845.6077
MEM 29.722656 1753378845.7079
MEM 29.722656 1753378845.8081
MEM 29.722656 1753378845.9083
MEM 29.722656 1753378846.0085
MEM 29.722656 1753378846.1087
MEM 29.722656 1753378846.2089
MEM 29.722656 1753378846.3091
MEM 29.722656 1753378846.4093
MEM 29.722656 1753378846.5095
MEM 29.722656 1753378846.6097
MEM 29.722656 1753378846.7100
MEM 29.722656 1753378846.8102
MEM 29.722656 1753378846.9104
MEM 29.722656 1753378847.0106
MEM 29.722656 1753378847.1108
MEM 29.722656 1753378847.2110
MEM 29.722656 1753378847.3112
MEM 29.722656 1753378847.4114
MEM 29.722656 1753378847.5116
MEM 29.722656 1753378847.6118
MEM 29.722656 1753378847.7120
MEM 29.722656 1753378847.8122
MEM 29.722656 1753378847.9124
MEM 29.722656 1753378848.0126
MEM 29.722656 1753378848.1128
MEM 29.722656 1753378848.2130
MEM 29.722656 1753378848.3132
MEM 29.722656 1753378848.4134
MEM 29.722656 1753378848.5136
MEM 29.722656 1753378848.6138
MEM 29.722656 1753378848.7140
MEM 29.722656 1753378848.8142
MEM 29.722656 1753378848.9144
MEM 29.722656 1753378849.0146
MEM 29.722656 1753378849.1148
MEM 29.722656 1753378849.2150
MEM 29.722656 1753378849.3152
MEM 29.722656 1753378849.4154
MEM 29.722656 1753378849.5156
MEM 29.722656 1753378849.6158
MEM 29.722656 1753378849.7160
MEM 29.722656 1753378849.8162
MEM 29.722656 1753378849.9165
