CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.441406 1753471372.9535
MEM 24.449219 1753471373.0551
MEM 28.464844 1753471373.1560
MEM 29.839844 1753471373.2563
MEM 29.964844 1753471373.3601
MEM 29.964844 1753471373.4604
MEM 29.964844 1753471373.5607
MEM 29.964844 1753471373.6610
MEM 29.964844 1753471373.7613
MEM 29.964844 1753471373.8616
MEM 29.964844 1753471373.9619
MEM 29.964844 1753471374.0622
MEM 29.964844 1753471374.1626
MEM 29.964844 1753471374.2629
MEM 29.964844 1753471374.3632
MEM 29.964844 1753471374.4635
MEM 29.964844 1753471374.5638
MEM 29.964844 1753471374.6641
MEM 29.964844 1753471374.7645
MEM 29.964844 1753471374.8648
MEM 29.964844 1753471374.9652
MEM 29.964844 1753471375.0655
MEM 29.964844 1753471375.1659
MEM 29.964844 1753471375.2662
MEM 29.964844 1753471375.3665
MEM 29.964844 1753471375.4669
MEM 29.964844 1753471375.5672
MEM 29.964844 1753471375.6675
MEM 29.964844 1753471375.7679
MEM 29.964844 1753471375.8682
MEM 29.964844 1753471375.9685
MEM 29.964844 1753471376.0689
MEM 29.964844 1753471376.1692
MEM 29.964844 1753471376.2695
MEM 29.964844 1753471376.3698
MEM 29.964844 1753471376.4702
MEM 29.964844 1753471376.5705
MEM 29.964844 1753471376.6708
MEM 29.964844 1753471376.7712
MEM 29.964844 1753471376.8715
MEM 29.964844 1753471376.9718
MEM 29.964844 1753471377.0722
MEM 29.964844 1753471377.1725
MEM 29.964844 1753471377.2728
MEM 29.964844 1753471377.3731
MEM 29.964844 1753471377.4734
MEM 29.964844 1753471377.5738
MEM 29.964844 1753471377.6741
MEM 29.964844 1753471377.7744
MEM 29.964844 1753471377.8747
MEM 29.964844 1753471377.9750
MEM 29.964844 1753471378.0754
MEM 29.964844 1753471378.1758
MEM 29.964844 1753471378.2761
MEM 29.964844 1753471378.3764
MEM 29.964844 1753471378.4768
MEM 29.964844 1753471378.5772
MEM 29.964844 1753471378.6775
MEM 29.964844 1753471378.7778
MEM 29.964844 1753471378.8782
MEM 29.964844 1753471378.9785
MEM 29.964844 1753471379.0788
MEM 29.964844 1753471379.1792
MEM 29.964844 1753471379.2795
MEM 29.964844 1753471379.3798
MEM 29.964844 1753471379.4801
MEM 29.964844 1753471379.5804
MEM 29.964844 1753471379.6807
MEM 29.964844 1753471379.7810
MEM 29.964844 1753471379.8813
MEM 29.964844 1753471379.9817
MEM 29.964844 1753471380.0820
MEM 29.964844 1753471380.1823
MEM 29.964844 1753471380.2826
MEM 29.964844 1753471380.3829
MEM 29.964844 1753471380.4833
MEM 29.964844 1753471380.5836
MEM 29.964844 1753471380.6839
MEM 29.964844 1753471380.7842
MEM 29.964844 1753471380.8845
