CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.281250 1753474906.2629
MEM 26.429688 1753474906.3632
MEM 28.804688 1753474906.4635
MEM 29.804688 1753474906.5637
MEM 29.804688 1753474906.6639
MEM 29.804688 1753474906.7641
MEM 29.804688 1753474906.8644
MEM 29.804688 1753474906.9646
MEM 29.804688 1753474907.0648
MEM 29.804688 1753474907.1650
MEM 29.804688 1753474907.2652
MEM 29.804688 1753474907.3655
MEM 29.804688 1753474907.4657
MEM 29.804688 1753474907.5659
MEM 29.804688 1753474907.6661
MEM 29.804688 1753474907.7664
MEM 29.804688 1753474907.8666
MEM 29.804688 1753474907.9668
MEM 29.804688 1753474908.0671
MEM 29.804688 1753474908.1673
MEM 29.804688 1753474908.2675
MEM 29.804688 1753474908.3678
MEM 29.804688 1753474908.4681
MEM 29.804688 1753474908.5684
MEM 29.804688 1753474908.6686
MEM 29.804688 1753474908.7695
MEM 29.804688 1753474908.8699
MEM 29.804688 1753474908.9702
MEM 29.804688 1753474909.0706
MEM 29.804688 1753474909.1709
MEM 29.804688 1753474909.2712
MEM 29.804688 1753474909.3715
MEM 29.804688 1753474909.4719
MEM 29.804688 1753474909.5722
MEM 29.804688 1753474909.6726
MEM 29.804688 1753474909.7729
MEM 29.804688 1753474909.8732
MEM 29.804688 1753474909.9736
MEM 29.804688 1753474910.0739
MEM 29.804688 1753474910.1742
MEM 29.804688 1753474910.2745
MEM 29.804688 1753474910.3748
MEM 29.804688 1753474910.4752
MEM 29.804688 1753474910.5755
MEM 29.804688 1753474910.6758
MEM 29.804688 1753474910.7761
MEM 29.804688 1753474910.8764
MEM 29.804688 1753474910.9767
MEM 29.804688 1753474911.0770
MEM 29.804688 1753474911.1772
MEM 29.804688 1753474911.2775
MEM 29.804688 1753474911.3778
MEM 29.804688 1753474911.4780
MEM 29.804688 1753474911.5783
MEM 29.804688 1753474911.6785
MEM 29.804688 1753474911.7788
MEM 29.804688 1753474911.8790
MEM 29.804688 1753474911.9792
MEM 29.804688 1753474912.0795
MEM 29.804688 1753474912.1797
MEM 29.804688 1753474912.2799
MEM 29.804688 1753474912.3801
MEM 29.804688 1753474912.4804
MEM 29.804688 1753474912.5806
MEM 29.804688 1753474912.6808
MEM 29.804688 1753474912.7810
MEM 29.804688 1753474912.8812
MEM 29.804688 1753474912.9816
MEM 29.804688 1753474913.0819
MEM 29.804688 1753474913.1823
MEM 29.804688 1753474913.2825
MEM 29.804688 1753474913.3828
MEM 29.804688 1753474913.4830
MEM 29.804688 1753474913.5833
MEM 29.804688 1753474913.6836
MEM 29.804688 1753474913.7839
MEM 29.804688 1753474913.8841
MEM 29.804688 1753474913.9844
MEM 29.804688 1753474914.0848
