CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1753471736.5431
MEM 26.089844 1753471736.6434
MEM 29.367188 1753471736.7437
MEM 31.367188 1753471736.8440
MEM 31.492188 1753471736.9443
MEM 31.617188 1753471737.0447
MEM 31.742188 1753471737.1450
MEM 31.742188 1753471737.2453
MEM 31.742188 1753471737.3456
MEM 31.742188 1753471737.4460
MEM 31.742188 1753471737.5463
MEM 31.742188 1753471737.6466
MEM 31.742188 1753471737.7469
MEM 31.742188 1753471737.8473
MEM 31.742188 1753471737.9476
MEM 31.742188 1753471738.0479
MEM 31.742188 1753471738.1482
MEM 31.742188 1753471738.2486
MEM 31.742188 1753471738.3488
MEM 31.742188 1753471738.4491
MEM 31.742188 1753471738.5493
MEM 31.742188 1753471738.6497
MEM 31.742188 1753471738.7500
MEM 31.742188 1753471738.8503
MEM 31.742188 1753471738.9506
MEM 31.742188 1753471739.0509
MEM 31.742188 1753471739.1513
MEM 31.742188 1753471739.2516
MEM 31.742188 1753471739.3519
MEM 31.742188 1753471739.4522
MEM 31.742188 1753471739.5525
MEM 31.742188 1753471739.6528
MEM 31.742188 1753471739.7531
MEM 31.742188 1753471739.8534
MEM 31.742188 1753471739.9537
MEM 31.742188 1753471740.0541
MEM 31.742188 1753471740.1544
MEM 31.742188 1753471740.2547
MEM 31.742188 1753471740.3550
MEM 31.742188 1753471740.4554
MEM 31.742188 1753471740.5557
MEM 31.742188 1753471740.6560
MEM 31.742188 1753471740.7564
MEM 31.742188 1753471740.8567
MEM 31.742188 1753471740.9570
MEM 31.742188 1753471741.0573
MEM 31.742188 1753471741.1576
MEM 31.742188 1753471741.2580
MEM 31.742188 1753471741.3583
MEM 31.742188 1753471741.4586
MEM 31.742188 1753471741.5589
MEM 31.742188 1753471741.6593
MEM 31.742188 1753471741.7597
MEM 31.742188 1753471741.8599
MEM 31.742188 1753471741.9602
MEM 31.742188 1753471742.0605
MEM 31.742188 1753471742.1609
MEM 31.742188 1753471742.2612
MEM 31.742188 1753471742.3615
MEM 31.742188 1753471742.4618
MEM 31.742188 1753471742.5621
MEM 31.742188 1753471742.6624
MEM 31.742188 1753471742.7627
MEM 31.742188 1753471742.8631
MEM 31.742188 1753471742.9634
MEM 31.742188 1753471743.0637
MEM 31.742188 1753471743.1640
MEM 31.742188 1753471743.2644
MEM 31.742188 1753471743.3647
MEM 31.742188 1753471743.4650
MEM 31.742188 1753471743.5652
MEM 31.742188 1753471743.6655
MEM 31.742188 1753471743.7659
MEM 31.742188 1753471743.8662
MEM 31.742188 1753471743.9665
MEM 31.742188 1753471744.0668
MEM 31.742188 1753471744.1671
MEM 31.742188 1753471744.2674
MEM 31.742188 1753471744.3677
MEM 31.742188 1753471744.4680
MEM 31.742188 1753471744.5683
MEM 31.742188 1753471744.6690
MEM 31.742188 1753471744.7693
MEM 31.742188 1753471744.8696
MEM 31.742188 1753471744.9699
MEM 31.742188 1753471745.0703
MEM 31.742188 1753471745.1706
MEM 31.742188 1753471745.2709
MEM 31.742188 1753471745.3712
MEM 31.742188 1753471745.4715
MEM 31.742188 1753471745.5719
MEM 31.742188 1753471745.6722
MEM 31.742188 1753471745.7725
MEM 31.742188 1753471745.8729
MEM 31.742188 1753471745.9732
MEM 31.742188 1753471746.0735
MEM 31.742188 1753471746.1738
MEM 31.742188 1753471746.2741
MEM 31.742188 1753471746.3744
MEM 31.742188 1753471746.4747
MEM 31.742188 1753471746.5751
MEM 31.742188 1753471746.6754
MEM 31.742188 1753471746.7757
MEM 31.742188 1753471746.8761
MEM 31.742188 1753471746.9764
MEM 31.742188 1753471747.0767
MEM 31.742188 1753471747.1771
MEM 31.742188 1753471747.2774
MEM 31.742188 1753471747.3777
MEM 31.742188 1753471747.4780
MEM 31.742188 1753471747.5783
MEM 31.742188 1753471747.6786
MEM 31.742188 1753471747.7789
MEM 31.742188 1753471747.8793
MEM 31.742188 1753471747.9796
MEM 31.742188 1753471748.0799
MEM 31.742188 1753471748.1802
MEM 31.742188 1753471748.2805
MEM 31.742188 1753471748.3808
MEM 31.742188 1753471748.4811
MEM 31.742188 1753471748.5814
MEM 31.742188 1753471748.6817
MEM 31.742188 1753471748.7821
MEM 31.742188 1753471748.8823
MEM 31.742188 1753471748.9826
MEM 31.742188 1753471749.0830
MEM 31.742188 1753471749.1832
MEM 31.742188 1753471749.2836
MEM 31.742188 1753471749.3839
MEM 31.742188 1753471749.4841
MEM 31.742188 1753471749.5845
MEM 31.742188 1753471749.6848
MEM 31.742188 1753471749.7851
MEM 31.742188 1753471749.8854
MEM 31.742188 1753471749.9857
MEM 31.742188 1753471750.0861
MEM 31.742188 1753471750.1864
MEM 31.742188 1753471750.2867
MEM 31.742188 1753471750.3870
MEM 31.742188 1753471750.4873
MEM 31.742188 1753471750.5876
MEM 31.742188 1753471750.6880
MEM 31.742188 1753471750.7883
MEM 31.742188 1753471750.8886
MEM 31.742188 1753471750.9890
MEM 31.742188 1753471751.0893
MEM 31.742188 1753471751.1896
MEM 31.742188 1753471751.2900
MEM 31.742188 1753471751.3903
MEM 31.742188 1753471751.4906
MEM 31.742188 1753471751.5909
MEM 31.742188 1753471751.6913
MEM 31.742188 1753471751.7916
MEM 31.742188 1753471751.8920
MEM 31.742188 1753471751.9923
MEM 31.742188 1753471752.0926
MEM 31.742188 1753471752.1929
MEM 31.742188 1753471752.2933
MEM 31.742188 1753471752.3936
MEM 31.742188 1753471752.4939
MEM 31.742188 1753471752.5943
MEM 31.742188 1753471752.6946
MEM 31.742188 1753471752.7949
MEM 31.742188 1753471752.8952
