CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.437500 1754005013.1172
MEM 24.027344 1754005013.2175
MEM 34.871094 1754005013.3198
MEM 35.582031 1754005013.4201
MEM 40.972656 1754005013.5204
MEM 42.027344 1754005013.6206
MEM 42.632812 1754005013.7209
MEM 48.171875 1754005013.8212
MEM 49.171875 1754005013.9215
MEM 54.316406 1754005014.0218
MEM 63.093750 1754005014.1221
MEM 63.332031 1754005014.2224
MEM 63.597656 1754005014.3227
MEM 65.171875 1754005014.4230
MEM 77.332031 1754005014.5233
MEM 76.765625 1754005014.6237
MEM 76.765625 1754005014.7240
MEM 76.890625 1754005014.8243
MEM 79.160156 1754005014.9245
MEM 80.285156 1754005015.0249
MEM 82.578125 1754005015.1251
MEM 84.343750 1754005015.2254
MEM 85.992188 1754005015.3257
MEM 88.378906 1754005015.4260
MEM 90.964844 1754005015.5263
MEM 97.570312 1754005015.6267
MEM 100.179688 1754005015.7270
MEM 100.179688 1754005015.8272
MEM 100.730469 1754005015.9275
MEM 100.730469 1754005016.0278
MEM 100.906250 1754005016.1281
MEM 100.906250 1754005016.2284
MEM 100.906250 1754005016.3288
MEM 100.906250 1754005016.4291
MEM 100.906250 1754005016.5294
MEM 100.906250 1754005016.6298
MEM 100.906250 1754005016.7301
MEM 100.906250 1754005016.8305
MEM 100.906250 1754005016.9308
MEM 100.906250 1754005017.0312
MEM 100.906250 1754005017.1315
MEM 100.906250 1754005017.2318
MEM 100.906250 1754005017.3320
MEM 100.906250 1754005017.4324
MEM 100.906250 1754005017.5327
MEM 100.906250 1754005017.6331
MEM 100.906250 1754005017.7334
MEM 100.906250 1754005017.8338
MEM 100.906250 1754005017.9341
MEM 101.175781 1754005018.0344
MEM 101.175781 1754005018.1348
MEM 101.175781 1754005018.2351
MEM 101.175781 1754005018.3354
MEM 101.175781 1754005018.4357
MEM 101.175781 1754005018.5360
MEM 101.175781 1754005018.6363
MEM 101.175781 1754005018.7367
MEM 101.175781 1754005018.8370
MEM 101.175781 1754005018.9373
MEM 101.175781 1754005019.0377
MEM 101.175781 1754005019.1380
MEM 101.175781 1754005019.2383
MEM 101.175781 1754005019.3386
MEM 103.355469 1754005019.4389
MEM 105.230469 1754005019.5392
MEM 106.730469 1754005019.6395
MEM 111.355469 1754005019.7398
MEM 114.230469 1754005019.8401
MEM 115.105469 1754005019.9404
MEM 115.105469 1754005020.0408
MEM 115.730469 1754005020.1411
MEM 118.480469 1754005020.2414
MEM 118.605469 1754005020.3418
MEM 118.605469 1754005020.4421
MEM 118.730469 1754005020.5425
MEM 118.730469 1754005020.6428
