CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.277344 1754061215.2729
MEM 24.328125 1754061215.3732
MEM 35.117188 1754061215.4744
MEM 38.214844 1754061215.5747
MEM 41.886719 1754061215.6749
MEM 49.332031 1754061215.7750
MEM 57.125000 1754061215.8753
MEM 63.117188 1754061215.9755
MEM 64.214844 1754061216.0757
MEM 74.734375 1754061216.1760
MEM 76.125000 1754061216.2762
MEM 76.750000 1754061216.3764
MEM 77.304688 1754061216.4766
MEM 80.132812 1754061216.5769
MEM 80.707031 1754061216.6771
MEM 82.851562 1754061216.7774
MEM 85.992188 1754061216.8776
MEM 88.742188 1754061216.9778
MEM 94.960938 1754061217.0780
MEM 99.761719 1754061217.1783
MEM 100.457031 1754061217.2786
MEM 101.015625 1754061217.3788
MEM 101.015625 1754061217.4790
MEM 101.015625 1754061217.5792
MEM 101.015625 1754061217.6794
MEM 101.015625 1754061217.7796
MEM 101.015625 1754061217.8798
MEM 101.453125 1754061217.9800
MEM 101.453125 1754061218.0802
MEM 101.453125 1754061218.1804
MEM 101.453125 1754061218.2806
MEM 103.582031 1754061218.3808
MEM 105.332031 1754061218.4810
MEM 107.957031 1754061218.5813
MEM 113.332031 1754061218.6815
MEM 114.457031 1754061218.7817
MEM 114.457031 1754061218.8819
MEM 115.332031 1754061218.9821
MEM 118.457031 1754061219.0825
MEM 118.707031 1754061219.1827
MEM 118.832031 1754061219.2829
MEM 118.832031 1754061219.3831
MEM 117.886719 1754061219.4834
