CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1754336338.9658
MEM 23.914062 1754336339.0661
MEM 35.234375 1754336339.1683
MEM 37.980469 1754336339.2686
MEM 41.734375 1754336339.3688
MEM 48.238281 1754336339.4691
MEM 53.140625 1754336339.5694
MEM 62.777344 1754336339.6697
MEM 63.234375 1754336339.7700
MEM 64.265625 1754336339.8703
MEM 75.667969 1754336339.9706
MEM 76.523438 1754336340.0709
MEM 76.523438 1754336340.1712
MEM 77.070312 1754336340.2744
MEM 78.445312 1754336340.3757
MEM 79.765625 1754336340.4760
MEM 79.890625 1754336340.5763
MEM 82.605469 1754336340.6766
MEM 85.585938 1754336340.7769
MEM 87.109375 1754336340.8772
MEM 89.179688 1754336340.9775
MEM 96.085938 1754336341.0778
MEM 100.414062 1754336341.1781
MEM 100.238281 1754336341.2784
MEM 100.800781 1754336341.3787
MEM 100.800781 1754336341.4790
MEM 100.929688 1754336341.5793
MEM 100.929688 1754336341.6795
MEM 101.265625 1754336341.7798
MEM 101.265625 1754336341.8801
MEM 101.265625 1754336341.9804
MEM 103.414062 1754336342.0807
MEM 105.164062 1754336342.1810
MEM 106.789062 1754336342.2813
MEM 111.289062 1754336342.3816
MEM 113.164062 1754336342.4819
MEM 114.289062 1754336342.5822
MEM 114.664062 1754336342.6825
MEM 115.289062 1754336342.7828
MEM 118.414062 1754336342.8831
MEM 118.539062 1754336342.9835
MEM 118.664062 1754336343.0838
MEM 118.664062 1754336343.1842
MEM 117.707031 1754336343.2846
