CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 0.433594 1754318639.6415
MEM 31.417969 1754318639.7430
MEM 49.234375 1754318639.8432
MEM 67.464844 1754318639.9435
MEM 81.890625 1754318640.0439
MEM 89.800781 1754318640.1442
MEM 96.589844 1754318640.2445
MEM 101.726562 1754318640.3449
MEM 102.625000 1754318640.4452
MEM 103.250000 1754318640.5455
MEM 103.375000 1754318640.6459
MEM 103.375000 1754318640.7463
MEM 103.375000 1754318640.8466
MEM 103.375000 1754318640.9470
MEM 103.375000 1754318641.0473
MEM 103.375000 1754318641.1476
MEM 103.375000 1754318641.2480
MEM 103.375000 1754318641.3484
MEM 103.375000 1754318641.4487
MEM 103.375000 1754318641.5491
MEM 103.375000 1754318641.6494
MEM 103.375000 1754318641.7498
MEM 103.375000 1754318641.8501
MEM 103.375000 1754318641.9505
MEM 103.375000 1754318642.0508
MEM 103.375000 1754318642.1512
MEM 103.375000 1754318642.2580
MEM 103.375000 1754318642.3583
MEM 103.375000 1754318642.4587
MEM 103.375000 1754318642.5615
MEM 103.375000 1754318642.6618
MEM 103.375000 1754318642.7621
MEM 103.375000 1754318642.8625
MEM 103.375000 1754318642.9628
MEM 103.375000 1754318643.0632
MEM 103.375000 1754318643.1635
MEM 103.375000 1754318643.2639
MEM 103.375000 1754318643.3642
MEM 103.375000 1754318643.4645
MEM 103.375000 1754318643.5649
MEM 103.375000 1754318643.6653
MEM 103.375000 1754318643.7656
MEM 103.375000 1754318643.8660
MEM 103.375000 1754318643.9663
MEM 103.375000 1754318644.0666
MEM 103.375000 1754318644.1670
MEM 103.375000 1754318644.2674
MEM 103.375000 1754318644.3677
MEM 103.375000 1754318644.4681
MEM 103.375000 1754318644.5684
MEM 103.375000 1754318644.6688
MEM 103.375000 1754318644.7692
MEM 103.375000 1754318644.8695
MEM 103.375000 1754318644.9699
MEM 103.375000 1754318645.0702
MEM 103.375000 1754318645.1706
MEM 103.375000 1754318645.2709
MEM 103.375000 1754318645.3713
MEM 103.375000 1754318645.4716
MEM 103.375000 1754318645.5720
MEM 103.375000 1754318645.6723
MEM 103.375000 1754318645.7727
MEM 103.375000 1754318645.8730
MEM 103.375000 1754318645.9733
MEM 103.375000 1754318646.0737
MEM 103.375000 1754318646.1740
MEM 103.375000 1754318646.2744
MEM 103.375000 1754318646.3748
MEM 103.375000 1754318646.4751
MEM 103.375000 1754318646.5755
MEM 103.375000 1754318646.6759
MEM 103.375000 1754318646.7762
MEM 103.375000 1754318646.8765
MEM 103.375000 1754318646.9769
MEM 103.375000 1754318647.0772
MEM 103.375000 1754318647.1776
MEM 103.375000 1754318647.2779
MEM 103.375000 1754318647.3783
MEM 103.375000 1754318647.4786
MEM 103.375000 1754318647.5790
MEM 103.375000 1754318647.6793
MEM 103.375000 1754318647.7796
MEM 103.375000 1754318647.8800
MEM 103.375000 1754318647.9803
MEM 103.375000 1754318648.0806
MEM 103.375000 1754318648.1810
MEM 103.375000 1754318648.2813
MEM 103.375000 1754318648.3816
MEM 103.375000 1754318648.4820
