CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1754319858.5954
MEM 24.945312 1754319858.6957
MEM 35.140625 1754319858.7977
MEM 40.769531 1754319858.8980
MEM 42.105469 1754319858.9983
MEM 42.710938 1754319859.0986
MEM 42.710938 1754319859.1989
MEM 48.355469 1754319859.2992
MEM 48.355469 1754319859.3995
MEM 49.394531 1754319859.4998
MEM 59.476562 1754319859.6001
MEM 63.203125 1754319859.7004
MEM 64.343750 1754319859.8007
MEM 74.890625 1754319859.9010
MEM 76.175781 1754319860.0013
MEM 76.945312 1754319860.1016
MEM 77.515625 1754319860.2019
MEM 80.234375 1754319860.3022
MEM 80.925781 1754319860.4026
MEM 82.675781 1754319860.5028
MEM 85.808594 1754319860.6031
MEM 88.464844 1754319860.7034
MEM 89.847656 1754319860.8037
MEM 96.398438 1754319860.9040
MEM 100.253906 1754319861.0043
MEM 100.253906 1754319861.1046
MEM 100.839844 1754319861.2049
MEM 100.839844 1754319861.3052
MEM 100.839844 1754319861.4055
MEM 100.839844 1754319861.5058
MEM 100.839844 1754319861.6067
MEM 100.839844 1754319861.7070
MEM 100.839844 1754319861.8073
MEM 100.839844 1754319861.9076
MEM 100.839844 1754319862.0078
MEM 100.839844 1754319862.1081
MEM 100.839844 1754319862.2084
MEM 100.839844 1754319862.3087
MEM 100.839844 1754319862.4089
MEM 100.839844 1754319862.5092
MEM 101.156250 1754319862.6094
MEM 103.406250 1754319862.7097
MEM 104.062500 1754319862.8100
MEM 106.687500 1754319862.9103
MEM 111.187500 1754319863.0106
MEM 113.187500 1754319863.1109
MEM 114.187500 1754319863.2112
MEM 114.562500 1754319863.3116
MEM 115.312500 1754319863.4119
MEM 118.437500 1754319863.5122
MEM 118.437500 1754319863.6126
MEM 118.562500 1754319863.7130
MEM 118.562500 1754319863.8133
MEM 117.726562 1754319863.9137
