CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_ktam.py
MEM 2.937500 1754403977.4347
MEM 29.023438 1754403977.5350
MEM 47.867188 1754403977.6353
MEM 66.152344 1754403977.7356
MEM 79.968750 1754403977.8359
MEM 89.628906 1754403977.9361
MEM 96.417969 1754403978.0365
MEM 101.675781 1754403978.1367
MEM 102.687500 1754403978.2371
MEM 103.312500 1754403978.3374
MEM 103.312500 1754403978.4377
MEM 103.312500 1754403978.5380
MEM 103.312500 1754403978.6383
MEM 103.312500 1754403978.7386
MEM 103.312500 1754403978.8389
MEM 103.312500 1754403978.9392
MEM 103.312500 1754403979.0394
MEM 103.312500 1754403979.1397
MEM 103.312500 1754403979.2400
MEM 103.312500 1754403979.3403
MEM 103.312500 1754403979.4406
MEM 103.312500 1754403979.5409
MEM 103.312500 1754403979.6412
MEM 103.312500 1754403979.7416
MEM 103.312500 1754403979.8419
MEM 103.312500 1754403979.9422
MEM 103.312500 1754403980.0425
MEM 103.312500 1754403980.1428
MEM 103.312500 1754403980.2431
MEM 103.312500 1754403980.3434
MEM 103.312500 1754403980.4437
MEM 103.312500 1754403980.5440
MEM 103.312500 1754403980.6443
MEM 103.312500 1754403980.7446
MEM 103.312500 1754403980.8449
MEM 103.312500 1754403980.9452
MEM 103.312500 1754403981.0455
MEM 103.312500 1754403981.1458
MEM 103.312500 1754403981.2460
MEM 103.312500 1754403981.3463
MEM 103.312500 1754403981.4466
MEM 103.312500 1754403981.5469
MEM 103.312500 1754403981.6472
MEM 103.312500 1754403981.7475
MEM 103.312500 1754403981.8478
MEM 103.312500 1754403981.9481
MEM 103.312500 1754403982.0483
MEM 103.312500 1754403982.1486
MEM 103.312500 1754403982.2489
MEM 103.312500 1754403982.3492
MEM 103.312500 1754403982.4495
MEM 103.312500 1754403982.5499
MEM 103.312500 1754403982.6502
MEM 103.312500 1754403982.7504
MEM 103.312500 1754403982.8507
MEM 103.312500 1754403982.9509
MEM 103.312500 1754403983.0512
MEM 103.312500 1754403983.1514
MEM 103.312500 1754403983.2517
MEM 103.312500 1754403983.3520
MEM 103.312500 1754403983.4523
MEM 103.312500 1754403983.5526
MEM 103.312500 1754403983.6529
MEM 103.312500 1754403983.7531
MEM 103.312500 1754403983.8534
MEM 103.312500 1754403983.9537
MEM 103.312500 1754403984.0540
MEM 103.312500 1754403984.1543
MEM 103.312500 1754403984.2546
MEM 103.312500 1754403984.3548
MEM 103.312500 1754403984.4551
MEM 103.312500 1754403984.5555
MEM 103.312500 1754403984.6558
MEM 103.312500 1754403984.7561
MEM 103.312500 1754403984.8571
MEM 103.312500 1754403984.9574
MEM 103.312500 1754403985.0577
MEM 103.312500 1754403985.1580
MEM 103.312500 1754403985.2583
MEM 103.312500 1754403985.3586
MEM 103.312500 1754403985.4589
MEM 103.312500 1754403985.5592
MEM 103.312500 1754403985.6595
MEM 103.312500 1754403985.7598
MEM 103.312500 1754403985.8601
