CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1754581262.7763
MEM 24.621094 1754581262.8766
MEM 34.597656 1754581262.9779
MEM 39.968750 1754581263.0782
MEM 42.195312 1754581263.1785
MEM 54.082031 1754581263.2788
MEM 63.035156 1754581263.3791
MEM 64.140625 1754581263.4794
MEM 65.558594 1754581263.5797
MEM 76.410156 1754581263.6800
MEM 76.410156 1754581263.7803
MEM 76.410156 1754581263.8806
MEM 78.406250 1754581263.9809
MEM 79.714844 1754581264.0812
MEM 82.164062 1754581264.1815
MEM 84.957031 1754581264.2819
MEM 86.765625 1754581264.3821
MEM 89.660156 1754581264.4824
MEM 97.054688 1754581264.5827
MEM 100.246094 1754581264.6830
MEM 100.246094 1754581264.7833
MEM 100.812500 1754581264.8836
MEM 100.812500 1754581264.9839
MEM 102.906250 1754581265.0842
MEM 104.781250 1754581265.1845
MEM 106.281250 1754581265.2848
MEM 110.781250 1754581265.3851
MEM 111.921875 1754581265.4854
MEM 113.046875 1754581265.5857
MEM 113.296875 1754581265.6860
MEM 114.296875 1754581265.7863
MEM 117.171875 1754581265.8866
MEM 117.296875 1754581265.9870
MEM 117.296875 1754581266.0873
MEM 117.296875 1754581266.1876
MEM 116.429688 1754581266.2880
