CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.441406 1754609090.0604
MEM 29.082031 1754609090.1623
MEM 34.984375 1754609090.2626
MEM 40.605469 1754609090.3629
MEM 47.921875 1754609090.4631
MEM 54.058594 1754609090.5644
MEM 63.074219 1754609090.6646
MEM 64.097656 1754609090.7649
MEM 65.890625 1754609090.8652
MEM 75.714844 1754609090.9654
MEM 76.609375 1754609091.0657
MEM 76.734375 1754609091.1660
MEM 78.457031 1754609091.2663
MEM 79.882812 1754609091.3666
MEM 79.882812 1754609091.4668
MEM 79.882812 1754609091.5670
MEM 79.882812 1754609091.6673
MEM 79.882812 1754609091.7675
MEM 79.882812 1754609091.8677
MEM 79.882812 1754609091.9679
MEM 82.308594 1754609092.0683
MEM 84.718750 1754609092.1685
MEM 86.550781 1754609092.2688
MEM 88.695312 1754609092.3691
MEM 95.976562 1754609092.4694
MEM 100.328125 1754609092.5696
MEM 100.328125 1754609092.6699
MEM 100.890625 1754609092.7702
MEM 101.015625 1754609092.8704
MEM 101.410156 1754609092.9706
MEM 103.792969 1754609093.0709
MEM 105.042969 1754609093.1712
MEM 110.667969 1754609093.2714
MEM 112.054688 1754609093.3717
MEM 113.179688 1754609093.4719
MEM 113.429688 1754609093.5722
MEM 113.929688 1754609093.6725
MEM 117.054688 1754609093.7728
MEM 117.429688 1754609093.8731
MEM 117.554688 1754609093.9733
MEM 117.554688 1754609094.0736
MEM 117.554688 1754609094.1739
