CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1754609115.7098
MEM 32.464844 1754609115.8114
MEM 52.242188 1754609115.9117
MEM 69.527344 1754609116.0119
MEM 84.875000 1754609116.1123
MEM 92.351562 1754609116.2126
MEM 97.601562 1754609116.3132
MEM 102.128906 1754609116.4134
MEM 105.128906 1754609116.5137
MEM 105.253906 1754609116.6139
MEM 105.378906 1754609116.7142
MEM 105.378906 1754609116.8144
MEM 105.503906 1754609116.9146
MEM 105.503906 1754609117.0149
MEM 105.503906 1754609117.1152
MEM 105.503906 1754609117.2154
MEM 105.503906 1754609117.3157
MEM 105.503906 1754609117.4159
MEM 105.503906 1754609117.5162
MEM 105.503906 1754609117.6164
MEM 105.503906 1754609117.7166
MEM 105.503906 1754609117.8168
MEM 105.503906 1754609117.9171
MEM 105.503906 1754609118.0173
MEM 105.503906 1754609118.1176
MEM 105.503906 1754609118.2178
MEM 105.503906 1754609118.3181
MEM 105.503906 1754609118.4183
MEM 105.503906 1754609118.5185
MEM 105.503906 1754609118.6188
MEM 105.503906 1754609118.7190
MEM 105.503906 1754609118.8193
MEM 105.503906 1754609118.9196
MEM 105.503906 1754609119.0199
MEM 105.628906 1754609119.1202
MEM 105.628906 1754609119.2205
MEM 105.628906 1754609119.3208
MEM 105.628906 1754609119.4210
MEM 105.628906 1754609119.5213
MEM 105.628906 1754609119.6216
MEM 105.628906 1754609119.7218
MEM 105.628906 1754609119.8220
MEM 105.628906 1754609119.9223
MEM 105.628906 1754609120.0225
MEM 105.628906 1754609120.1228
MEM 105.628906 1754609120.2231
MEM 105.628906 1754609120.3233
MEM 105.628906 1754609120.4235
MEM 105.628906 1754609120.5238
MEM 105.628906 1754609120.6240
MEM 105.628906 1754609120.7243
MEM 105.628906 1754609120.8245
MEM 105.628906 1754609120.9247
MEM 105.628906 1754609121.0250
MEM 105.628906 1754609121.1253
MEM 105.628906 1754609121.2255
MEM 105.628906 1754609121.3257
MEM 105.628906 1754609121.4260
MEM 105.628906 1754609121.5262
MEM 105.628906 1754609121.6264
MEM 105.628906 1754609121.7266
MEM 105.628906 1754609121.8268
MEM 105.628906 1754609121.9270
MEM 105.628906 1754609122.0273
MEM 105.628906 1754609122.1276
MEM 105.628906 1754609122.2278
MEM 105.628906 1754609122.3281
MEM 105.628906 1754609122.4284
MEM 105.628906 1754609122.5287
MEM 105.628906 1754609122.6289
MEM 105.628906 1754609122.7292
MEM 105.628906 1754609122.8294
MEM 105.628906 1754609122.9297
MEM 105.628906 1754609123.0299
MEM 105.628906 1754609123.1302
MEM 105.628906 1754609123.2305
MEM 105.628906 1754609123.3307
MEM 105.628906 1754609123.4309
MEM 105.628906 1754609123.5312
MEM 105.628906 1754609123.6314
MEM 105.628906 1754609123.7316
MEM 105.628906 1754609123.8318
MEM 105.628906 1754609123.9321
MEM 105.628906 1754609124.0323
MEM 105.628906 1754609124.1326
MEM 105.628906 1754609124.2328
MEM 105.628906 1754609124.3331
MEM 105.628906 1754609124.4333
MEM 105.628906 1754609124.5335
MEM 105.628906 1754609124.6337
MEM 105.628906 1754609124.7340
MEM 105.628906 1754609124.8343
MEM 105.628906 1754609124.9346
MEM 105.628906 1754609125.0349
MEM 105.628906 1754609125.1353
MEM 105.628906 1754609125.2355
MEM 105.628906 1754609125.3357
MEM 105.628906 1754609125.4360
MEM 105.628906 1754609125.5363
MEM 105.628906 1754609125.6365
MEM 105.628906 1754609125.7367
MEM 105.628906 1754609125.8370
MEM 105.628906 1754609125.9373
MEM 105.628906 1754609126.0375
MEM 105.628906 1754609126.1382
MEM 105.628906 1754609126.2384
MEM 105.628906 1754609126.3386
MEM 105.628906 1754609126.4388
MEM 105.628906 1754609126.5391
MEM 105.628906 1754609126.6393
MEM 105.628906 1754609126.7395
MEM 105.628906 1754609126.8397
MEM 105.628906 1754609126.9399
MEM 105.628906 1754609127.0402
MEM 105.628906 1754609127.1405
MEM 105.628906 1754609127.2407
MEM 105.628906 1754609127.3409
MEM 105.628906 1754609127.4412
MEM 105.628906 1754609127.5414
MEM 105.628906 1754609127.6416
MEM 105.628906 1754609127.7418
MEM 105.628906 1754609127.8421
MEM 105.628906 1754609127.9423
MEM 105.628906 1754609128.0426
MEM 105.628906 1754609128.1428
MEM 105.628906 1754609128.2431
MEM 105.628906 1754609128.3433
MEM 105.628906 1754609128.4435
MEM 105.628906 1754609128.5438
MEM 105.628906 1754609128.6441
MEM 105.628906 1754609128.7443
MEM 105.628906 1754609128.8446
MEM 105.628906 1754609128.9448
MEM 105.628906 1754609129.0451
MEM 105.628906 1754609129.1453
MEM 105.628906 1754609129.2456
MEM 105.628906 1754609129.3458
MEM 105.628906 1754609129.4460
MEM 105.628906 1754609129.5462
MEM 105.628906 1754609129.6465
MEM 105.628906 1754609129.7467
MEM 105.628906 1754609129.8470
MEM 105.628906 1754609129.9472
MEM 105.628906 1754609130.0474
MEM 105.628906 1754609130.1477
MEM 105.628906 1754609130.2479
MEM 105.628906 1754609130.3481
MEM 105.628906 1754609130.4483
MEM 105.628906 1754609130.5485
MEM 105.628906 1754609130.6487
MEM 105.628906 1754609130.7490
MEM 105.628906 1754609130.8492
MEM 105.628906 1754609130.9494
MEM 105.628906 1754609131.0497
MEM 105.628906 1754609131.1500
MEM 105.628906 1754609131.2502
MEM 105.628906 1754609131.3504
MEM 105.628906 1754609131.4507
MEM 105.628906 1754609131.5510
MEM 105.628906 1754609131.6512
MEM 105.628906 1754609131.7515
MEM 105.628906 1754609131.8517
MEM 105.628906 1754609131.9520
MEM 105.628906 1754609132.0522
MEM 104.648438 1754609132.1525
