CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.269531 1754670790.0419
MEM 23.914062 1754670790.1422
MEM 34.726562 1754670790.2445
MEM 35.320312 1754670790.3448
MEM 38.054688 1754670790.4451
MEM 41.843750 1754670790.5454
MEM 48.343750 1754670790.6457
MEM 48.343750 1754670790.7459
MEM 49.378906 1754670790.8461
MEM 55.480469 1754670790.9464
MEM 63.394531 1754670791.0467
MEM 64.253906 1754670791.1470
MEM 65.671875 1754670791.2473
MEM 75.484375 1754670791.3477
MEM 76.726562 1754670791.4484
MEM 76.726562 1754670791.5487
MEM 77.132812 1754670791.6490
MEM 79.953125 1754670791.7493
MEM 80.078125 1754670791.8496
MEM 82.402344 1754670791.9499
MEM 85.378906 1754670792.0502
MEM 86.921875 1754670792.1505
MEM 88.113281 1754670792.2508
MEM 88.292969 1754670792.3511
MEM 89.773438 1754670792.4514
MEM 95.906250 1754670792.5517
MEM 100.382812 1754670792.6520
MEM 100.382812 1754670792.7523
MEM 101.070312 1754670792.8526
MEM 101.070312 1754670792.9529
MEM 101.070312 1754670793.0532
MEM 101.195312 1754670793.1535
MEM 101.195312 1754670793.2538
MEM 101.195312 1754670793.3541
MEM 101.195312 1754670793.4544
MEM 101.195312 1754670793.5547
MEM 101.195312 1754670793.6550
MEM 101.195312 1754670793.7552
MEM 101.195312 1754670793.8556
MEM 101.593750 1754670793.9559
MEM 101.593750 1754670794.0562
MEM 101.593750 1754670794.1566
MEM 101.593750 1754670794.2569
MEM 101.593750 1754670794.3572
MEM 101.593750 1754670794.4575
MEM 101.593750 1754670794.5578
MEM 101.593750 1754670794.6581
MEM 101.593750 1754670794.7584
MEM 101.593750 1754670794.8587
MEM 101.593750 1754670794.9590
MEM 101.593750 1754670795.0592
MEM 103.343750 1754670795.1596
MEM 105.093750 1754670795.2599
MEM 106.593750 1754670795.3602
MEM 112.468750 1754670795.4606
MEM 113.242188 1754670795.5609
MEM 113.242188 1754670795.6612
MEM 113.617188 1754670795.7615
MEM 115.117188 1754670795.8618
MEM 117.492188 1754670795.9621
MEM 117.617188 1754670796.0625
MEM 117.617188 1754670796.1628
MEM 117.617188 1754670796.2632
MEM 116.660156 1754670796.3635
