CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1754670818.2495
MEM 32.203125 1754670818.3507
MEM 51.242188 1754670818.4510
MEM 68.515625 1754670818.5513
MEM 82.871094 1754670818.6516
MEM 91.343750 1754670818.7519
MEM 96.093750 1754670818.8522
MEM 101.484375 1754670818.9525
MEM 103.121094 1754670819.0529
MEM 105.121094 1754670819.1532
MEM 105.246094 1754670819.2535
MEM 105.371094 1754670819.3539
MEM 105.496094 1754670819.4542
MEM 105.496094 1754670819.5545
MEM 105.496094 1754670819.6549
MEM 105.496094 1754670819.7552
MEM 105.496094 1754670819.8556
MEM 105.496094 1754670819.9559
MEM 105.496094 1754670820.0562
MEM 105.496094 1754670820.1566
MEM 105.496094 1754670820.2569
MEM 105.496094 1754670820.3572
MEM 105.496094 1754670820.4576
MEM 105.496094 1754670820.5579
MEM 105.496094 1754670820.6582
MEM 105.496094 1754670820.7586
MEM 105.496094 1754670820.8589
MEM 105.496094 1754670820.9592
MEM 105.496094 1754670821.0596
MEM 105.496094 1754670821.1599
MEM 105.496094 1754670821.2603
MEM 105.496094 1754670821.3607
MEM 105.496094 1754670821.4610
MEM 105.496094 1754670821.5613
MEM 105.496094 1754670821.6617
MEM 105.496094 1754670821.7620
MEM 105.621094 1754670821.8624
MEM 105.621094 1754670821.9627
MEM 105.621094 1754670822.0630
MEM 105.621094 1754670822.1634
MEM 105.621094 1754670822.2637
MEM 105.621094 1754670822.3640
MEM 105.621094 1754670822.4644
MEM 105.621094 1754670822.5647
MEM 105.621094 1754670822.6650
MEM 105.621094 1754670822.7654
MEM 105.621094 1754670822.8662
MEM 105.621094 1754670822.9666
MEM 105.621094 1754670823.0669
MEM 105.621094 1754670823.1672
MEM 105.621094 1754670823.2675
MEM 105.621094 1754670823.3679
MEM 105.621094 1754670823.4682
MEM 105.621094 1754670823.5685
MEM 105.621094 1754670823.6689
MEM 105.621094 1754670823.7691
MEM 105.621094 1754670823.8695
MEM 105.621094 1754670823.9698
MEM 105.621094 1754670824.0701
MEM 105.621094 1754670824.1705
MEM 105.621094 1754670824.2708
MEM 105.621094 1754670824.3711
MEM 105.621094 1754670824.4715
MEM 105.621094 1754670824.5718
MEM 105.621094 1754670824.6722
MEM 105.621094 1754670824.7725
MEM 105.621094 1754670824.8728
MEM 105.621094 1754670824.9732
MEM 105.621094 1754670825.0735
MEM 105.621094 1754670825.1739
MEM 105.621094 1754670825.2742
MEM 105.621094 1754670825.3745
MEM 105.621094 1754670825.4748
MEM 105.621094 1754670825.5752
MEM 105.621094 1754670825.6756
MEM 105.621094 1754670825.7759
MEM 105.621094 1754670825.8762
MEM 105.621094 1754670825.9766
MEM 105.621094 1754670826.0769
MEM 105.621094 1754670826.1773
MEM 105.621094 1754670826.2776
MEM 105.621094 1754670826.3779
MEM 105.621094 1754670826.4782
MEM 105.621094 1754670826.5786
MEM 105.621094 1754670826.6789
MEM 105.621094 1754670826.7792
MEM 105.621094 1754670826.8796
MEM 105.621094 1754670826.9799
MEM 105.621094 1754670827.0802
MEM 105.621094 1754670827.1806
MEM 105.621094 1754670827.2809
MEM 105.621094 1754670827.3812
MEM 105.621094 1754670827.4816
MEM 105.621094 1754670827.5819
MEM 105.621094 1754670827.6822
MEM 105.621094 1754670827.7825
MEM 105.621094 1754670827.8829
MEM 105.621094 1754670827.9832
MEM 105.621094 1754670828.0836
MEM 105.621094 1754670828.1839
MEM 105.621094 1754670828.2842
MEM 105.621094 1754670828.3846
MEM 105.621094 1754670828.4850
MEM 105.621094 1754670828.5853
MEM 105.621094 1754670828.6857
MEM 105.621094 1754670828.7860
MEM 105.621094 1754670828.8863
MEM 105.621094 1754670828.9866
MEM 105.621094 1754670829.0870
MEM 105.621094 1754670829.1873
MEM 105.621094 1754670829.2877
MEM 105.621094 1754670829.3880
MEM 105.621094 1754670829.4883
MEM 105.621094 1754670829.5887
MEM 105.621094 1754670829.6890
MEM 105.621094 1754670829.7893
MEM 105.621094 1754670829.8897
MEM 105.621094 1754670829.9900
MEM 105.621094 1754670830.0903
MEM 105.621094 1754670830.1907
MEM 105.621094 1754670830.2910
MEM 105.621094 1754670830.3913
MEM 105.621094 1754670830.4917
MEM 105.621094 1754670830.5920
MEM 105.621094 1754670830.6923
MEM 105.621094 1754670830.7927
MEM 105.621094 1754670830.8930
MEM 105.621094 1754670830.9933
MEM 105.621094 1754670831.0937
MEM 105.621094 1754670831.1940
MEM 105.621094 1754670831.2943
MEM 105.621094 1754670831.3947
MEM 105.621094 1754670831.4950
MEM 105.621094 1754670831.5953
MEM 105.621094 1754670831.6957
MEM 105.621094 1754670831.7960
MEM 105.621094 1754670831.8963
MEM 105.621094 1754670831.9967
MEM 105.621094 1754670832.0970
MEM 105.621094 1754670832.1973
