CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1754665297.8973
MEM 32.222656 1754665297.9989
MEM 51.558594 1754665298.0992
MEM 69.230469 1754665298.1995
MEM 84.503906 1754665298.2998
MEM 91.835938 1754665298.4001
MEM 97.460938 1754665298.5004
MEM 101.996094 1754665298.6007
MEM 105.121094 1754665298.7010
MEM 105.121094 1754665298.8013
MEM 105.371094 1754665298.9016
MEM 105.371094 1754665299.0020
MEM 105.496094 1754665299.1023
MEM 105.496094 1754665299.2026
MEM 105.496094 1754665299.3029
MEM 105.496094 1754665299.4032
MEM 105.496094 1754665299.5035
MEM 105.496094 1754665299.6039
MEM 105.496094 1754665299.7042
MEM 105.496094 1754665299.8045
MEM 105.496094 1754665299.9059
MEM 105.496094 1754665300.0062
MEM 105.496094 1754665300.1066
MEM 105.496094 1754665300.2069
MEM 105.496094 1754665300.3071
MEM 105.496094 1754665300.4075
MEM 105.496094 1754665300.5078
MEM 105.496094 1754665300.6081
MEM 105.496094 1754665300.7084
MEM 105.496094 1754665300.8088
MEM 105.496094 1754665300.9091
MEM 105.496094 1754665301.0094
MEM 105.496094 1754665301.1097
MEM 105.496094 1754665301.2101
MEM 105.496094 1754665301.3104
MEM 105.496094 1754665301.4107
MEM 105.496094 1754665301.5110
MEM 105.496094 1754665301.6113
MEM 105.496094 1754665301.7116
MEM 105.496094 1754665301.8119
MEM 105.496094 1754665301.9122
MEM 105.496094 1754665302.0125
MEM 105.496094 1754665302.1128
MEM 105.496094 1754665302.2132
MEM 105.496094 1754665302.3135
MEM 105.496094 1754665302.4138
MEM 105.496094 1754665302.5141
MEM 105.496094 1754665302.6144
MEM 105.496094 1754665302.7148
MEM 105.496094 1754665302.8151
MEM 105.496094 1754665302.9154
MEM 105.496094 1754665303.0158
MEM 105.496094 1754665303.1161
MEM 105.496094 1754665303.2164
MEM 105.496094 1754665303.3167
MEM 105.496094 1754665303.4170
MEM 105.496094 1754665303.5173
MEM 105.496094 1754665303.6177
MEM 105.496094 1754665303.7179
MEM 105.496094 1754665303.8183
MEM 105.496094 1754665303.9186
MEM 105.496094 1754665304.0189
MEM 105.496094 1754665304.1192
MEM 105.496094 1754665304.2196
MEM 105.496094 1754665304.3199
MEM 105.496094 1754665304.4202
MEM 105.496094 1754665304.5205
MEM 105.496094 1754665304.6209
MEM 105.496094 1754665304.7212
MEM 105.496094 1754665304.8215
MEM 105.496094 1754665304.9218
MEM 105.496094 1754665305.0222
MEM 105.496094 1754665305.1225
MEM 105.496094 1754665305.2228
MEM 105.496094 1754665305.3231
MEM 105.496094 1754665305.4234
MEM 105.496094 1754665305.5238
MEM 105.496094 1754665305.6241
MEM 105.496094 1754665305.7244
MEM 105.496094 1754665305.8247
MEM 105.496094 1754665305.9251
MEM 105.496094 1754665306.0254
MEM 105.496094 1754665306.1257
MEM 105.496094 1754665306.2260
MEM 105.496094 1754665306.3263
MEM 105.496094 1754665306.4265
MEM 105.496094 1754665306.5269
MEM 105.496094 1754665306.6272
MEM 105.496094 1754665306.7276
MEM 105.496094 1754665306.8279
MEM 105.496094 1754665306.9283
MEM 105.496094 1754665307.0286
MEM 105.496094 1754665307.1289
MEM 105.496094 1754665307.2293
MEM 105.496094 1754665307.3296
MEM 105.496094 1754665307.4299
MEM 105.496094 1754665307.5303
MEM 105.496094 1754665307.6306
MEM 105.496094 1754665307.7309
MEM 105.496094 1754665307.8313
MEM 105.496094 1754665307.9316
MEM 105.496094 1754665308.0319
MEM 105.496094 1754665308.1323
MEM 105.496094 1754665308.2326
MEM 105.496094 1754665308.3330
MEM 105.496094 1754665308.4333
MEM 105.496094 1754665308.5336
MEM 105.496094 1754665308.6340
MEM 105.496094 1754665308.7343
MEM 105.496094 1754665308.8347
MEM 105.496094 1754665308.9350
MEM 105.496094 1754665309.0353
MEM 105.496094 1754665309.1357
MEM 105.496094 1754665309.2360
MEM 105.496094 1754665309.3364
MEM 105.496094 1754665309.4367
MEM 105.496094 1754665309.5371
MEM 105.496094 1754665309.6374
MEM 105.496094 1754665309.7378
MEM 105.496094 1754665309.8381
MEM 105.496094 1754665309.9385
MEM 105.496094 1754665310.0388
MEM 105.496094 1754665310.1392
MEM 105.496094 1754665310.2395
MEM 105.496094 1754665310.3399
MEM 105.496094 1754665310.4402
MEM 105.496094 1754665310.5405
MEM 105.496094 1754665310.6409
MEM 105.496094 1754665310.7412
MEM 105.496094 1754665310.8416
MEM 105.496094 1754665310.9419
MEM 105.496094 1754665311.0423
MEM 105.496094 1754665311.1426
MEM 105.496094 1754665311.2429
MEM 105.496094 1754665311.3433
MEM 105.496094 1754665311.4436
MEM 105.496094 1754665311.5440
MEM 105.496094 1754665311.6444
MEM 105.496094 1754665311.7447
MEM 105.496094 1754665311.8451
MEM 105.496094 1754665311.9454
MEM 105.496094 1754665312.0458
MEM 105.496094 1754665312.1461
MEM 105.496094 1754665312.2465
MEM 105.496094 1754665312.3468
MEM 105.496094 1754665312.4471
MEM 105.496094 1754665312.5475
MEM 105.496094 1754665312.6479
MEM 105.496094 1754665312.7482
MEM 105.496094 1754665312.8485
MEM 105.496094 1754665312.9489
MEM 105.496094 1754665313.0492
MEM 105.496094 1754665313.1496
MEM 105.496094 1754665313.2500
MEM 105.496094 1754665313.3503
MEM 105.496094 1754665313.4507
MEM 105.496094 1754665313.5510
MEM 105.496094 1754665313.6513
MEM 105.496094 1754665313.7516
MEM 105.496094 1754665313.8520
MEM 105.496094 1754665313.9523
MEM 105.496094 1754665314.0527
MEM 105.496094 1754665314.1530
MEM 105.496094 1754665314.2533
MEM 105.496094 1754665314.3537
MEM 105.496094 1754665314.4539
MEM 105.496094 1754665314.5543
MEM 105.496094 1754665314.6546
MEM 104.609375 1754665314.7550
