CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_uni_bi_small.py
MEM 0.281250 1755554305.8429
MEM 31.332031 1755554305.9432
MEM 50.882812 1755554306.0456
MEM 68.703125 1755554306.1459
MEM 84.679688 1755554306.2462
MEM 92.148438 1755554306.3465
MEM 97.523438 1755554306.4467
MEM 102.128906 1755554306.5470
MEM 105.128906 1755554306.6473
MEM 105.128906 1755554306.7475
MEM 105.378906 1755554306.8478
MEM 105.378906 1755554306.9480
MEM 105.503906 1755554307.0482
MEM 105.503906 1755554307.1485
MEM 105.503906 1755554307.2487
MEM 105.503906 1755554307.3489
MEM 105.503906 1755554307.4492
MEM 105.503906 1755554307.5495
MEM 105.503906 1755554307.6498
MEM 105.503906 1755554307.7501
MEM 105.503906 1755554307.8504
MEM 105.503906 1755554307.9506
MEM 105.503906 1755554308.0509
MEM 105.503906 1755554308.1511
MEM 105.503906 1755554308.2515
MEM 105.503906 1755554308.3518
MEM 105.503906 1755554308.4521
MEM 105.503906 1755554308.5524
MEM 105.503906 1755554308.6528
MEM 105.503906 1755554308.7531
MEM 105.503906 1755554308.8534
MEM 105.503906 1755554308.9537
MEM 105.503906 1755554309.0540
MEM 105.503906 1755554309.1543
MEM 105.503906 1755554309.2546
MEM 105.503906 1755554309.3550
MEM 105.503906 1755554309.4552
MEM 105.503906 1755554309.5555
MEM 105.503906 1755554309.6558
MEM 105.503906 1755554309.7561
MEM 105.503906 1755554309.8563
MEM 105.503906 1755554309.9566
MEM 105.503906 1755554310.0569
MEM 105.503906 1755554310.1572
MEM 105.503906 1755554310.2575
MEM 105.503906 1755554310.3578
MEM 105.503906 1755554310.4581
MEM 105.503906 1755554310.5583
MEM 105.503906 1755554310.6586
MEM 105.503906 1755554310.7589
MEM 105.503906 1755554310.8592
MEM 105.503906 1755554310.9595
MEM 105.503906 1755554311.0598
MEM 105.503906 1755554311.1600
MEM 105.503906 1755554311.2602
MEM 105.503906 1755554311.3605
MEM 105.503906 1755554311.4608
MEM 105.503906 1755554311.5611
MEM 105.503906 1755554311.6613
MEM 105.503906 1755554311.7616
MEM 105.503906 1755554311.8619
MEM 105.503906 1755554311.9621
MEM 105.503906 1755554312.0624
MEM 105.503906 1755554312.1626
MEM 105.503906 1755554312.2628
MEM 105.503906 1755554312.3630
MEM 105.503906 1755554312.4632
MEM 105.503906 1755554312.5635
MEM 105.503906 1755554312.6637
MEM 105.503906 1755554312.7640
MEM 105.503906 1755554312.8642
MEM 105.503906 1755554312.9646
MEM 105.503906 1755554313.0648
MEM 105.503906 1755554313.1650
MEM 105.503906 1755554313.2652
MEM 105.503906 1755554313.3655
MEM 105.503906 1755554313.4658
MEM 105.503906 1755554313.5660
MEM 105.503906 1755554313.6663
MEM 105.503906 1755554313.7666
MEM 105.503906 1755554313.8668
MEM 105.503906 1755554313.9671
MEM 105.503906 1755554314.0673
MEM 105.503906 1755554314.1675
MEM 105.503906 1755554314.2678
MEM 105.503906 1755554314.3680
MEM 105.503906 1755554314.4683
MEM 105.503906 1755554314.5685
MEM 105.503906 1755554314.6688
MEM 105.503906 1755554314.7690
MEM 105.503906 1755554314.8693
MEM 105.503906 1755554314.9695
MEM 105.503906 1755554315.0698
MEM 105.503906 1755554315.1700
MEM 105.503906 1755554315.2703
MEM 105.503906 1755554315.3705
MEM 105.503906 1755554315.4707
MEM 105.503906 1755554315.5710
MEM 105.503906 1755554315.6712
MEM 105.503906 1755554315.7714
MEM 105.503906 1755554315.8717
MEM 105.503906 1755554315.9720
MEM 105.503906 1755554316.0723
MEM 105.503906 1755554316.1726
MEM 105.503906 1755554316.2728
MEM 105.503906 1755554316.3730
MEM 105.503906 1755554316.4733
MEM 105.503906 1755554316.5735
MEM 105.503906 1755554316.6738
MEM 105.503906 1755554316.7740
MEM 105.503906 1755554316.8742
MEM 105.503906 1755554316.9745
MEM 105.503906 1755554317.0748
MEM 105.503906 1755554317.1751
MEM 105.503906 1755554317.2755
MEM 105.503906 1755554317.3757
MEM 105.503906 1755554317.4760
MEM 105.503906 1755554317.5762
MEM 105.503906 1755554317.6765
MEM 105.503906 1755554317.7767
MEM 105.503906 1755554317.8769
MEM 105.503906 1755554317.9772
MEM 105.503906 1755554318.0774
MEM 105.503906 1755554318.1777
MEM 105.503906 1755554318.2780
MEM 105.503906 1755554318.3782
MEM 105.503906 1755554318.4785
MEM 105.503906 1755554318.5787
MEM 105.503906 1755554318.6790
MEM 105.503906 1755554318.7792
MEM 105.503906 1755554318.8795
MEM 105.503906 1755554318.9797
MEM 105.503906 1755554319.0800
MEM 105.503906 1755554319.1802
MEM 105.503906 1755554319.2805
MEM 105.503906 1755554319.3807
MEM 105.503906 1755554319.4810
MEM 105.503906 1755554319.5812
MEM 105.503906 1755554319.6815
MEM 105.503906 1755554319.7818
MEM 105.503906 1755554319.8820
MEM 105.503906 1755554319.9823
MEM 105.503906 1755554320.0825
MEM 105.503906 1755554320.1828
MEM 105.503906 1755554320.2831
MEM 105.503906 1755554320.3833
