CMDLINE /home/runner/work/kappybara/kappybara/.venv/bin/python profile_heterodimerization_small.py
MEM 0.281250 1755548981.1261
MEM 24.058594 1755548981.2264
MEM 34.632812 1755548981.3275
MEM 35.660156 1755548981.4278
MEM 41.164062 1755548981.5281
MEM 44.367188 1755548981.6285
MEM 50.089844 1755548981.7288
MEM 55.449219 1755548981.8290
MEM 63.175781 1755548981.9293
MEM 64.160156 1755548982.0296
MEM 65.089844 1755548982.1299
MEM 75.460938 1755548982.2302
MEM 76.785156 1755548982.3305
MEM 76.785156 1755548982.4308
MEM 77.339844 1755548982.5311
MEM 79.734375 1755548982.6314
MEM 80.117188 1755548982.7317
MEM 82.730469 1755548982.8320
MEM 85.527344 1755548982.9323
MEM 88.257812 1755548983.0327
MEM 89.218750 1755548983.1330
MEM 94.476562 1755548983.2332
MEM 99.273438 1755548983.3335
MEM 99.398438 1755548983.4338
MEM 100.128906 1755548983.5341
MEM 100.128906 1755548983.6344
MEM 100.128906 1755548983.7347
MEM 100.257812 1755548983.8350
MEM 100.257812 1755548983.9352
MEM 100.257812 1755548984.0355
MEM 100.527344 1755548984.1358
MEM 100.527344 1755548984.2361
MEM 100.527344 1755548984.3364
MEM 100.527344 1755548984.4367
MEM 100.527344 1755548984.5369
MEM 100.527344 1755548984.6371
MEM 103.277344 1755548984.7375
MEM 105.027344 1755548984.8378
MEM 105.027344 1755548984.9381
MEM 105.027344 1755548985.0383
MEM 105.027344 1755548985.1386
MEM 106.527344 1755548985.2388
MEM 113.027344 1755548985.3391
MEM 113.234375 1755548985.4406
MEM 113.234375 1755548985.5409
MEM 113.234375 1755548985.6411
MEM 113.234375 1755548985.7415
MEM 113.859375 1755548985.8418
MEM 117.109375 1755548985.9421
MEM 117.484375 1755548986.0424
MEM 117.609375 1755548986.1427
MEM 117.609375 1755548986.2431
MEM 117.609375 1755548986.3435
